Strategy,Description,Avg Return,Avg Drawdown,Stdev Return,Stdev Downside Return,Sharpe Ratio,Sortino Ratio,Information Coefficient,Max Drawdown,Win Rate,Calmar Ratio,Total Return,Final Value,Num Days
Breakout Signal,"Entry: 50d, Exit: 70d (VECTORIZED)",0.16012807728004352,-0.1211734262054657,0.2838921051969907,0.21270765679986015,0.38690107277401464,0.5163808473342242,0.0064565483961561984,-0.29498498368319603,0.5074183976261127,0.3723516996741489,0.6177794073270608,16177.794073270608,1686
Size Factor,Strategy: long_small_short_large (VECTORIZED),-0.10138878591459721,-0.43550558811553447,0.23604912890635488,0.16960480203986528,-0.564142584221419,-0.7851509154389724,0.05945833207218303,-0.6630923494627969,0.4777904328018223,-0.20082476549809328,-0.4971385719608648,5028.614280391352,1757
Carry Factor,"Top 10 short, Bottom 10 long (VECTORIZED)",-0.003422318012020198,-0.247695028269161,0.17690409514880379,0.12432058576641129,-0.09073984508169726,-0.12911980818913785,0.03573696677709035,-0.4443836611505417,0.5,-0.036122503123899384,-0.07489152571591931,9251.084742840807,1757
Volatility Factor,Strategy: long_low_short_high (VECTORIZED),0.32923174773818276,-0.10079043097427393,0.26601607260059906,0.17829774949437077,1.0804866855640243,1.6120608667584713,0.006899137105546772,-0.29280469911439294,0.5370799536500579,0.981633236967581,2.3021566654084955,33021.566654084956,1727
Kurtosis Factor,"Strategy: momentum, Rebal: 14d (VECTORIZED)",0.044380400713581736,-0.1575038715782617,0.22073407360364822,0.16037779058792964,0.10410424083010128,0.1432826395325898,-0.07028122761679713,-0.3140379980720992,0.5162224797219004,0.07317379839037097,0.11340508706417586,11134.050870641759,1727
Beta Factor (BAB),"Strategy: BAB, Weighting: equal_weight, Rebal: 5d (VECTORIZED)",0.0876731501716479,-0.19026486191228695,0.27532844369457266,0.18636175385269244,0.16537451729116823,0.24432217196511818,-0.0023697790824465693,-0.39038380845603443,0.4988193624557261,0.11663472584223855,0.22952824538562835,12295.282453856284,1695
