Metric,Original,Outlier_Filtered,Difference,Pct_Change
Total Return (%),2641.0295650623752,624.1464056999122,-2016.8831593624632,-76.36730713065035
Annualized Return (%),101.5870366347782,52.07537284431907,-49.51166379045913,-48.7381711590442
Volatility (%),98.03458879455629,83.46069537105262,-14.573893423503662,-14.866072885810821
Sharpe Ratio,1.0362366781347605,0.6239508622927291,-0.4122858158420314,-39.786838715664
Max Drawdown (%),-88.84278575934233,-89.51753623876363,-0.6747504794212915,0.7594882056592089
Win Rate (%),50.65420560747664,50.77881619937694,0.1246105919003,0.2460024600245747
