date,portfolio_value,return,n_positions,valid_positions,rolling_30d
2021-02-02,9957.946526707961,-0.002209766862929733,6,5,
2021-02-03,9551.929819110317,-0.04077313595816947,6,5,
2021-02-04,9440.183897280724,-0.011698779612683747,6,5,
2021-02-05,8816.764109918304,-0.06603894523092901,6,5,
2021-02-06,9150.155345626736,0.037813332822797016,6,5,
2021-02-07,8844.667255389197,-0.033386109710535836,6,5,
2021-02-08,8287.979636266216,-0.06294048188005966,6,5,
2021-02-09,8225.601758071898,-0.007526306884414642,6,5,
2021-02-10,8345.543383801321,0.014581501664813992,6,5,
2021-02-11,7845.507761596226,-0.05991648466841147,6,5,
2021-02-12,7128.919053762339,-0.09133745445280039,6,5,
2021-02-13,7549.4693133485025,0.05899214963932215,6,5,
2021-02-14,8089.872246997867,0.0715815789454045,6,5,
2021-02-15,7946.494144668028,-0.0177231602616525,6,5,
2021-02-16,8041.249186135253,0.011924131540549195,6,5,
2021-02-17,8002.030298869102,-0.0048772132735013535,6,5,
2021-02-18,7924.917714279184,-0.009636627419520762,6,5,
2021-02-19,7977.287960210896,0.006608301539503836,6,5,
2021-02-20,8202.85751468902,0.02827647135257224,6,5,
2021-02-21,8394.893106340302,0.023410816451145348,6,5,
2021-02-22,8674.143275869686,0.033264291277095605,6,5,
2021-02-23,9063.095985223166,0.044840475535548624,6,5,
2021-02-24,8871.40286662384,-0.021150953152418467,6,5,
2021-02-25,9077.58946525445,0.023241712920775037,6,5,
2021-02-26,8939.145186378526,-0.015251216130211173,6,5,
2021-02-27,8467.111687711937,-0.05280521669855799,6,5,
2021-02-28,8640.125324447903,0.020433607482355107,6,5,
2021-03-01,8270.557408300721,-0.04277344393390467,6,5,
2021-03-02,8300.969186140563,0.004676789679427416,4,3,
2021-03-03,7861.129997902026,-0.05298648608079407,4,3,-21.33866213601849
2021-03-04,8201.885063846687,0.04334683004041438,4,3,-16.78300244568408
2021-03-05,8359.371229158713,0.019201215828567653,4,3,-10.785567267010364
2021-03-06,8293.071015766971,-0.007931244058222542,4,3,-10.408813711564244
2021-03-07,8073.037814783166,-0.026532173734612023,4,3,-6.4581365619325455
2021-03-08,7989.702696802587,-0.010322646801923527,4,3,-11.2717345244046
2021-03-09,7910.641309257558,-0.009895410448334753,4,3,-8.922664598184491
2021-03-10,7925.675785928172,0.0019005382854383607,4,3,-2.43856258163469
2021-03-11,7776.337052717224,-0.01884239744907249,4,3,-3.570171638100475
2021-03-12,7958.527249610493,0.023428793744171235,4,3,-2.6854424301647506
2021-03-13,7984.912240541031,0.003315310748207838,4,3,3.637737111497181
2021-03-14,8076.728993635158,0.011498780491031032,4,3,13.921360605880324
2021-03-15,7814.1092488667055,-0.032515606871966356,4,3,4.770584954751472
2021-03-16,7770.685799722952,-0.005557056826413274,4,3,-2.9432786224303067
2021-03-17,7339.365291417595,-0.05550610582153958,4,3,-6.721573178419014
2021-03-18,7387.1005893833235,0.0065040090076384695,4,3,-7.263585431710087
2021-03-19,7245.8055883778625,-0.019127260999874347,4,3,-8.688590204347387
2021-03-20,7284.23106144661,0.005303133323143699,4,3,-7.194614130080941
2021-03-21,7414.132958809586,0.017833302687295466,4,3,-6.072114015301777
2021-03-22,7766.052677828573,0.04746606528020658,4,3,-4.153154622538343
2021-03-23,8042.082405963048,0.03554311818184242,4,3,-2.939924449468636
2021-03-24,8256.647573392962,0.026680299529238463,4,3,-3.59832362425435
2021-03-25,8260.354573890165,0.0004489716273161342,4,3,-8.037474015077597
2021-03-26,7896.216654936459,-0.044082601502930065,4,3,-10.330638850128757
2021-03-27,7747.170047983346,-0.018875698763905324,4,3,-14.542380018596795
2021-03-28,7203.247297377949,-0.07020921797721294,4,3,-20.03818020329697
2021-03-29,6869.437764804175,-0.04634153442091095,4,3,-19.391811975532264
2021-03-30,7026.392156685612,0.022848215131316643,4,3,-19.150351210636114
2021-03-31,7148.566672388669,0.017387944335957455,4,3,-13.134212383649901
2021-04-01,7163.549816997809,0.002095964869015296,4,3,-13.392294864691113
2021-04-02,7453.451903300923,0.04148502173053353,3,3,-3.945144083558352
2021-04-03,6843.365380360023,-0.08185288251081493,3,3,-16.465115338681283
2021-04-04,6881.884223375507,0.005628640423910591,3,3,-17.82237287914699
2021-04-05,7151.908520149827,0.039236971737643705,3,3,-13.105551299560364
2021-04-06,8078.324978493999,0.1295341594113068,3,3,2.501082015031518
2021-04-07,9367.295151990596,0.15955908891113887,3,3,19.48925558633776
2021-04-08,9050.70332972905,-0.0337975709235839,3,3,17.099039538812843
2021-04-09,8295.782663569811,-0.0834101658905927,3,3,8.567969121209739
2021-04-10,8777.171959323148,0.05802819520179998,3,3,16.255028386296985
2021-04-11,7972.964923861383,-0.09162484672611812,3,3,4.74966433926805
2021-04-12,7782.827444305136,-0.023847775748668545,3,3,2.0333556895804112
2021-04-13,8285.051090758045,0.06452971623062212,3,3,7.33644926353952
2021-04-14,8455.129226158293,0.020528314615943528,3,3,12.64084141233051
2021-04-15,9458.171748778566,0.11863124687876833,3,3,25.059671782848667
2021-04-16,11055.28594550699,0.16886077342956637,3,3,47.496359707959265
2021-04-17,10684.931852200243,-0.03350018218726071,3,3,43.495940588469345
2021-04-18,11116.644644396423,0.040403888220146386,3,3,49.44905551047142
2021-04-19,11494.799767273633,0.034017019970843984,3,3,52.32044417524144
2021-04-20,10726.504415613355,-0.06683851543440174,3,3,43.85326236307173
2021-04-21,10717.41473667661,-0.0008474036447059449,3,3,39.021915470580474
2021-04-22,11806.794105732013,0.1016457229491531,3,3,45.632175947311545
2021-04-23,11525.417785465088,-0.02383172923548495,3,3,40.5809730708392
2021-04-24,11466.77542262249,-0.005088089988074265,3,3,40.02726690930016
2021-04-25,11187.54586912495,-0.024351183589647774,3,3,42.00040870062839
2021-04-26,11116.482638876914,-0.0063519945374394815,3,3,43.252779123274976
2021-04-27,10738.795169132143,-0.03397544727177555,3,3,46.876156193818716
2021-04-28,11261.569861333304,0.048680944553616025,3,3,56.37840409127142
2021-04-29,11201.000548702894,-0.005378407573386009,3,3,53.55574182080114
2021-04-30,11080.942345079067,-0.010718524930143851,3,3,50.74509489419101
2021-05-01,12895.069950506464,0.16371600437331324,3,3,66.9070988446208
2021-05-02,13357.468736398112,0.03644012891870006,4,4,66.40260956343745
2021-05-03,15330.084579581548,0.14767886656610357,4,4,89.35578447112931
2021-05-04,19551.900965230147,0.2753942004515565,4,4,116.3323404738939
2021-05-05,20403.1231863334,0.04353654525035745,4,4,116.76229782516528
2021-05-06,23004.131477563296,0.1274808894440302,4,4,116.55697082843761
2021-05-07,18474.28500878747,-0.1969144748278777,4,4,80.90961445453597
2021-05-08,19881.22584535967,0.07615671382697503,4,4,91.90504292959186
2021-05-09,18833.296945562648,-0.05270947113362289,4,4,94.97511240528883
2021-05-10,18440.90895734715,-0.02083480069101496,4,4,87.08881281600733
2021-05-11,18254.368345741947,-0.010115586603494583,4,4,95.2397388282697
2021-05-12,17030.08254476192,-0.0670680999633496,4,4,90.91770640680159
2021-05-13,16893.587251160392,-0.008014951967658612,4,4,83.6632395869735
2021-05-14,18738.50197659543,0.10920799105638833,4,4,92.53120723101799
2021-05-15,18897.030374459086,0.00846003581618518,4,4,81.51408612475967
2021-05-16,18754.816090862525,-0.007525747738056045,4,4,63.87543400799744
2021-05-17,19397.264249820022,0.03425510310764947,4,4,70.65096253748845
2021-05-18,17447.821846040046,-0.10050089428451574,4,4,56.56048428702224
2021-05-19,17447.821846040046,-2.0816681711721685e-17,4,4,53.15878228993785
2021-05-20,17839.154281813193,0.022428727162981915,4,4,62.085506549676204
2021-05-21,17966.921934784503,0.007162203485261039,4,4,62.886467262672895
2021-05-22,17562.411282179102,-0.022514187687444353,4,4,50.470476199013156
2021-05-23,18020.237534502998,0.0260685303952801,4,4,55.46050216208967
2021-05-24,18020.237534502998,2.7755575615628914e-17,4,4,55.96931116089709
2021-05-25,19421.06911286726,0.07773657676166104,4,4,66.17808719602797
2021-05-26,17816.269543756338,-0.08263188600918353,4,4,58.55009804885357
2021-05-27,17673.08208258618,-0.008036893515698754,4,4,61.14395342446125
2021-05-28,16479.395311810305,-0.06754264848642626,4,4,49.521594120457024
2021-05-29,16102.843639657343,-0.022849847644779726,4,4,47.77445011331765
2021-05-30,16600.890932984144,0.03092915167481563,4,4,51.93921777381361
2021-05-31,15717.340115562882,-0.05322309633790468,4,4,30.24530770269181
2021-06-01,15496.154459773454,-0.01407271549531561,4,4,25.194023261290237
2021-06-02,14433.646957158917,-0.0670503343324042,6,6,3.7211031714394633
2021-06-03,13883.009473357948,-0.03814957407752438,6,6,-27.633274281468623
2021-06-04,13652.178006069984,-0.016626904111168284,6,6,-33.64961921762119
2021-06-05,13857.885496088906,0.015067741566763994,6,6,-44.890934005347816
2021-06-06,14032.876953220191,0.01262757274049296,6,6,-23.936729248510748
2021-06-07,14130.676760925402,0.006969334088172741,6,6,-30.85546722239098
2021-06-08,14008.419825201623,-0.008651881137204047,6,6,-26.449708222749095
2021-06-09,13889.484783251706,-0.008490253963973095,6,6,-25.21525355004491
2021-06-10,14151.897047988587,0.018892872473808664,6,6,-22.31440764231458
2021-06-11,14706.966094068015,0.039222236015228756,6,6,-11.685374044456747
2021-06-12,14436.477349457635,-0.0183918792550614,6,6,-12.723066773197028
2021-06-13,14465.173751323196,0.0019877703660609834,6,6,-23.445088842229765
2021-06-14,14324.609716250463,-0.009717410761130703,6,6,-25.262833499961353
2021-06-15,14289.811236854704,-0.0024292794069133566,6,6,-24.753186666847082
2021-06-16,14053.058977334575,-0.01656790671310793,6,6,-29.835487648922822
2021-06-17,13701.160726473581,-0.025040686972747448,6,6,-22.289466917745994
2021-06-18,13922.06289764952,0.01612288006731492,6,6,-20.677178911014497
2021-06-19,14161.235950412874,0.017179426247509226,6,6,-21.202109002561766
2021-06-20,13835.705707771565,-0.02298741746703395,6,6,-24.21707109779127
2021-06-21,13835.705707771565,6.938893903907228e-18,6,6,-21.96565232904683
2021-06-22,13151.54608129419,-0.04944884207049017,6,6,-29.517389575623852
2021-06-23,13297.086266445209,0.011066393582274459,6,6,-28.410750217396412
2021-06-24,13285.075664233758,-0.000903250679944758,6,6,-36.27473296155699
