metric,value
total_return,-30.177748262425098
annualized_return,-7.873044112725669
annualized_volatility,21.619015440413712
sharpe_ratio,-0.364172186028792
max_drawdown,-56.04131298187016
calmar_ratio,-0.14048643213039397
win_rate,44.75
best_day,9.223042244698387
worst_day,-9.732841223869892
