date,symbol,signal,kurtosis,kurtosis_rank,kurtosis_percentile,returns_mean_30d,returns_std_30d
2022-01-31,ALGO/USD,LONG,-0.9896921467879394,1.0,14.285714285714285,-0.020221739971359634,0.05015192964871245
2022-01-31,CRO/USD,SHORT,1.9934618910360449,6.0,85.71428571428571,-0.01041002172252831,0.054114766718131625
2022-01-31,POWR/USD,SHORT,11.273343363585608,7.0,100.0,0.008217009496294682,0.1271808304644844
2022-02-07,OXT/USD,LONG,-0.5382559022282085,1.0,14.285714285714285,-0.00468646741009451,0.04643393544555493
2022-02-07,CRO/USD,SHORT,2.3989136557469584,6.0,85.71428571428571,0.0029267188003679083,0.0554105516241887
2022-02-07,POWR/USD,SHORT,10.773819375875593,7.0,100.0,0.0077784624789692105,0.06134374550152252
2022-02-14,OXT/USD,LONG,-0.5614760752996442,1.0,16.666666666666664,-0.006322613167322115,0.04963892000023613
2022-02-14,CRO/USD,SHORT,2.0640741185229174,6.0,100.0,0.0001494930428784865,0.05583340068204633
2022-02-14,ZRX/USD,SHORT,1.1935095004169858,5.0,83.33333333333334,-0.008150178166798588,0.04968933721590306
2022-02-21,OXT/USD,LONG,-0.8155699617074155,1.0,16.666666666666664,-0.0016428020089343275,0.04628403864515922
2022-02-21,CRO/USD,SHORT,-0.1616398726821009,5.0,83.33333333333334,0.004410329049797923,0.05048360241846442
2022-02-21,GRT/USD,SHORT,1.615304116944908,6.0,100.0,-0.0051036768399528535,0.06434141880522438
2022-02-28,OXT/USD,LONG,-0.8495279547387296,1.0,16.666666666666664,0.00045110387051943123,0.04537005229757123
2022-02-28,CRO/USD,SHORT,-0.4402454447886197,5.0,83.33333333333334,0.0004968941149820563,0.05109228049015224
2022-02-28,GRT/USD,SHORT,0.6289104733100417,6.0,100.0,-0.002811891436575245,0.06965387505468967
2022-03-07,OXT/USD,LONG,-0.8265742776638807,1.0,20.0,-0.006372507492135108,0.04512567136220957
2022-03-07,CRO/USD,SHORT,-0.4443276883307776,4.0,80.0,-0.005657236460307037,0.05012090791083505
2022-03-07,GRT/USD,SHORT,1.7166971112637892,5.0,100.0,-0.010217667055553298,0.06615792216864239
2022-03-14,OXT/USD,LONG,-0.6945555076866516,1.0,20.0,-0.0017558661942583679,0.04269418468109536
2022-03-14,CRO/USD,SHORT,-0.15362759868898612,4.0,80.0,-0.008305902699917525,0.047979506735025094
2022-03-14,GRT/USD,SHORT,1.828535080885466,5.0,100.0,-0.004561442524706434,0.06427044466002703
2022-03-21,OXT/USD,LONG,-0.9259809209646579,1.0,20.0,-0.00025177354178153956,0.03667609126669899
2022-03-21,CRO/USD,SHORT,0.04266475459945207,5.0,100.0,-0.0025290464078007837,0.04264724261745283
2022-03-21,GRT/USD,SHORT,-0.069008640317338,4.0,80.0,-0.0004342642844309579,0.06119599027385742
2022-03-28,OXT/USD,LONG,-0.8834786425473236,1.0,20.0,0.006307558280423719,0.033208243123757517
2022-03-28,CRO/USD,SHORT,0.19009741821859905,4.0,80.0,0.004928457827522299,0.03988247797607075
2022-03-28,GRT/USD,SHORT,0.33446799938142924,5.0,100.0,0.0072578652005445944,0.05639468673623407
2022-04-04,CRO/USD,LONG,-0.8474806333204277,1.0,14.285714285714285,0.005571600114116919,0.029720598008469004
2022-04-04,ALGO/USD,SHORT,0.7345647437993112,6.0,85.71428571428571,0.004377734189095984,0.036323807493720564
2022-04-04,IMX/USD,SHORT,1.4249511720336177,7.0,100.0,0.022208936400290105,0.09857489453236086
2022-04-11,GRT/USD,LONG,-0.5065498734397882,1.0,16.666666666666664,0.003038762439350343,0.06628354227250426
2022-04-11,CRO/USD,SHORT,0.5729269107107289,5.0,83.33333333333334,0.0012720010381470864,0.03295058461492191
2022-04-11,XLM/USD,SHORT,0.8318881199433825,6.0,100.0,0.0002875311811097329,0.03556569460634695
2022-04-18,GRT/USD,LONG,-0.6548222221951465,1.0,16.666666666666664,-0.004195909266277742,0.05554398075158811
2022-04-18,CRO/USD,SHORT,0.8438858092314034,6.0,100.0,-0.0005788857499432854,0.03147225364143413
2022-04-18,XLM/USD,SHORT,0.6219546081390219,5.0,83.33333333333334,0.0007517398012885017,0.03643184268500081
2022-04-25,ALGO/USD,LONG,-1.0077855028419347,1.0,16.666666666666664,-0.00867501679936658,0.03808132341951908
2022-04-25,CRO/USD,SHORT,1.5115878348505873,5.0,83.33333333333334,-0.004257141923878886,0.029194269999971427
2022-04-25,ZRX/USD,SHORT,5.476349409541266,6.0,100.0,0.007227596052101911,0.10347366220579371
2022-05-02,ALGO/USD,LONG,-0.9563146363215074,1.0,16.666666666666664,-0.012912951449419525,0.04793106378900581
