date,portfolio_value,long_exposure,short_exposure,net_exposure,gross_exposure,num_long_positions,num_short_positions,daily_return,log_return
2020-02-19,9957.435959971592,0.05,0.0,0.05,0.05,1,0,,
2020-02-20,9951.41655368172,0.05,0.0,0.05,0.05,1,0,-0.0006045136834491593,-0.0006046964755164808
2020-02-21,9957.975619659073,0.05,0.0,0.05,0.05,1,0,0.0006591087753156089,0.0006588916585239101
2020-02-22,9958.518683280608,0.05,0.0,0.05,0.05,1,0,5.453554439949215e-05,5.453405739075365e-05
2020-02-23,9974.016108853712,0.05,0.0,0.05,0.05,1,0,0.0015561978709868196,0.0015549882498572625
2020-02-24,9950.272531203469,0.05,0.0,0.05,0.05,1,0,-0.002380543342933472,-0.002383381341117017
2020-02-25,9914.461991279422,0.05,0.0,0.05,0.05,1,0,-0.003598950663084577,-0.0036054424664893757
2020-02-26,9867.214533526823,0.05,0.0,0.05,0.05,1,0,-0.004765508990216216,-0.004776900232638219
2020-02-27,9887.061415111917,0.05,0.0,0.05,0.05,1,0,0.002011396581847791,0.0020093764321709264
2020-02-28,9883.94114552237,0.05,0.0,0.05,0.05,1,0,-0.0003155912013226292,-0.000315641010705683
2020-02-29,9866.748103209373,0.05,0.0,0.05,0.05,1,0,-0.0017394925829548047,-0.0017410072569421825
2020-03-01,9862.634227846487,0.05,0.0,0.05,0.05,1,0,-0.00041694338599229663,-0.00041703033105414355
2020-03-02,9889.902365388141,0.05,0.0,0.05,0.05,1,0,0.002764792540380867,0.0027609775316725345
2020-03-03,9878.217548880382,0.05,0.0,0.05,0.05,1,0,-0.001181489571489891,-0.0011821880805353
2020-03-04,9894.683974281063,0.1,0.05,0.05,0.15000000000000002,2,1,0.0016669429802693703,0.001665555172869456
2020-03-05,9861.161123593287,0.1,0.05,0.05,0.15000000000000002,2,1,-0.0033879657778773664,-0.0033937179296703807
2020-03-06,9855.469095960067,0.1,0.05,0.05,0.15000000000000002,2,1,-0.0005772167761869396,-0.0005773834299236028
2020-03-07,9823.619042166009,0.1,0.05,0.05,0.15000000000000002,2,1,-0.003231713628640387,-0.0032369468931122605
2020-03-08,9747.381116029028,0.1,0.05,0.05,0.15000000000000002,2,1,-0.007760676163208635,-0.007790946926565623
2020-03-09,9748.901412940506,0.1,0.05,0.05,0.15000000000000002,2,1,0.0001559697823836359,0.00015595762036171634
2020-03-10,9727.233640148637,0.1,0.05,0.05,0.15000000000000002,2,1,-0.0022225861021742954,-0.002225059712552777
