period,signal_type,forward_period,count,mean_return,median_return,std_return,win_rate_pct,sharpe_ratio
2,signal_neg_move,1d,4947,0.0074271252501380575,0.006969355334631722,0.07029910815303371,56.094602789569436,2.018447067051927
2,signal_neg_move,2d,4922,0.01129569879075548,0.006526043888255506,0.09200114566393672,54.632263307598535,1.6586368195157475
2,signal_neg_move,5d,4911,0.012408520205281194,0.003841229193341844,0.1293054111414104,51.740989615149665,0.8199072426429809
2,signal_neg_move_high_vol,1d,1494,0.012502007000346876,0.012670793532303382,0.07596368526773045,59.17001338688086,3.144272260195854
2,signal_neg_move_high_vol,2d,1481,0.0169307592736278,0.011158159761959219,0.09112706230566238,57.056043214044564,2.5099235833200435
2,signal_neg_move_high_vol,5d,1481,0.009313592990867887,0.004127115146512539,0.13028066929798587,52.126941255908164,0.6107995439778459
2,signal_neg_move_low_vol,1d,3453,0.005231390140143278,0.00498132004981322,0.06759505388652087,54.763973356501594,1.4785929228016363
2,signal_neg_move_low_vol,2d,3441,0.008870379239713953,0.004700887102888851,0.09228208754867004,53.58907294391165,1.2985426306809167
2,signal_neg_move_low_vol,5d,3430,0.013744843005440412,0.003540121121333506,0.1288781343258773,51.57434402332362,0.911217335132578
2,signal_pos_move,1d,5854,-0.0006731519716309952,-0.007290145017873728,0.07709423730013908,43.0816535702084,-0.16681597497790612
2,signal_pos_move,2d,5848,0.0017487013211289436,-0.007938543294580158,0.10747040914706381,44.54514363885089,0.21981542782549945
2,signal_pos_move,5d,5807,0.007379886385330663,-0.005678670360110716,0.15737181461269314,47.40830032719132,0.40066753421801937
