date,symbol,signal,beta,beta_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2020-07-30,ALGO/USD,LONG,0.4647989948827828,1.0,20.0,0.5,1.2375902927049673,116782883.78614496,17336383.0
2020-07-30,XRP/USD,SHORT,0.6870820458807726,4.0,80.0,-0.25,0.5611334847314281,8474172239.531365,54257127.330026634
2020-07-30,ZRX/USD,SHORT,0.6950200100337608,5.0,100.0,-0.25,0.8218044191753832,113427012.9311141,9944330.383179666
2020-07-31,ALGO/USD,LONG,0.45361431144053094,1.0,20.0,0.5,1.243523777291643,116782883.78614496,17757429.933333334
2020-07-31,XRP/USD,SHORT,0.6955284001528091,5.0,100.0,-0.25,0.5881603147591096,8474172239.531365,55896290.58926456
2020-07-31,ZRX/USD,SHORT,0.688500844274326,4.0,80.0,-0.25,0.8258159796705453,113427012.9311141,9980298.042672666
2020-08-01,ALGO/USD,LONG,0.4359842374946197,1.0,20.0,0.5,1.2257045570642557,116782883.78614496,18083706.766666666
2020-08-01,XRP/USD,SHORT,0.734069111811454,5.0,100.0,-0.25,0.6789483072122889,8474172239.531365,61452592.104891665
2020-08-01,ZRX/USD,SHORT,0.6899528417681889,4.0,80.0,-0.25,0.8361872364124826,113427012.9311141,9989261.106715668
2020-08-02,ALGO/USD,LONG,0.4873429159354802,1.0,20.0,0.5,1.2752228004253632,116782883.78614496,18620599.8
2020-08-02,XRP/USD,SHORT,0.7044342216016001,5.0,100.0,-0.25,0.6853434531877086,8474172239.531365,69945259.7993679
2020-08-02,ZRX/USD,SHORT,0.6992679223873918,4.0,80.0,-0.25,0.7848042148484851,113427012.9311141,9499132.584006334
2020-08-03,ALGO/USD,LONG,0.4904408266410013,1.0,20.0,0.5,1.2610090334299595,116782883.78614496,18888029.5
2020-08-03,XRP/USD,SHORT,0.7169996921405535,5.0,100.0,-0.25,0.7141977143875717,8474172239.531365,75097699.72821991
2020-08-03,ZRX/USD,SHORT,0.6991540706724562,4.0,80.0,-0.25,0.7828880503538596,113427012.9311141,8990681.787992
2020-08-04,ALGO/USD,LONG,0.49653652630069095,1.0,20.0,0.5,1.2669714874350368,116782883.78614496,19191749.666666668
2020-08-04,XRP/USD,SHORT,0.7240696358996258,5.0,100.0,-0.25,0.728189518908539,8474172239.531365,78432651.90843633
2020-08-04,ZRX/USD,SHORT,0.6964553692736773,4.0,80.0,-0.25,0.7403945013302043,113427012.9311141,8845616.589027667
2020-08-05,ZRX/USD,LONG,0.34719551798022164,1.0,20.0,0.5,0.7195278239016268,113427012.9311141,8445062.715510333
2020-08-05,XLM/USD,SHORT,0.64039679302338,4.0,80.0,-0.25,0.9055205121351522,909657060.2573128,99522762.46666667
2020-08-05,XRP/USD,SHORT,0.7429435050985166,5.0,100.0,-0.25,0.7097262037937156,8474172239.531365,79798122.07241617
2020-08-06,ZRX/USD,LONG,0.42733558871423977,1.0,20.0,0.5,0.7290791889108639,113427012.9311141,8236438.981870334
2020-08-06,XLM/USD,SHORT,0.6442344613003044,4.0,80.0,-0.25,0.9090752290501232,909657060.2573128,98930165.33333333
2020-08-06,XRP/USD,SHORT,0.7464813618903653,5.0,100.0,-0.25,0.7000151250755963,8474172239.531365,81136535.86349212
2020-08-07,ZRX/USD,LONG,0.4725510721763063,1.0,20.0,0.5,0.6699431425295663,113427012.9311141,7366227.307433334
2020-08-07,XLM/USD,SHORT,0.6493384867037076,4.0,80.0,-0.25,0.7637227523039167,909657060.2573128,93679634.03333333
2020-08-07,XRP/USD,SHORT,0.754034569658687,5.0,100.0,-0.25,0.6388367149659494,8474172239.531365,81143910.03796896
2020-08-08,ZRX/USD,LONG,0.44939016482302035,1.0,20.0,0.5,0.6922658520893109,113427012.9311141,7127371.433498667
2020-08-08,LINK/USD,SHORT,0.6232826127194449,4.0,80.0,-0.25,1.3681795770145984,632725379.188,5481336.7776666675
2020-08-08,XRP/USD,SHORT,0.7139199473124384,5.0,100.0,-0.25,0.6322098846356705,8474172239.531365,79967470.13376157
2020-08-09,ZRX/USD,LONG,0.3990831775173895,1.0,20.0,0.5,0.6936356743654422,113427012.9311141,7158782.496769
2020-08-09,LINK/USD,SHORT,0.5941559961560287,4.0,80.0,-0.25,1.3821166434067975,632725379.188,5649074.935666666
2020-08-09,XRP/USD,SHORT,0.7135674609099388,5.0,100.0,-0.25,0.6372407280690314,8474172239.531365,81169613.0016473
2020-08-10,ZRX/USD,LONG,0.4092490628688258,1.0,16.666666666666664,0.5,0.7349351636567195,113427012.9311141,7413481.893085001
2020-08-10,XRP/USD,SHORT,0.7150889359839686,6.0,100.0,-0.25,0.6384226787632292,8474172239.531365,82643545.07688656
2020-08-10,XTZ/USD,SHORT,0.6224335811255598,5.0,83.33333333333334,-0.25,1.040047923563426,877159746.8913403,5039426.769333334
2020-08-11,ZRX/USD,LONG,0.49113592179003296,1.0,16.666666666666664,0.5,0.7887922990804332,113427012.9311141,7570132.567765666
2020-08-11,XRP/USD,SHORT,0.73685652067833,6.0,100.0,-0.25,0.6641759496146844,8474172239.531365,85714842.3263282
2020-08-11,XTZ/USD,SHORT,0.6591118227102835,5.0,83.33333333333334,-0.25,1.0637846567893139,877159746.8913403,5261412.413000001
2020-08-12,ZRX/USD,LONG,0.5309761959708289,1.0,16.666666666666664,0.5,0.7669301100992302,113427012.9311141,7592689.117457001
2020-08-12,XRP/USD,SHORT,0.7560944566564578,6.0,100.0,-0.25,0.6604102050305785,8474172239.531365,86774218.14445
