date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions
2025-01-27,10000.0,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-01-28,9938.789528289813,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-01-29,10010.965905539162,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-01-30,10109.042012909638,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-01-31,9986.62211567911,3,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-02-01,9774.498551110493,2,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC",None
2025-02-02,9611.20971592573,2,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC",None
2025-02-03,9823.089126111898,2,1,0.5,0.5,-2.7755575615628914e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC",ETH/USDC:USDC
2025-02-04,9893.522642539096,1,1,0.5,0.5,0.0,1.0,BTC/USDC:USDC,ETH/USDC:USDC
2025-02-05,9732.33699580619,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-06,9912.803385424611,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-07,10036.994213194042,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-08,10019.809855293925,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-09,10027.054700203978,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-10,9964.657985366995,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-11,10073.177550332466,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-12,9819.713114356751,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-13,9937.421389151079,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-14,9846.532899688973,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-15,9906.171268233422,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-16,9964.283367122709,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-17,9812.37153950705,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-18,9942.813622991653,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-19,9864.111315825989,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-20,9864.111315825989,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-21,9864.111315825989,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-22,9864.111315825989,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-23,9864.111315825989,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-24,9864.111315825989,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-25,9864.111315825989,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-26,9864.111315825989,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-27,9864.111315825989,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-28,9864.111315825989,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-03-01,9903.61674592708,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-03-02,9294.893124065213,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-03-03,10064.17818795066,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-03-04,10011.176650116815,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-03-05,9853.099064066493,0,2,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, UBTC/USDC"
2025-03-06,9937.275525766587,0,2,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, UBTC/USDC"
2025-03-07,10081.110827905222,0,2,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, UBTC/USDC"
2025-03-08,9947.10597876715,0,2,0.0,0.49999999999999994,-0.49999999999999994,0.49999999999999994,None,"ETH/USDC:USDC, UBTC/USDC"
2025-03-09,10382.718758515924,0,2,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, UBTC/USDC"
2025-03-10,10788.365292842509,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-11,10560.472511052169,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-12,10559.908843366344,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-13,10690.562367474144,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-14,10442.62527902067,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-15,10365.847127705778,0,3,0.0,0.49999999999999994,-0.49999999999999994,0.49999999999999994,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-16,10601.90900708659,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-17,10508.269625039256,0,3,0.0,0.49999999999999994,-0.49999999999999994,0.49999999999999994,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
2025-03-18,10564.28841003191,0,3,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, SOL/USDC:USDC, UBTC/USDC"
