date,symbol,signal,old_weight,new_weight,weight_change,entropy
2021-01-31,XLM/USD,SHORT,0.0,-0.5,-0.5,2.3077516472406154
2021-01-31,GRT/USD,LONG,0.0,0.22266763979553966,0.22266763979553966,3.019250912838829
2021-01-31,LINK/USD,LONG,0.0,0.27733236020446034,0.27733236020446034,2.990759147096384
2021-02-07,ZRX/USD,SHORT,0.0,-0.5,-0.5,2.6505377798848193
2021-02-07,ALGO/USD,LONG,0.0,0.5,0.5,3.045274881209708
2021-02-07,XLM/USD,CLOSE,-0.5,0.0,0.5,2.810428829289149
2021-02-07,GRT/USD,CLOSE,0.22266763979553966,0.0,-0.22266763979553966,2.9689250793612643
2021-02-07,LINK/USD,CLOSE,0.27733236020446034,0.0,-0.27733236020446034,2.9689250793612643
2021-02-14,ALGO/USD,LONG,0.5,0.21569153072723804,-0.284308469272762,2.909685696912064
2021-02-14,XTZ/USD,LONG,0.0,0.28430846927276193,0.28430846927276193,2.894205915355059
2021-02-21,ALGO/USD,CLOSE,0.21569153072723804,0.0,-0.21569153072723804,2.638920595031594
2021-02-21,XTZ/USD,LONG,0.28430846927276193,0.23850225875283776,-0.04580621051992417,2.9260265301011663
2021-02-21,EOS/USD,LONG,0.0,0.26149774124716224,0.26149774124716224,2.9362434129830604
2021-02-28,OXT/USD,LONG,0.0,0.2199667519637437,0.2199667519637437,2.8382953819095214
2021-02-28,XTZ/USD,CLOSE,0.23850225875283776,0.0,-0.23850225875283776,2.777747162910945
2021-02-28,EOS/USD,LONG,0.26149774124716224,0.28003324803625623,0.018535506789093992,2.909685696912064
2021-03-07,OXT/USD,CLOSE,0.2199667519637437,0.0,-0.2199667519637437,2.7492553971684996
2021-03-07,ZRX/USD,LONG,-0.5,0.30018868313832875,0.8001886831383287,2.9193688320938413
2021-03-07,EOS/USD,CLOSE,0.28003324803625623,0.0,-0.28003324803625623,2.8314018453921714
2021-03-07,BNT/USD,LONG,0.0,0.19981131686167122,0.19981131686167122,3.0671089489448278
2021-03-07,GRT/USD,SHORT,0.0,-0.5,-0.5,2.445814131548943
2021-03-14,ZRX/USD,LONG,0.30018868313832875,0.26562847261406536,-0.03456021052426339,2.9777471629109447
2021-03-14,ALGO/USD,LONG,0.0,0.23437152738593467,0.23437152738593467,3.057425813763051
2021-03-14,XTZ/USD,SHORT,0.0,-0.5,-0.5,2.6934363291449177
2021-03-14,BNT/USD,CLOSE,0.19981131686167122,0.0,-0.19981131686167122,2.939572261986723
2021-03-14,GRT/USD,CLOSE,-0.5,0.0,0.5,2.8410849805739486
2021-03-21,ZRX/USD,LONG,0.26562847261406536,0.26324936609935135,-0.0023791065147140134,3.0314018453921716
2021-03-21,ALGO/USD,LONG,0.23437152738593467,0.2367506339006486,0.00237910651471393,3.002910079649727
2021-03-21,XTZ/USD,CLOSE,-0.5,0.0,0.5,
2021-03-21,GRT/USD,SHORT,0.0,-0.5,-0.5,2.6956007146872727
2021-03-28,OXT/USD,SHORT,0.0,-0.5,-0.5,2.706448313330357
2021-03-28,ZRX/USD,LONG,0.26324936609935135,0.22885589169079548,-0.03439347440855586,3.085917579505496
2021-03-28,ALGO/USD,CLOSE,0.2367506339006486,0.0,-0.2367506339006486,2.8859175795054957
2021-03-28,XLM/USD,LONG,0.0,0.2711441083092045,0.2711441083092045,3.089246428509158
2021-03-28,GRT/USD,CLOSE,-0.5,0.0,0.5,2.773023514575068
2021-04-04,ZRX/USD,CLOSE,0.22885589169079548,0.0,-0.22885589169079548,2.8980685120588383
2021-04-04,ALGO/USD,LONG,0.0,0.21329571872724645,0.21329571872724645,2.9777471629109447
2021-04-04,XLM/USD,LONG,0.2711441083092045,0.28670428127275355,0.015560172963549057,3.06818194698418
2021-04-11,OXT/USD,CLOSE,-0.5,0.0,0.5,2.424549118527369
2021-04-11,ZRX/USD,LONG,0.0,0.22510078710826284,0.22510078710826284,2.990759147096384
2021-04-11,ALGO/USD,LONG,0.21329571872724645,0.2748992128917372,0.061603494164490735,3.0444138295776115
2021-04-11,XLM/USD,SHORT,0.28670428127275355,-0.5,-0.7867042812727536,2.4137576782928116
2021-04-18,OXT/USD,SHORT,0.0,-0.5,-0.5,2.488712680809041
2021-04-18,ZRX/USD,LONG,0.22510078710826284,0.26179545968437357,0.036694672576110726,3.1207636314260547
2021-04-18,ALGO/USD,CLOSE,0.2748992128917372,0.0,-0.2748992128917372,2.911080496244278
2021-04-18,XLM/USD,CLOSE,-0.5,0.0,0.5,2.639690181241735
2021-04-18,EOS/USD,LONG,0.0,0.23820454031562638,0.23820454031562638,3.202910079649727
2021-04-25,OXT/USD,CLOSE,-0.5,0.0,0.5,2.610428829289149
2021-04-25,ZRX/USD,LONG,0.26179545968437357,0.25760751565187645,-0.004187944032497115,3.1055872616982603
2021-04-25,STORJ/USD,SHORT,0.0,-0.5,-0.5,2.004935594743131
2021-04-25,EOS/USD,LONG,0.23820454031562638,0.24239248434812355,0.004187944032497171,3.260754662766713
2021-05-02,ZRX/USD,CLOSE,0.25760751565187645,0.0,-0.25760751565187645,2.8961399650265074
2021-05-02,ALGO/USD,LONG,0.0,0.27476628265940095,0.27476628265940095,3.052702165427174
2021-05-02,STORJ/USD,CLOSE,-0.5,0.0,0.5,2.9144093452479405
2021-05-02,XLM/USD,SHORT,0.0,-0.5,-0.5,2.86818194698418
2021-05-02,EOS/USD,LONG,0.24239248434812355,0.225233717340599,-0.017158767007524556,3.1152703968800375
2021-05-09,ADA/USD,LONG,0.0,0.2694348681748322,0.2694348681748322,3.0396901812417347
