rebalance_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,trading_days,avg_long_positions,avg_short_positions,avg_portfolio_beta,final_value
1,0.8529981949928741,0.11820971825686866,0.4063269915173743,0.29092263306316457,0.390295092229655,-0.5741066883004902,0.20590200509037987,0.3791563275434243,2015,1.0719602977667493,1.830272952853598,-0.2876380317245897,18529.98194992874
2,1.6886483546190938,0.1962071882865284,0.4099222955496697,0.47864483200024976,0.6503542931375667,-0.5494979167684815,0.3570663005246585,0.38511166253101736,2015,1.0719602977667493,1.8327543424317618,-0.2872958113435448,26886.48354619094
3,2.1013074146902393,0.22754984463622785,0.40092633650438525,0.5675602321867896,0.7563727694199596,-0.5028084995091306,0.45255767326601387,0.38560794044665014,2015,1.06848635235732,1.8258064516129033,-0.283936888924438,31013.074146902392
5,2.7378122079872154,0.2697690995632931,0.3986164236423438,0.6767636343186446,0.915308885087802,-0.46954256904122665,0.574535978951052,0.38213399503722084,2015,1.0620347394540943,1.813895781637717,-0.27893622528475914,37378.122079872155
7,1.1727611251207364,0.15092450109736544,0.40460875856846806,0.37301343063196674,0.48839514990674643,-0.5537120560096372,0.2725685660251158,0.3761786600496278,2015,1.050620347394541,1.7970223325062036,-0.2792986168439974,21727.611251207363
10,2.346840862897064,0.24460961102850276,0.4059991601859421,0.6024879729220989,0.8245637709334178,-0.4698342745981519,0.5206295586623959,0.37220843672456577,2015,1.0372208436724566,1.7741935483870968,-0.2680489220151501,33468.40862897064
30,2.4306515405009965,0.2501982575784969,0.37373395442233065,0.6694555167330751,1.016377596876318,-0.41136235830928586,0.608218648412122,0.36873449131513647,2015,1.0372208436724566,1.7692307692307692,-0.2299168410707875,34306.515405009966
