Strategy,Daily Mean Return,Daily Volatility,Annual Return,Annual Volatility,Sharpe Ratio,Num Days
kurtosis_factor_momentum_60d,0.0005948274573890505,0.019760241062292357,0.21711202194700344,0.3775188754175946,0.5751024282079771,1332
size_rebalance_10d,0.000630400059145034,0.0210035084299315,0.2300960215879374,0.40127146512512485,0.5734173535518869,2093
size_rebalance_5d,0.0006161774934913179,0.020806408560535998,0.22490478512433104,0.3975058774076179,0.5657898358411063,2093
size_rebalance_3d,0.0006129007656002378,0.020805596156356024,0.2237087794440868,0.3974903564475526,0.5628030361375682,2093
size_rebalance_7d,0.0006150627229653833,0.020975820696752766,0.2244978938823649,0.4007424917254812,0.5602048660119419,2093
carry_factor_corrected,0.0003673844622736193,0.012655336946079867,0.13409532872987104,0.24177987286965624,0.5546174176465134,1727
beta_rebalance_7d,0.0006073581242474117,0.0211781903524264,0.2216857153503053,0.4046087585684675,0.5479014249089516,2014
size_rebalance_2d,0.0005694904910152006,0.020824052444434464,0.20786402922054822,0.39784296333619285,0.5224775812985663,2093
trendline_breakout_r05_z15_h5,0.0004730399477469216,0.017801740872602913,0.17265958092762637,0.3401017818312408,0.507670321507755,2074
size_rebalance_30d,0.000548555661108305,0.020742850630963237,0.20022281630453131,0.39629160486810083,0.5052411250830615,2093
beta_rebalance_1d,0.0005297184013885541,0.021268126775430427,0.19334721650682224,0.4063269915173737,0.47584142954617153,2014
size_rebalance_1d,0.0005119635323261877,0.02069177826550763,0.18686668929905853,0.395315868696111,0.472702221429688,2093
trendline_factor,0.00046494100007091026,0.018864439237410616,0.16970346502588224,0.36040460558352244,0.4708693018811994,1727
trendline_breakout_r05_z15_h10,0.0005709490731685495,0.023545515682297718,0.20839641170652057,0.4498364454910747,0.4632715152259832,2074
trendline_slope_only,0.00044804911293011237,0.018866291221575366,0.163537926219491,0.36043998769130964,0.4537174891914302,1727
carry_factor,0.00028836806254527896,0.012794512448230823,0.10525434282902682,0.24443881710480378,0.43059586065620153,1727
adf_trend_following_2021_top100,0.00022020314796469058,0.014785265705447626,0.08037414900711207,0.28247210468106454,0.28453835856769444,1697
trendline_14d,0.0002807118863651055,0.021186061593828447,0.10245983852326351,0.40475913842430394,0.2531378017112393,1743
adf_trend_riskparity_2021_top100,0.0001613088964019925,0.014318867494849966,0.05887774718672726,0.27356157937894143,0.21522666786906125,1697
trendline_breakout_r07_z20_h5,0.00012207453972025328,0.011560615166741374,0.04455720699789245,0.22086524264180657,0.20173933419734202,2074
volatility_factor_long_low,0.00014598568471838234,0.015359129440952812,0.05328477492220955,0.293435755953734,0.1815892366253108,997
trendline_breakout_long_only_r06_z10_h7,1.8639228249429837e-05,0.019062432885799313,0.00680331831104189,0.36418726892471837,0.018680824102196205,2074
trendline_reversal_h1,4.877538256883634e-06,0.011581243071558873,0.0017803014637625264,0.2212593382099919,0.00804622068458365,2074
volatility_factor_long_high,-4.372990690779684e-05,0.023732140168939223,-0.015961416021345848,0.4534019013020735,-0.0352036812715343,997
trendline_reversal_r06_z15_s75_h10,-0.00010079724318165353,0.02729302247196543,-0.036790993761303535,0.5214324621790933,-0.07055754374699277,2074
iqr_spread_no_vol_filter,-0.00012917768239599037,0.024604786028241826,-0.047149854074536486,0.47007377703492553,-0.1003030936376469,1564
trendline_reversal_r05_z15_s50_h5,-0.00015271387777145696,0.022836169609406,-0.05574056538658179,0.43628440779701116,-0.12776199284324655,2074
beta_factor_long_low,-0.00025635323394458096,0.022326407043375452,-0.09356893038977204,0.4265454076476114,-0.2193645241799757,1667
kurtosis_factor,-0.0002509700325942769,0.02091318976039105,-0.09160406189691106,0.39954592936639416,-0.229270417151235,1362
adf_mean_reversion_2021_top100,-0.00022020314796469302,0.014785265705447626,-0.08037414900711295,0.28247210468106454,-0.2845383585676976,1697
volatility_factor_long_high_short_low,-0.00026148767924364546,0.01355641954775648,-0.0954430029239306,0.25899503180273514,-0.36851287169332747,997
trendline_reversal_h2,-0.0003298569788337323,0.01632888498316529,-0.12039779727431228,0.31196290957356765,-0.3859362558160776,2074
trendline_reversal_h3,-0.0003896157898382093,0.01757648531373495,-0.1422097632909464,0.3357982804216517,-0.42349759240094353,2074
adf_long_trending_2021_top100,-0.0004612935367522705,0.018668244748213537,-0.16837214091457872,0.3566563151304191,-0.47208512445099926,1697
trendline_reversal_r07_z20_s100_h5,-0.0004931304661916461,0.014338748194485725,-0.17999262015995082,0.2739413996121738,-0.6570478956987561,2074
adf_long_stationary_2021_top100,-0.0006814966847169599,0.019286849644271773,-0.24874628992169034,0.3684747450752526,-0.675070118769984,1697
beta_factor_long_high,-0.0010936076442922941,0.02734720983119435,-0.3991667901666874,0.5224677102235612,-0.7640027935810348,1667
beta_factor_risk_premium,-0.0008372544103477146,0.020630847504683674,-0.30559785977691584,0.39415178814506485,-0.7753303903937705,1667
trendline_60d,-0.0008781484668301005,0.019251123375202673,-0.3205241903929867,0.3677921956630609,-0.8714817610937644,1697
adf_factor_test,-0.0016288093530942823,0.025532177357727986,-0.594515413879413,0.4877915635070622,-1.218789865091231,305
