Strategy,Daily Mean Return,Daily Volatility,Annual Return,Annual Volatility,Sharpe Ratio,Num Days
iqr_spread_adjusted,0.0036978727055316345,0.025870074910712602,1.3497235375190466,0.494247087192577,2.730867965627776,101
breakout_10d_50k_1.5x,0.002039849594643693,0.01902887581496141,0.744545102044948,0.363546161986544,2.0480070480636954,64
breakout_10d_50k,0.001319956026023878,0.012675262846966986,0.4817839494987155,0.24216055667158326,1.989522803055446,64
size_factor,0.001966966715062219,0.024591551447078374,0.71794285099771,0.46982093071682146,1.5281201923088457,469
size_factor_long_short,0.0009654038592023752,0.013628031883328347,0.352372408608867,0.260363183552802,1.3533880013316297,69
volatility_rebalance_3d,0.0010508985791982828,0.015576315508523826,0.38357798140737326,0.29758508994856264,1.2889690860307363,2093
volatility_rebalance_10d,0.0010262108708223123,0.015406033979726631,0.374566967850144,0.29433186590877214,1.2726007994195254,2093
volatility_rebalance_30d,0.0009649635566111834,0.014620113677537985,0.3522116981630819,0.27931687961812945,1.2609753432897117,2093
volatility_rebalance_1d,0.0010256591138494138,0.01599591387704562,0.37436557655503605,0.3056015055232535,1.2250122129275645,2093
adf_factor_trend_test,0.0016288093530942842,0.025532177357727993,0.5945154138794138,0.4877915635070623,1.2187898650912323,305
volatility_rebalance_5d,0.000979761159644887,0.015664510217633074,0.35761282327038374,0.29927004750023145,1.194950267350451,2093
volatility_rebalance_7d,0.0009633961376305603,0.0156286193887491,0.3516395902351545,0.29858435417719104,1.177689270438057,2093
volatility_rebalance_2d,0.0009439958892769215,0.015773521324028046,0.34455849958607637,0.30135270176363466,1.1433728570196464,2093
iqr_spread_full,0.001482373388015221,0.025057877786850487,0.5410662866255557,0.4787300829287504,1.1302115866950495,381
kurtosis_factor_momentum_14d_rebal,0.0009731197479698105,0.020756794254775723,0.35518870800898084,0.39655799742699427,0.8956790943911566,1362
beta_factor_bab_risk_parity,0.0009230584437134415,0.02087485156366346,0.33691633195540616,0.3988134791463532,0.8447967522977514,1667
beta_rebalance_5d,0.0008698307323425268,0.02086453720717577,0.3174882173050223,0.3986164236423432,0.7964755049578368,2014
beta_rebalance_30d,0.0007984849479325486,0.019562129242888818,0.2914470059953802,0.3737339544223301,0.7798247992903442,2014
beta_factor,0.0008372544103477082,0.020630847504683678,0.3055978597769135,0.3941517881450649,0.7753303903937644,1667
beta_rebalance_10d,0.0008219098427365159,0.021250967299285804,0.2999970925988283,0.4059991601859415,0.7389106235131967,2014
beta_rebalance_3d,0.0007797147530092281,0.020985443572284906,0.2845958848483683,0.40092633650438475,0.709845821877695,2014
beta_rebalance_2d,0.000717770301390314,0.021456313589379272,0.2619861600074646,0.40992229554966914,0.6391117605744391,2014
kurtosis_factor_momentum,0.0006863112555819691,0.020857065405687655,0.25050360828741874,0.39847367507534726,0.6286578611248311,1362
volatility_factor,0.00044505359612292635,0.013550046573560364,0.1624445625848681,0.25887327630167634,0.6275061099607839,997
trendline_risk_parity,0.0006257866905487569,0.019364388460832434,0.22841214205029625,0.3699561220856298,0.6174033308669727,1727
