strategy,mean_return,annualized_return,annualized_vol,sharpe_ratio,win_rate,max_drawdown,count
Long High HE,0.0033852518286333465,0.185694349617203,0.7025132335703361,0.24286616110561626,0.5170028818443804,-0.9999848733753838,1735
Short Low HE,-0.003978028873739025,-0.1819996371251542,0.6947860189331935,-0.2885674866404085,0.48242074927953893,-0.9999999001445127,1735
Long/Short 50/50,-0.0002963885225528397,-0.014829144702634744,0.14369048900788553,-0.10395943141263406,0.5025936599423632,-0.7926611783175245,1735
