,value
initial_capital,10000.0
leverage,1.0
final_value,1764.9357053555134
total_return,-0.8235064294644486
annualized_return,-0.31582768842074715
annualized_volatility,0.3941517881450655
sharpe_ratio,-0.8012844237167546
sortino_ratio,-0.9293467302031234
max_drawdown,-0.8657544789535152
calmar_ratio,-0.3648005249738995
win_rate,0.4148681055155875
trading_days,1668.0
avg_long_exposure,2820.8742549339213
avg_short_exposure,-2820.8742549339213
avg_net_exposure,0.0
avg_gross_exposure,5641.748509867843
avg_long_positions,2.0707434052757794
avg_short_positions,1.2218225419664268
avg_portfolio_beta,0.33092128303534457
