date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions
2025-01-27,10000.0,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-01-28,9938.789528289813,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-01-29,10010.965905539162,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-01-30,10109.042012909638,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-01-31,9986.62211567911,3,0,0.49999999999999994,0.0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-02-01,9774.498551110493,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-02-02,9523.388222002017,3,0,0.5,0.0,0.5,0.5,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",None
2025-02-03,9735.734184482042,3,1,0.5,0.5,1.3877787807814457e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-04,9772.951458447998,3,1,0.49999999999999994,0.5,-6.938893903907228e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-05,9511.294725640353,3,1,0.49999999999999994,0.5,-5.551115123125783e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-06,9622.241175919775,3,1,0.5,0.5,5.551115123125783e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-07,9787.926854977757,3,1,0.5,0.5,-2.7755575615628914e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-08,9820.457689419341,3,1,0.5,0.5,4.163336342344337e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-09,9824.098086241507,3,1,0.5,0.5,1.3877787807814457e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-10,9803.710170018707,3,1,0.5,0.5,0.0,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-11,9845.06926544,3,1,0.5,0.5,-1.3877787807814457e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-12,9677.704694183498,3,1,0.5,0.5,0.0,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-13,9782.755907118026,3,1,0.5,0.5,1.3877787807814457e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-14,9821.609665256556,3,1,0.5,0.5,-1.3877787807814457e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-15,9865.07525034594,3,1,0.5,0.5,0.0,1.0,"BTC/USDC:USDC, SOL/USDC:USDC, XRP/USDC:USDC",ETH/USDC:USDC
2025-02-16,9833.231308451164,2,1,0.5,0.5,2.7755575615628914e-17,1.0,"BTC/USDC:USDC, SOL/USDC:USDC",ETH/USDC:USDC
2025-02-17,9594.118899846675,2,1,0.5,0.5,0.0,1.0,"BTC/USDC:USDC, SOL/USDC:USDC",ETH/USDC:USDC
2025-02-18,9641.200264775478,2,1,0.5,0.5,0.0,1.0,"BTC/USDC:USDC, SOL/USDC:USDC",ETH/USDC:USDC
2025-02-19,9592.759581304612,1,1,0.5,0.5,0.0,1.0,BTC/USDC:USDC,ETH/USDC:USDC
2025-02-20,9631.87634499311,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-21,9762.219865492318,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-22,9586.277479641358,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-23,9492.101900618418,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-24,10051.190211291085,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-25,10090.813847281277,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-26,10427.422182202825,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-27,10490.50183570609,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-28,10657.399518501099,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-03-01,10700.082040854842,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-03-02,10042.403855074183,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-03-03,10873.556100516611,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-03-04,10816.292091047864,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-03-05,10645.501643178974,0,2,0.0,0.5,-0.5,0.5,None,"UBTC/USDC, ETH/USDC:USDC"
2025-03-06,10736.447715629758,0,2,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, UBTC/USDC"
2025-03-07,10891.850491478035,0,2,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, UBTC/USDC"
2025-03-08,10747.068749975424,0,2,0.0,0.49999999999999994,-0.49999999999999994,0.49999999999999994,None,"ETH/USDC:USDC, UBTC/USDC"
2025-03-09,11217.714232422391,0,2,0.0,0.5,-0.5,0.5,None,"ETH/USDC:USDC, UBTC/USDC"
