date,symbol,old_weight,new_weight,trade,signal,kurtosis,portfolio_value
2020-02-19,XRP/USD,0.0,0.05,BUY,LONG,-0.018562096681551843,10000.0
2020-03-04,ZRX/USD,0.0,-0.05,SELL,SHORT,-1.092019887100799,9878.217548880382
2020-03-04,ALGO/USD,0.0,0.05,BUY,LONG,1.361560385926154,9878.217548880382
2020-03-18,ALGO/USD,0.05,0.0,SELL,FLAT,8.550875490445083,9453.806378797517
2020-03-18,LINK/USD,0.0,0.05,BUY,LONG,10.651937012228059,9453.806378797517
2020-03-18,XTZ/USD,0.0,0.05,BUY,LONG,9.155777404972545,9453.806378797517
2020-03-18,XRP/USD,0.05,0.0,SELL,FLAT,8.041442319198385,9453.806378797517
2020-04-01,ALGO/USD,0.0,0.05,BUY,LONG,14.253165396881798,9596.948545935056
2020-04-01,XTZ/USD,0.05,0.0,SELL,FLAT,8.112571729881651,9596.948545935056
2020-04-15,ZRX/USD,-0.05,0.0,BUY,FLAT,,9800.649776993385
2020-04-15,ALGO/USD,0.05,0.0,SELL,FLAT,,9800.649776993385
2020-04-29,LINK/USD,0.05,0.0,SELL,FLAT,,9874.711998806277
2020-04-29,XLM/USD,0.0,0.05,BUY,LONG,0.6104007010591861,9874.711998806277
2020-05-13,ZRX/USD,0.0,0.05,BUY,LONG,4.945898131160959,9885.08678496136
2020-05-13,XLM/USD,0.05,0.0,SELL,FLAT,-0.016938553267261902,9885.08678496136
2020-06-10,ZRX/USD,0.05,0.0,SELL,FLAT,0.03892868669587468,9873.54032690552
2020-06-10,XLM/USD,0.0,0.05,BUY,LONG,0.8690420282960014,9873.54032690552
2020-06-24,XLM/USD,0.05,0.0,SELL,FLAT,0.8638641619252008,9825.393260937459
2020-06-24,XRP/USD,0.0,0.05,BUY,LONG,2.178327262874502,9825.393260937459
2020-08-05,XLM/USD,0.0,0.05,BUY,LONG,1.0613435270361817,10057.438351067824
2020-08-05,ZRX/USD,0.0,-0.05,SELL,SHORT,-0.22705648549777857,10057.438351067824
