date,portfolio_value,num_positions,num_longs,num_shorts,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return
2020-02-19,10006.72863582316,2,0,2,0.0,-5003.36431791158,-5003.36431791158,5003.36431791158,
2020-02-20,9960.297953720486,2,0,2,0.0,-4980.148976860243,-4980.148976860243,4980.148976860243,-0.004639946159472719
2020-02-21,9977.960108178084,2,0,2,0.0,-4988.980054089042,-4988.980054089042,4988.980054089042,0.0017732556334824068
2020-02-22,9801.071694774033,2,0,2,0.0,-4900.5358473870165,-4900.5358473870165,4900.5358473870165,-0.017727913469915646
2020-02-23,10063.225938968644,2,0,2,0.0,-5031.612969484322,-5031.612969484322,5031.612969484322,0.02674750806428583
2020-02-24,10063.225938968644,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-02-25,10427.019102977822,1,0,1,0.0,-5213.509551488911,-5213.509551488911,5213.509551488911,0.03615074989029421
2020-02-26,10273.233757274485,1,0,1,0.0,-5136.616878637243,-5136.616878637243,5136.616878637243,-0.014748735394511492
2020-02-27,10637.907226169267,1,0,1,0.0,-5318.953613084634,-5318.953613084634,5318.953613084634,0.035497437078812366
2020-02-28,11021.4355330761,1,0,1,0.0,-5510.71776653805,-5510.71776653805,5510.71776653805,0.0360529847415243
2020-02-29,11115.49195975164,1,0,1,0.0,-5557.74597987582,-5557.74597987582,5557.74597987582,0.008533954256074061
2020-03-01,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-02,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-03,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-04,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-05,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-06,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-07,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-08,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-09,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-10,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-11,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-12,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-13,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-14,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-15,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-16,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-17,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-18,11115.49195975164,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-19,10863.61312683967,2,2,0,5431.806563419835,0.0,5431.806563419835,5431.806563419835,-0.02266016059604059
2020-03-20,10779.33483112603,4,4,0,8982.779025938358,0.0,8982.779025938358,8982.779025938358,-0.007757851345554734
2020-03-21,10101.028391555403,4,4,0,8417.523659629502,0.0,8417.523659629502,8417.523659629502,-0.06292655810374992
2020-03-22,10853.968965726646,4,4,0,9044.974138105537,0.0,9044.974138105537,9044.974138105537,0.07454098186682767
2020-03-23,11048.744377608844,4,4,0,9207.286981340703,0.0,9207.286981340703,9207.286981340703,0.017945086492990425
2020-03-24,10949.143787540112,2,2,0,3649.7145958467036,0.0,3649.7145958467036,3649.7145958467036,-0.009014652404356505
2020-03-25,10949.143787540112,0,0,0,0.0,0.0,0.0,0.0,0.0
2020-03-26,10760.105260894587,1,1,0,5380.052630447293,0.0,5380.052630447293,5380.052630447293,-0.017265142399595423
