date,majors_return,small_caps_return,iqr_spread
2021-05-19,0.0,0,24.873367899619517
2021-05-20,0.0,0,27.333336298762543
2021-05-21,0.0,0,23.47997309903228
2021-05-23,0.09555724670571267,0,25.63033363423727
2021-05-24,0.0012276981028002435,0,30.5288229489342
2021-05-25,0.04061323634831561,0,26.51193164940156
2021-06-21,-0.006489709806798862,0,15.509291566725661
2021-06-22,0.039502737480812074,0,20.38155501667171
2021-07-20,0.044914768899639745,0,8.303494845727435
2021-07-26,0.010316322528604227,0,11.91023837895786
2021-07-30,0.007843529223747632,0,14.512635908261784
2021-07-31,-0.009317220199726362,0,16.547209885040807
2021-08-01,0.004671161777768722,0,19.213398475484457
2021-08-05,0.010210894776654746,0,20.040630181382024
2021-08-06,0.029514017487647454,0,14.428462132886516
2021-08-07,-0.031033443586080043,0,16.449571215531492
2021-08-08,0.020227722719843518,0,14.893324030041331
2021-08-09,0.013086481867084356,0,14.699594236742103
2021-08-10,0.023555179186202434,0,15.16058720949378
2021-08-11,-0.00311986311254734,0,15.17960797433965
2021-08-12,0.04413209252222746,0,20.668184183885156
2021-08-13,0.01301767494565942,0,15.901622510539347
2021-08-15,-0.018123904652368916,0,29.467667467777595
2021-08-16,-0.030308306735713438,0,19.416296915887045
2021-08-17,0.0048863523794488994,0,25.706276504548498
2021-08-18,0.0376917362013831,0,29.85957805118504
2021-08-19,0.019292011489075292,0,35.3552780068026
2021-08-20,-0.011446772300953546,0,32.12695710103141
2021-08-21,0.007878993840690069,0,22.29287811472137
2021-08-22,0.012072379133178832,0,22.858310583763874
2021-08-23,-0.04320464826238433,0,22.151189062968278
2021-08-24,0.022790259625614276,0,21.40611885439172
2021-08-25,-0.04031260319314831,0,29.068402693854452
2021-08-26,0.042884349477098176,0,21.440571505636186
2021-08-27,-0.0049338959238351635,0,28.336215067238257
2021-08-28,1.605365864060232e-05,0,22.503465488373884
2021-08-29,-0.022424668916750542,0,32.67720520600852
2021-08-30,0.030907988060401397,0,21.133995151516817
2021-08-31,0.036481890472733085,0,15.118246966933128
2021-09-01,-0.0025536852402472453,0,20.553858219465518
2021-09-02,0.01763068575212838,0,28.246688659816353
2021-09-03,-0.006607544003002381,0,22.569082937107822
2021-09-04,0.041325166432247054,0,24.876041506508756
2021-09-05,0.0013521552503659214,0,15.750971345313268
2021-09-06,-0.09480359241707673,0,26.68290296637464
2021-09-07,-0.002686372261856489,0,19.555876992653843
2021-09-08,0.02021161931949426,0,26.269999151148873
2021-09-09,-0.016439562335840496,0,31.518381938553404
2021-09-10,0.013062265349212438,0,27.141676543534345
2021-09-11,0.023285774243511432,0,38.769933351499894
2021-09-12,-0.02290705682786718,0,23.959631024931436
2021-09-13,0.01966202509216252,0,11.656456974278163
2021-09-14,0.010901643674623849,0,20.92908432648663
2021-09-15,-0.008078236179061163,0,28.48168716087124
2021-09-16,-0.02647717191843977,0,34.715898961389414
2021-09-17,0.013629058405525855,0,22.023328425109543
2021-09-18,-0.017789951793218815,0,21.965884021742262
2021-09-19,-0.06693883266181844,0,22.10966360172671
2021-09-20,-0.03674216428944708,0,23.985553220750663
2021-09-21,0.05964223539696978,0,23.062996945472715
2021-09-22,0.0184077488682697,0,24.122286668852727
2021-09-23,-0.02515951870965867,0,22.37244002461975
2021-09-24,-0.0034949382652066175,0,24.1799153989302
2021-09-25,0.003175747823643627,0,28.15464362441042
2021-09-26,-0.01642734483808556,0,24.246101951853515
2021-09-27,-0.022251913820076505,0,26.23027426397262
2021-09-28,0.010804110061503731,0,27.021092988234177
2021-09-29,0.019574295225851763,0,28.166405222094326
2021-09-30,0.04354933565259895,0,17.190952262165
2021-10-01,0.008035771829191605,0,19.140022992618377
2021-10-02,0.013163875723159189,0,20.52450525463746
2021-10-03,-0.006936305200946448,0,17.530081451112896
2021-10-04,0.006290284944048114,0,21.287414996987597
2021-10-05,0.00025036231987914364,0,17.789994954436285
2021-10-06,0.001072894489249322,0,16.809777774032916
2021-10-07,-0.007291840249597335,0,11.342544128907406
2021-10-08,0.01621211044556326,0,9.77763952445319
2021-10-09,-0.030356796610738652,0,15.48762874488062
2021-10-10,-0.000826616114602473,0,10.670679387453205
2021-10-11,-0.0013626994556607261,0,10.155373788967191
2021-10-12,0.015579943153318294,0,12.330153648741117
2021-10-13,-0.00016236616329777802,0,10.617900188926605
2021-10-14,0.00402354024128875,0,10.721151775973425
2021-10-15,0.0017976091080436792,0,11.886601565371247
2021-10-16,-0.005425014107529337,0,8.513801330461446
2021-10-17,-0.0029203520992339047,0,10.978753467421878
2021-10-18,-0.00010380389159437127,0,15.814467399417936
2021-10-19,0.014706895044289592,0,15.669790865620012
2021-10-20,-0.00835674552561569,0,20.608000007332127
2021-10-21,0.0018647422182468283,0,21.591099430738666
2021-10-22,0.007020663207888846,0,19.77975446414658
2021-10-23,-0.005127157422650831,0,21.23295063273276
2021-10-24,0.016737474639689446,0,26.445648491693596
2021-10-25,-0.00025114915713011186,0,31.426049813627824
2021-10-26,-0.05221958754853718,0,32.14344938133384
2021-10-27,0.029481338047886427,0,24.191948341175262
2021-10-28,0.009165335424664576,0,35.0690835855238
2022-07-28,0.004350824314711112,0,17.435546366209408
2024-03-05,0.01642833023001193,0,49.99969298207364
2024-04-12,-0.03558471822902116,0,15.37274227909634
2024-04-13,0.01432110798357231,0,15.775291651139007
2024-08-05,0.01047346846226646,0,13.084141051895273
