Strategy,Annual_Return,Annual_Volatility,Equal_Weight_Unscaled,Equal_Weight_Scaled,Risk_Parity_Unscaled,Risk_Parity_Scaled,Max_Sharpe_Unscaled,Max_Sharpe_Scaled
volatility_rebalance_30d,0.3522116981630819,0.27931687961812945,0.1,0.1921690950721306,0.12456367864620599,0.2563195769018942,0.04219843996004184,0.06121258585143928
volatility_rebalance_10d,0.374566967850144,0.29433186590877214,0.1,0.1921690950721306,0.11820921233176178,0.24324374183618594,0.023593682894354352,0.03422473297804036
volatility_rebalance_3d,0.38357798140737326,0.29758508994856264,0.1,0.1921690950721306,0.11691693975402995,0.24058458176668496,0.06941450011446362,0.10069189883831746
volatility_rebalance_5d,0.35761282327038374,0.29927004750023145,0.1,0.1921690950721306,0.11625867113609747,0.2392300365616138,0.0,0.0
size_rebalance_1d,0.18686668929905853,0.395315868696111,0.1,0.1921690950721306,0.08801250035312827,0.1811067808672073,0.0,0.0
size_rebalance_3d,0.2237087794440868,0.3974903564475526,0.1,0.1921690950721306,0.08753102425971548,0.18011602858778508,0.3927946833543941,0.5697835820373279
size_rebalance_5d,0.22490478512433104,0.3975058774076179,0.1,0.1921690950721306,0.08752760653532642,0.18010899580199316,0.34941324726555933,0.5068549552098661
size_rebalance_2d,0.20786402922054822,0.39784296333619285,0.1,0.1921690950721306,0.08745344580548094,0.17995639235367403,0.0,0.0
size_rebalance_7d,0.2244978938823649,0.4007424917254812,0.1,0.1921690950721306,0.08682068598068104,0.17865433759472713,0.12258544641118681,0.17782107987136928
size_rebalance_10d,0.2300960215879374,0.40127146512512485,0.1,0.1921690950721306,0.08670623519757274,0.1784188277204103,0.0,0.0
