date,symbol,signal,roc_pct,cum_funding_pct,spread_pct,spread_zscore,spread_mean,spread_std,weight,position_size,volatility
2021-05-27,LINK/USD,SHORT,-13.862556508120482,-51.3103,37.447743491879514,2.383440557403306,-86.92691069520134,52.182821929733244,-0.5,-5000.0,2.7080906381169507
2021-05-27,XTZ/USD,SHORT,-28.62794163646065,62.99300000000001,-91.62094163646066,2.0456572336615535,-251.40112453962118,78.10701630456805,-0.5,-5000.0,2.5402949694284143
2021-06-03,XTZ/USD,SHORT,-29.44300942263616,27.25580000000001,-56.698809422636174,2.120933023068941,-228.3994986999723,80.95526233491768,-1.0,-9928.36983944177,2.566381308138652
2021-08-19,ADA/USD,SHORT,131.18666540392084,34.1607,97.02596540392085,2.4824775168893107,29.762587507147185,27.09526166466901,-0.5,-5000.0,1.0057227991652713
2021-08-19,XLM/USD,SHORT,73.0787733579844,24.816700000000008,48.26207335798439,2.012390600101663,-20.23111532271297,34.035732763429316,-0.5,-5000.0,0.9668740594157542
2021-09-16,XTZ/USD,SHORT,104.31381774340576,80.11330000000001,24.200517743405754,2.0162168683086463,-22.545042998933415,23.18478804393341,-1.0,-10541.730707598821,1.9365793601572274
2021-10-07,XTZ/USD,SHORT,72.13800904977377,30.98100000000001,41.15700904977376,2.4026475045623537,-16.4714451616833,23.985396984795813,-1.0,-8998.034144687288,1.9286392442097704
2021-10-28,CRV/USD,SHORT,113.33602657330104,29.557399999999994,83.77862657330104,2.7393173445733217,9.241024952162986,27.210283528777527,-1.0,-11727.702974564456,1.4818019812294405
2022-08-11,GRT/USD,SHORT,62.81464530892449,20.521600000000007,42.29304530892448,2.599993856421788,-32.97245651757127,28.948338335721697,-1.0,-10000.0,1.171183081980479
2022-12-15,GRT/USD,SHORT,-0.46801872074884177,-45.096,44.62798127925115,2.863254498741761,-19.394143170937273,22.35991403429997,-1.0,-15516.514406184118,0.741982437402491
2022-12-22,GRT/USD,SHORT,6.375227686703111,-40.01409999999999,46.389327686703105,2.1732043355365533,-14.235677771414377,27.89659695904733,-1.0,-11313.309996761664,0.8385887303014051
2023-01-26,ALGO/USD,SHORT,44.23529411764704,12.321199999999997,31.91409411764704,2.152524305790382,-27.67936313744752,27.685381807204514,-1.0,-3490.9723306302776,0.6527528389570373
2023-07-13,XLM/USD,SHORT,88.10372417806225,24.639300000000006,63.464424178062245,6.22435975446929,-22.125579586396423,13.75081247561282,-1.0,-11755.452236405845,1.771438017934269
2023-07-20,XLM/USD,SHORT,97.10972884836045,16.12410000000001,80.98562884836043,3.8829489258298606,-16.871968482875143,25.201875996945166,-1.0,-9391.328452870306,1.9290799627642556
2023-11-02,GRT/USD,SHORT,23.409090909090914,0.842000000000006,22.567090909090908,2.6162655686814347,-23.74602794440276,17.701994555864182,-1.0,-12501.868268515902,0.7250780268381114
2023-11-09,GRT/USD,SHORT,66.0954712362301,9.974500000000006,56.12097123623009,2.7429185364239728,-17.261289596320744,26.753350439718687,-1.0,-6880.288857488208,1.1606130143605065
2023-11-16,ALGO/USD,SHORT,48.52459016393442,24.492099999999997,24.032490163934423,2.2566473211282423,-14.225483935779925,16.953457344228134,-1.0,-10370.126077079321,0.8102976731192839
2023-12-14,ALGO/USD,SHORT,67.59689922480621,38.3184,29.27849922480621,2.2257507325520596,-1.1872641978151126,13.687859550961077,-1.0,-3872.545077340178,0.9415406293178146
2023-12-21,ALGO/USD,SHORT,81.19935170178283,48.556999999999995,32.642351701782836,2.368682908644273,-0.28540763155244875,13.901294771524167,-1.0,-9867.452203643306,0.8893605032629268
2024-02-22,GRT/USD,SHORT,83.03934871099048,34.0966,48.94274871099048,2.7324819334002086,-27.84658029974347,28.102410512621354,-1.0,-11540.134534468476,0.7618024737948188
2024-11-21,ALGO/USD,SHORT,72.68331990330377,30.065099999999997,42.61821990330377,3.2794424695890347,-19.981524187266736,19.08853247802674,-0.3333333333333333,-4017.7000959408037,1.29700999656697
