date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_adf_long,avg_adf_short,daily_return
2021-03-02,9915.347848684696,0,4957.673924342348,-4957.673924342348,0.0,9915.347848684696,1,2,-3.333324767975006,-1.5368953597365285,
2021-03-03,10096.220476204862,0,5048.110238102431,-5048.110238102431,0.0,10096.220476204862,1,2,-2.892887759089048,-1.5228446624071423,0.018241682518900237
2021-03-04,10010.653550999323,0,5005.326775499661,-5005.326775499661,0.0,10010.653550999323,1,2,-2.811338325379059,-1.6329410386453838,-0.008475144278713653
2021-03-05,9921.66012866562,0,4960.83006433281,-4960.83006433281,0.0,9921.66012866562,1,2,-2.6178208867557617,-1.4822202656270296,-0.00888987136357533
2021-03-06,9788.245536345587,0,4894.122768172793,-4894.122768172793,0.0,9788.245536345587,1,2,-2.6158294394644717,-1.4723860846928611,-0.013446801300376454
2021-03-07,9743.428720652826,0,4871.714360326413,-4871.714360326413,0.0,9743.428720652826,1,2,-2.5940914468674148,-1.5084142738569453,-0.004578636235303635
2021-03-08,9947.878098449317,0,4973.939049224658,-4973.939049224658,0.0,9947.878098449317,1,2,-2.514392675325414,-1.5652315031982886,0.020983309229032132
2021-03-09,10004.095759293717,0,5002.047879646859,-5002.047879646859,0.0,10004.095759293717,1,2,-2.7039466254973124,-1.0734726366184217,0.0056512213245922815
2021-03-10,10141.962487597437,0,5070.981243798718,-5070.981243798718,0.0,10141.962487597437,1,2,-2.673335102372092,-1.3117186751279446,0.013781028452835686
2021-03-11,10101.143001166554,0,5050.571500583277,-5050.571500583277,0.0,10101.143001166554,1,2,-2.656994271362047,-1.8524693881369405,-0.004024811418973484
2021-03-12,9862.072465050456,0,4931.036232525228,-4931.036232525228,0.0,9862.072465050456,1,2,-2.5049261882507317,-2.1312080235634054,-0.023667671677204072
2021-03-13,10109.94727480816,0,5054.97363740408,-5054.97363740408,0.0,10109.94727480816,1,2,0.0,-2.232216385416006,0.025134150112578357
2021-03-14,10142.483884244792,0,5071.241942122396,-5071.241942122396,0.0,10142.483884244792,1,2,0.0,-2.1462077708340157,0.0032182768665574013
2021-03-15,9991.798474455441,0,4995.899237227721,-4995.899237227721,0.0,9991.798474455441,1,2,0.0,-2.19497234555346,-0.014856854741807646
2021-03-16,10154.751219300277,0,5077.375609650138,-5077.375609650138,0.0,10154.751219300277,1,2,-3.406558368106612,-1.0941662882756455,0.016308650065494534
2021-03-17,9976.008824967306,0,4988.004412483653,-4988.004412483653,0.0,9976.008824967306,1,2,-3.3915889065292033,-1.1603392525497453,-0.01760184867879877
2021-03-18,10187.176270394697,0,5093.5881351973485,-5093.5881351973485,0.0,10187.176270394697,1,2,-3.6478794405422676,-1.1609636088843411,0.02116752792949561
2021-03-19,10236.614316560894,0,5118.307158280447,-5118.307158280447,0.0,10236.614316560894,1,2,-3.703643851148757,-1.183822440587778,0.004852968561059434
2021-03-20,10340.134488131964,0,5170.067244065982,-5170.067244065982,0.0,10340.134488131964,1,2,0.0,-1.2262920727798032,0.010112735360517933
2021-03-21,10661.78782127219,0,5330.893910636095,-5330.893910636095,0.0,10661.78782127219,1,2,0.0,-1.2520991146436136,0.031107267851245846
2021-03-22,10592.519726178967,0,5296.259863089484,-5296.259863089484,0.0,10592.519726178967,1,2,0.0,-1.3503884068420207,-0.006496855523144052
2021-03-23,10615.339735731612,0,5307.669867865806,-5307.669867865806,0.0,10615.339735731612,1,2,-1.9194355212946643,-1.2609767186400864,0.002154351385935671
2021-03-24,10794.49799194688,0,5397.24899597344,-5397.24899597344,0.0,10794.49799194688,1,2,-2.006543312989319,-1.2962624537847103,0.016877298388502382
