date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_spread_long,avg_spread_short
2021-05-22,10005.443160781082,0,5000.0,5000.0,0.0,10000.0,2,1,31.28921097133331,-33.51553558482955
2021-05-23,10329.813450669662,0,5000.0,5000.0,0.0,10000.0,2,1,31.28921097133331,-33.51553558482955
2021-05-24,10291.454704831709,0,5000.0,5000.0,0.0,10000.0,2,1,31.28921097133331,-33.51553558482955
2021-05-25,10074.419992153162,0,5000.0,5000.0,0.0,10000.0,2,1,31.28921097133331,-33.51553558482955
2021-05-26,10160.51403201649,0,5000.0,5000.0,0.0,10000.0,2,1,31.28921097133331,-33.51553558482955
2021-05-27,9896.878689196408,0,5000.0,5000.0,0.0,10000.0,2,1,31.28921097133331,-33.51553558482955
2021-05-28,10195.681460081645,0,5000.0,5000.0,0.0,10000.0,2,1,31.28921097133331,-33.51553558482955
2021-05-29,10300.55377560711,0,5097.840730040823,5097.840730040823,0.0,10195.681460081645,2,1,56.10613423010352,-14.97441867935295
2021-05-30,10216.011896353888,0,5097.840730040823,5097.840730040823,0.0,10195.681460081645,2,1,56.10613423010352,-14.97441867935295
2021-05-31,10666.988485948767,0,5097.840730040823,5097.840730040823,0.0,10195.681460081645,2,1,56.10613423010352,-14.97441867935295
2021-06-01,10592.98203956064,0,5097.840730040823,5097.840730040823,0.0,10195.681460081645,2,1,56.10613423010352,-14.97441867935295
2021-06-02,10826.004620559299,0,5097.840730040823,5097.840730040823,0.0,10195.681460081645,2,1,56.10613423010352,-14.97441867935295
2021-06-03,11138.393141314367,0,5097.840730040823,5097.840730040823,0.0,10195.681460081645,2,1,56.10613423010352,-14.97441867935295
2021-06-04,11597.040687722527,0,5097.840730040823,5097.840730040823,0.0,10195.681460081645,2,1,56.10613423010352,-14.97441867935295
2021-06-05,9816.426198565063,0,5798.520343861263,5798.520343861263,0.0,11597.040687722527,2,1,61.07658197409127,-21.654190973051705
2021-06-06,9695.769065805138,0,5798.520343861263,5798.520343861263,0.0,11597.040687722527,2,1,61.07658197409127,-21.654190973051705
2021-06-07,9578.821691464402,0,5798.520343861263,5798.520343861263,0.0,11597.040687722527,2,1,61.07658197409127,-21.654190973051705
2021-06-08,9656.119027020304,0,5798.520343861263,5798.520343861263,0.0,11597.040687722527,2,1,61.07658197409127,-21.654190973051705
2021-06-09,9801.949113130986,0,5798.520343861263,5798.520343861263,0.0,11597.040687722527,2,1,61.07658197409127,-21.654190973051705
2021-06-10,9670.228639381672,0,5798.520343861263,5798.520343861263,0.0,11597.040687722527,2,1,61.07658197409127,-21.654190973051705
2021-06-11,9702.569324077114,0,5798.520343861263,5798.520343861263,0.0,11597.040687722527,2,1,61.07658197409127,-21.654190973051705
2021-06-12,9718.514293296297,0,4851.284662038557,4851.284662038557,0.0,9702.569324077114,2,1,45.86834537626241,-34.27653811169273
2021-06-13,9920.105005400927,0,4851.284662038557,4851.284662038557,0.0,9702.569324077114,2,1,45.86834537626241,-34.27653811169273
2021-06-14,10010.789031230817,0,4851.284662038557,4851.284662038557,0.0,9702.569324077114,2,1,45.86834537626241,-34.27653811169273
2021-06-15,10247.755365977098,0,4851.284662038557,4851.284662038557,0.0,9702.569324077114,2,1,45.86834537626241,-34.27653811169273
2021-06-16,10174.386297889854,0,4851.284662038557,4851.284662038557,0.0,9702.569324077114,2,1,45.86834537626241,-34.27653811169273
2021-06-17,10218.57154513691,0,4851.284662038557,4851.284662038557,0.0,9702.569324077114,2,1,45.86834537626241,-34.27653811169273
2021-06-18,10032.803206311375,0,4851.284662038557,4851.284662038557,0.0,9702.569324077114,2,1,45.86834537626241,-34.27653811169273
2021-06-19,10094.270586712384,0,5016.401603155688,5016.401603155688,0.0,10032.803206311375,2,1,11.201451836977427,-38.86034558472552
2021-06-20,10154.64013705131,0,5016.401603155688,5016.401603155688,0.0,10032.803206311375,2,1,11.201451836977427,-38.86034558472552
2021-06-21,10389.107304228812,0,5016.401603155688,5016.401603155688,0.0,10032.803206311375,2,1,11.201451836977427,-38.86034558472552
2021-06-22,10426.929505462376,0,5016.401603155688,5016.401603155688,0.0,10032.803206311375,2,1,11.201451836977427,-38.86034558472552
2021-06-23,10775.604559161553,0,5016.401603155688,5016.401603155688,0.0,10032.803206311375,2,1,11.201451836977427,-38.86034558472552
2021-06-24,10510.595676811061,0,5016.401603155688,5016.401603155688,0.0,10032.803206311375,2,1,11.201451836977427,-38.86034558472552
2021-06-25,10628.83421989518,0,5016.401603155688,5016.401603155688,0.0,10032.803206311375,2,1,11.201451836977427,-38.86034558472552
2021-06-26,9900.558502428172,0,5314.41710994759,5314.41710994759,0.0,10628.83421989518,2,1,20.519963078212655,-35.701174350479945
2021-06-27,9931.805387063741,0,5314.41710994759,5314.41710994759,0.0,10628.83421989518,2,1,20.519963078212655,-35.701174350479945
2021-06-28,9887.945141342483,0,5314.41710994759,5314.41710994759,0.0,10628.83421989518,2,1,20.519963078212655,-35.701174350479945
2021-06-29,9595.628121849542,0,5314.41710994759,5314.41710994759,0.0,10628.83421989518,2,1,20.519963078212655,-35.701174350479945
2021-06-30,9654.826926883632,0,5314.41710994759,5314.41710994759,0.0,10628.83421989518,2,1,20.519963078212655,-35.701174350479945
2021-07-01,9604.601962239454,0,5314.41710994759,5314.41710994759,0.0,10628.83421989518,2,1,20.519963078212655,-35.701174350479945
2021-07-02,10206.80762784304,0,5314.41710994759,5314.41710994759,0.0,10628.83421989518,2,1,20.519963078212655,-35.701174350479945
2021-09-04,9714.768243739176,0,5103.40381392152,5103.40381392152,0.0,10206.80762784304,2,1,-11.391477280764704,-66.94294760076777
2021-09-05,9458.948118455206,0,5103.40381392152,5103.40381392152,0.0,10206.80762784304,2,1,-11.391477280764704,-66.94294760076777
2021-09-06,9176.411654904223,0,5103.40381392152,5103.40381392152,0.0,10206.80762784304,2,1,-11.391477280764704,-66.94294760076777
2021-09-07,9638.942210124287,0,5103.40381392152,5103.40381392152,0.0,10206.80762784304,2,1,-11.391477280764704,-66.94294760076777
2021-09-08,9606.771606197104,0,5103.40381392152,5103.40381392152,0.0,10206.80762784304,2,1,-11.391477280764704,-66.94294760076777
2021-09-09,10064.780542507788,0,5103.40381392152,5103.40381392152,0.0,10206.80762784304,2,1,-11.391477280764704,-66.94294760076777
2021-09-10,10502.087551502913,0,5103.40381392152,5103.40381392152,0.0,10206.80762784304,2,1,-11.391477280764704,-66.94294760076777
2021-09-11,9482.017196455789,0,5251.043775751456,5251.043775751456,0.0,10502.087551502913,2,1,-35.132636795872116,-52.98057899039931
2021-09-12,10049.26099769177,0,5251.043775751456,5251.043775751456,0.0,10502.087551502913,2,1,-35.132636795872116,-52.98057899039931
2021-09-13,10390.692895733568,0,5251.043775751456,5251.043775751456,0.0,10502.087551502913,2,1,-35.132636795872116,-52.98057899039931
2021-09-14,10481.509909672139,0,5251.043775751456,5251.043775751456,0.0,10502.087551502913,2,1,-35.132636795872116,-52.98057899039931
2021-09-15,10234.853915703063,0,5251.043775751456,5251.043775751456,0.0,10502.087551502913,2,1,-35.132636795872116,-52.98057899039931
2021-09-16,10364.315063844644,0,5251.043775751456,5251.043775751456,0.0,10502.087551502913,2,1,-35.132636795872116,-52.98057899039931
2021-09-17,10059.144457048202,0,5251.043775751456,5251.043775751456,0.0,10502.087551502913,2,1,-35.132636795872116,-52.98057899039931
2021-09-18,10095.028061376628,0,5029.572228524101,5029.572228524101,0.0,10059.144457048202,2,1,8.761517656063864,-44.22476290921364
2021-09-19,10351.976384854781,0,5029.572228524101,5029.572228524101,0.0,10059.144457048202,2,1,8.761517656063864,-44.22476290921364
2021-09-20,9938.88171992224,0,5029.572228524101,5029.572228524101,0.0,10059.144457048202,2,1,8.761517656063864,-44.22476290921364
2021-09-21,9783.531714614674,0,5029.572228524101,5029.572228524101,0.0,10059.144457048202,2,1,8.761517656063864,-44.22476290921364
2021-09-22,9781.351056268284,0,5029.572228524101,5029.572228524101,0.0,10059.144457048202,2,1,8.761517656063864,-44.22476290921364
2021-09-23,10052.540888136382,0,5029.572228524101,5029.572228524101,0.0,10059.144457048202,2,1,8.761517656063864,-44.22476290921364
2021-09-24,9923.803867377348,0,5029.572228524101,5029.572228524101,0.0,10059.144457048202,2,1,8.761517656063864,-44.22476290921364
2021-09-25,9894.375829545095,0,4961.901933688674,4961.901933688674,0.0,9923.803867377348,2,1,5.3262066316795,-26.432073267326754
2021-09-26,10091.179946589367,0,4961.901933688674,4961.901933688674,0.0,9923.803867377348,2,1,5.3262066316795,-26.432073267326754
2021-09-27,9824.968007983893,0,4961.901933688674,4961.901933688674,0.0,9923.803867377348,2,1,5.3262066316795,-26.432073267326754
2021-09-28,9715.813569458393,0,4961.901933688674,4961.901933688674,0.0,9923.803867377348,2,1,5.3262066316795,-26.432073267326754
2021-09-29,9804.595958034508,0,4961.901933688674,4961.901933688674,0.0,9923.803867377348,2,1,5.3262066316795,-26.432073267326754
2021-09-30,9914.661692933025,0,4961.901933688674,4961.901933688674,0.0,9923.803867377348,2,1,5.3262066316795,-26.432073267326754
2021-10-01,9901.214226146105,0,4961.901933688674,4961.901933688674,0.0,9923.803867377348,2,1,5.3262066316795,-26.432073267326754
2021-10-02,10101.924079495238,0,4950.6071130730525,4950.6071130730525,0.0,9901.214226146105,2,1,-3.1337118559772,-25.463181287406876
2021-10-03,10803.359562352154,0,4950.6071130730525,4950.6071130730525,0.0,9901.214226146105,2,1,-3.1337118559772,-25.463181287406876
2021-10-04,10883.687589632733,0,4950.6071130730525,4950.6071130730525,0.0,9901.214226146105,2,1,-3.1337118559772,-25.463181287406876
2021-10-05,10504.821623461938,0,4950.6071130730525,4950.6071130730525,0.0,9901.214226146105,2,1,-3.1337118559772,-25.463181287406876
