date,symbol,trade_type,old_weight,new_weight,weight_change
2025-01-27,XRP/USDC:USDC,ENTER_LONG,0.0,0.1149042023622527,0.1149042023622527
2025-01-27,BTC/USDC:USDC,ENTER_LONG,0.0,0.2667180062312016,0.2667180062312016
2025-01-27,SOL/USDC:USDC,ENTER_LONG,0.0,0.1183777914065457,0.1183777914065457
2025-01-28,XRP/USDC:USDC,REBALANCE_LONG,0.1149042023622527,0.11602426758893926,0.0011200652266865618
2025-01-28,BTC/USDC:USDC,REBALANCE_LONG,0.2667180062312016,0.2669613533257524,0.00024334709455076098
2025-01-28,SOL/USDC:USDC,REBALANCE_LONG,0.1183777914065457,0.11701437908530837,-0.0013634123212373228
2025-01-29,XRP/USDC:USDC,REBALANCE_LONG,0.11602426758893926,0.11704691458012557,0.0010226469911863156
2025-01-29,BTC/USDC:USDC,REBALANCE_LONG,0.2669613533257524,0.2655829276297481,-0.0013784256960042707
2025-01-29,SOL/USDC:USDC,REBALANCE_LONG,0.11701437908530837,0.1173701577901263,0.0003557787048179273
2025-01-30,XRP/USDC:USDC,REBALANCE_LONG,0.11704691458012557,0.1172426674375096,0.00019575285738403225
2025-01-30,BTC/USDC:USDC,REBALANCE_LONG,0.2655829276297481,0.2660070562621626,0.00042412863241447774
2025-01-30,SOL/USDC:USDC,REBALANCE_LONG,0.1173701577901263,0.1167502763003278,-0.0006198814897984961
2025-01-31,XRP/USDC:USDC,REBALANCE_LONG,0.1172426674375096,0.12403911763346477,0.006796450195955164
2025-01-31,BTC/USDC:USDC,REBALANCE_LONG,0.2660070562621626,0.26029805085697044,-0.005709005405192147
2025-01-31,SOL/USDC:USDC,REBALANCE_LONG,0.1167502763003278,0.11566283150956475,-0.0010874447907630591
2025-02-01,XRP/USDC:USDC,REBALANCE_LONG,0.12403911763346477,0.12225406476085895,-0.0017850528726058162
2025-02-01,BTC/USDC:USDC,REBALANCE_LONG,0.26029805085697044,0.26361050654202134,0.003312455685050897
2025-02-01,SOL/USDC:USDC,REBALANCE_LONG,0.11566283150956475,0.1141354286971197,-0.001527402812445039
2025-02-02,XRP/USDC:USDC,REBALANCE_LONG,0.12225406476085895,0.11627582413686205,-0.0059782406239969055
2025-02-02,BTC/USDC:USDC,REBALANCE_LONG,0.26361050654202134,0.26572482530726693,0.002114318765245593
2025-02-02,SOL/USDC:USDC,REBALANCE_LONG,0.1141354286971197,0.117999350555871,0.0038639218587512986
2025-02-03,ETH/USDC:USDC,ENTER_SHORT,0.0,-0.5,-0.5
2025-02-03,XRP/USDC:USDC,REBALANCE_LONG,0.11627582413686205,0.11851155976211257,0.0022357356252505206
2025-02-03,BTC/USDC:USDC,REBALANCE_LONG,0.26572482530726693,0.2628390970673411,-0.0028857282399258333
2025-02-03,SOL/USDC:USDC,REBALANCE_LONG,0.117999350555871,0.11864934317054635,0.0006499926146753404
2025-02-04,XRP/USDC:USDC,REBALANCE_LONG,0.11851155976211257,0.11864574751002986,0.0001341877479172915
2025-02-04,BTC/USDC:USDC,REBALANCE_LONG,0.2628390970673411,0.26052131070922097,-0.002317786358120133
2025-02-04,SOL/USDC:USDC,REBALANCE_LONG,0.11864934317054635,0.1208329417807491,0.0021835986102027583
2025-02-05,XRP/USDC:USDC,REBALANCE_LONG,0.11864574751002986,0.11459020186314138,-0.004055545646888481
2025-02-05,BTC/USDC:USDC,REBALANCE_LONG,0.26052131070922097,0.26766537356622555,0.007144062857004585
2025-02-05,SOL/USDC:USDC,REBALANCE_LONG,0.1208329417807491,0.11774442457063301,-0.00308851721011609
2025-02-06,XRP/USDC:USDC,REBALANCE_LONG,0.11459020186314138,0.11037714181459042,-0.0042130600485509595
2025-02-06,BTC/USDC:USDC,REBALANCE_LONG,0.26766537356622555,0.27553812703043984,0.007872753464214288
2025-02-06,SOL/USDC:USDC,REBALANCE_LONG,0.11774442457063301,0.1140847311549698,-0.0036596934156632177
2025-02-07,XRP/USDC:USDC,REBALANCE_LONG,0.11037714181459042,0.11004481753487877,-0.00033232427971165157
2025-02-07,BTC/USDC:USDC,REBALANCE_LONG,0.27553812703043984,0.27676117046378296,0.0012230434333431184
2025-02-07,SOL/USDC:USDC,REBALANCE_LONG,0.1140847311549698,0.11319401200133825,-0.0008907191536315501
2025-02-08,XRP/USDC:USDC,REBALANCE_LONG,0.11004481753487877,0.10871659147198211,-0.001328226062896662
2025-02-08,BTC/USDC:USDC,REBALANCE_LONG,0.27676117046378296,0.2785762213876166,0.001815050923833661
2025-02-08,SOL/USDC:USDC,REBALANCE_LONG,0.11319401200133825,0.11270718714040132,-0.00048682486093692967
2025-02-09,XRP/USDC:USDC,REBALANCE_LONG,0.10871659147198211,0.10781215411967475,-0.0009044373523073579
2025-02-09,BTC/USDC:USDC,REBALANCE_LONG,0.2785762213876166,0.2808042494910081,0.002228028103391455
2025-02-09,SOL/USDC:USDC,REBALANCE_LONG,0.11270718714040132,0.11138359638931719,-0.001323590751084125
2025-02-10,XRP/USDC:USDC,REBALANCE_LONG,0.10781215411967475,0.11295723355658037,0.00514507943690562
2025-02-10,BTC/USDC:USDC,REBALANCE_LONG,0.2808042494910081,0.2768805374491947,-0.003923712041813354
2025-02-10,SOL/USDC:USDC,REBALANCE_LONG,0.11138359638931719,0.11016222899422491,-0.0012213673950922793
2025-02-11,XRP/USDC:USDC,REBALANCE_LONG,0.11295723355658037,0.1142069537558315,0.0012497201992511253
2025-02-11,BTC/USDC:USDC,REBALANCE_LONG,0.2768805374491947,0.275102635536575,-0.0017779019126197282
