,pct_change_5d_forward,pct_change_5d_forward,pct_change_5d_forward,pct_change_5d_forward,entropy_30d,entropy_30d,entropy_30d,volatility_30d,pct_change_5d_past
,count,mean,median,std,mean,min,max,mean,mean
entropy_quintile,,,,,,,,,
Q1_Low,3364,0.003139,-0.010218,0.150715,2.490508,1.416686,3.069577,1.358237,0.020821
Q2,2654,0.00764,-0.005155,0.156881,2.723636,1.843972,3.137104,1.134796,0.005709
Q3,2337,0.002114,-0.010124,0.142095,2.828618,2.019056,3.152584,1.160447,0.002142
Q4,2633,0.00144,-0.006376,0.147315,2.904147,2.171629,3.232263,1.124017,0.000375
Q5_High,3003,0.006173,-0.008928,0.15467,3.020753,2.316579,3.277095,1.099672,0.001406
