date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions,daily_return,log_return
2025-08-04,50000.0,8,0,0.49999999999999994,0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,,
2025-08-05,49599.84255410428,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.008003148917914316,-0.008035346014716024
2025-08-06,49802.64140622765,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.00408869951355495,0.0040803634962868224
2025-08-07,50938.69701098437,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.022811151631299875,0.022554867417400336
2025-08-08,50966.13483205444,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.0005386439520460584,0.0005384989354650533
2025-08-09,51428.262461442406,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.009067346992484016,0.009026485420038354
2025-08-10,51867.39816412251,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.008538801072840885,0.008502551715493762
2025-08-11,51350.550780712554,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.009964783307127023,-0.010014764069141454
2025-08-12,52266.0964841825,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.017829325869934465,0.01767224775606887
2025-08-13,53161.438061086585,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.017130446640013508,0.016985374957068804
2025-08-14,51883.22343338023,8,0,0.49999999999999994,0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.0240440190168969,-0.02433779503788425
2025-08-15,51916.43735556029,8,0,0.49999999999999994,0,0.49999999999999994,0.49999999999999994,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.0006401668975464236,0.0006399620781258136
2025-08-16,51851.37688497566,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.0012531767181759301,-0.0012539626007545318
2025-08-17,51890.14764608885,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.0007477286707198161,0.0007474492609104495
2025-08-18,51165.052990497024,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.013973647956009971,-0.014072198525697214
2025-08-19,50091.177001606266,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.02098846626994033,-0.021211855387152725
2025-08-20,50916.65859101324,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.01647958061317878,0.01634526594861977
2025-08-21,50149.781538623356,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.015061417493041018,-0.015175992538877085
2025-08-22,52130.17879879838,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,0.03948964879637207,0.03872987039850273
2025-08-23,51890.12510157939,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.00460488919758939,-0.00461552436157795
2025-08-24,51771.659843023146,8,0,0.5,0,0.5,0.5,"BTC/USDC:USDC, DOGE/USDC:USDC, ETH/USDC:USDC, HYPE/USDC, HYPE/USDC:USDC, SOL/USDC:USDC, UBTC/USDC, XRP/USDC:USDC",None,-0.0022830019839871207,-0.002285612006230554
