rebalance_period,final_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,num_rebalances,avg_positions
1,8495.538466851884,-0.15044615331481165,-0.19793228111316263,0.49733377745221286,-0.39798680501281913,-0.2959373940400785,0.2899628252788104,135,1.9037037037037037
2,8602.168922451232,-0.1397831077548768,-0.18428375681307385,0.48513437927014563,-0.37986126048274965,-0.26026680268537494,0.2899628252788104,90,1.9111111111111112
3,9266.792484405278,-0.07332075155947222,-0.09788297646082178,0.503977388439262,-0.1942209684524733,-0.28068598479075746,0.3048327137546468,68,1.9407407407407407
5,7752.608275957869,-0.22473917240421307,-0.29132437513650655,0.4777611278193654,-0.609769941866539,-0.27223884506093515,0.2899628252788104,45,1.9111111111111112
7,8073.935231386326,-0.19260647686136737,-0.251301425699043,0.5362282440685023,-0.468646380489685,-0.3551451327509425,0.29739776951672864,34,1.8814814814814815
10,9164.445987451201,-0.08355540125487987,-0.11133488708890782,0.49378695818922214,-0.2254715019148878,-0.2938273203301773,0.31226765799256506,25,2.0814814814814815
30,7424.076547114826,-0.2575923452885174,-0.3316438187880433,0.5447123173945461,-0.6088421506132878,-0.33856184094804165,0.31970260223048325,9,2.3925925925925924
