,value
initial_capital,10000.0
leverage,1.0
final_value,3234.112333697669
total_return,-0.6765887666302332
annualized_return,-0.1800938382497822
annualized_volatility,0.33579828042165205
sharpe_ratio,-0.5363155464156745
sortino_ratio,-0.43313440865625613
max_drawdown,-0.7193088297186644
calmar_ratio,-0.25037067641755545
win_rate,0.16674698795180723
trading_days,2075.0
num_trades,548.0
num_long_trades,308.0
num_short_trades,240.0
avg_positions,0.7869879518072289
avg_long_positions,0.44
avg_short_positions,0.3469879518072289
avg_r2,0.7425342580532054
avg_reversal_z_score,0.2122562180848103
avg_signal_strength,6.1267105324464035
avg_slope_magnitude,429.88969569413507
