hurst_class,count,mean_return,annualized_return,annualized_vol,sharpe_ratio,win_rate,avg_hurst
Low HE,28783.0,0.00048382045477675086,0.024678242905949332,0.8845621866951839,0.02756680229781408,0.4621130528436925,0.6312082993887184
High HE,28783.0,0.00666475566947718,0.3976458373871423,0.9295427612914197,0.3613644253169986,0.4933467671889657,0.709544584034162
