,value
initial_capital,10000.0
leverage,1.0
final_value,5888.154480259969
total_return,-0.41118455197400305
annualized_return,-0.10760935346621736
annualized_volatility,0.379640089204074
sharpe_ratio,-0.28345097508491096
sortino_ratio,-0.2901029184105982
max_drawdown,-0.7296628040729675
calmar_ratio,-0.14747819522325034
win_rate,0.4305064782096584
trading_days,1698.0
avg_long_exposure,4411.517270005467
avg_short_exposure,-4411.517270005467
avg_net_exposure,-1.4193569229178514e-14
avg_gross_exposure,8823.034540010935
avg_long_positions,2.122497055359246
avg_short_positions,1.287396937573616
avg_portfolio_dw,1.6001596210810185
