regime,strategy,direction,total_return,avg_daily_return,std_daily_return,num_days,avg_num_positions,annualized_return,annualized_volatility,sharpe_ratio,win_rate
Down,Mean Reversion,LONG,0.5362597746747897,0.006163905456032065,0.028059036765071536,87,1.4597701149425288,2.2498254914517037,0.5360671447002019,4.1969098716354445,0.5977011494252874
Down,Mean Reversion,SHORT,-0.5008507545129549,-0.005756905224286838,0.031298059177807425,87,2.4597701149425286,-2.1012704068646957,0.5979485810072639,-3.514132274258494,0.3793103448275862
Down,Trend Following,LONG,0.5008507545129549,0.005756905224286838,0.031298059177807425,87,2.4597701149425286,2.1012704068646957,0.5979485810072639,3.514132274258494,0.6206896551724138
Down,Trend Following,SHORT,-0.5362597746747897,-0.006163905456032065,0.028059036765071536,87,1.4597701149425288,-2.2498254914517037,0.5360671447002019,-4.1969098716354445,0.40229885057471265
Moderate Up,Mean Reversion,LONG,-0.3029116340166606,-0.003442177659280234,0.02570521397168078,88,1.5227272727272727,-1.2563948456372853,0.491097423374844,-2.558341351097471,0.4318181818181818
Moderate Up,Mean Reversion,SHORT,0.11622420778315362,0.001320729633899473,0.025727750074684672,88,2.522727272727273,0.4820663163733076,0.4915279750181922,0.9807505185345058,0.5113636363636364
Moderate Up,Trend Following,LONG,-0.11622420778315362,-0.001320729633899473,0.025727750074684672,88,2.522727272727273,-0.4820663163733076,0.4915279750181922,-0.9807505185345058,0.48863636363636365
Moderate Up,Trend Following,SHORT,0.3029116340166606,0.003442177659280234,0.02570521397168078,88,1.5227272727272727,1.2563948456372853,0.491097423374844,2.558341351097471,0.5681818181818182
Strong Down,Mean Reversion,LONG,-0.12045669292502093,-0.010950608447729175,0.09913923984383902,11,1.2727272727272727,-3.996972083421149,1.894052517761109,-2.1102752146206725,0.6363636363636364
Strong Down,Mean Reversion,SHORT,-0.026135313312556085,-0.002375937573868735,0.07216772448607507,11,2.272727272727273,-0.8672172144620882,1.3787624403742598,-0.6289823315949087,0.2727272727272727
Strong Down,Trend Following,LONG,0.026135313312556085,0.002375937573868735,0.07216772448607507,11,2.272727272727273,0.8672172144620882,1.3787624403742598,0.6289823315949087,0.7272727272727273
Strong Down,Trend Following,SHORT,0.12045669292502093,0.010950608447729175,0.09913923984383902,11,1.2727272727272727,3.996972083421149,1.894052517761109,2.1102752146206725,0.36363636363636365
Strong Up,Mean Reversion,LONG,-0.11340756126455663,-0.006300420070253146,0.016281169948629135,18,1.2222222222222223,-2.2996533256423985,0.31105131511873196,-7.393163808886626,0.3888888888888889
Strong Up,Mean Reversion,SHORT,0.06258991992897939,0.0034772177738321883,0.020525429336957564,18,2.2222222222222223,1.2691844874487488,0.39213777687854806,3.2365779638768073,0.5555555555555556
Strong Up,Trend Following,LONG,-0.06258991992897939,-0.0034772177738321883,0.020525429336957564,18,2.2222222222222223,-1.2691844874487488,0.39213777687854806,-3.2365779638768073,0.4444444444444444
Strong Up,Trend Following,SHORT,0.11340756126455663,0.006300420070253146,0.016281169948629135,18,1.2222222222222223,2.2996533256423985,0.31105131511873196,7.393163808886626,0.6111111111111112
