,value
initial_capital,10000.0
leverage,1.0
final_value,31847.40328136242
total_return,2.1847403281362423
annualized_return,0.28850213909303046
annualized_volatility,0.39881347914635373
sharpe_ratio,0.7234011741793662
sortino_ratio,1.0694448765367068
max_drawdown,-0.40856800462979687
calmar_ratio,0.7061300342263511
win_rate,0.434052757793765
trading_days,1668.0
avg_long_exposure,5642.875037964145
avg_short_exposure,-5642.875037964145
avg_net_exposure,9.790745505546153e-15
avg_gross_exposure,11285.750075928292
avg_long_positions,1.2218225419664268
avg_short_positions,2.0707434052757794
avg_portfolio_beta,-0.33732378347987835
