date,symbol,signal,slope,norm_slope,r_squared,trendline_score,trendline_rank,percentile,weight,price,volatility,market_cap,volume_30d_avg,p_value
2021-01-31,GRT/USD,LONG,0.012661156840934369,500.0,0.726750320829203,363.3751604146015,6.0,85.71428571428571,0.22266763979553966,0.7947,2.29430031406778,369564933.9037584,124869019.127,2.240442087129966e-09
2021-01-31,LINK/USD,LONG,0.3879055261401557,500.0,0.7782880890654076,389.1440445327038,7.0,100.0,0.27733236020446034,22.57316,1.8420729392668318,5453374284.889682,6711901.851333333,1.1639210541311861e-10
2021-01-31,XLM/USD,SHORT,0.0024316582869855397,288.82277465733017,0.16602080281146556,47.950588918844964,1.0,14.285714285714285,-0.5,0.307301,2.601125544151591,2989656210.8862576,442016119.8666667,0.02542456453152537
2021-02-07,ALGO/USD,LONG,0.012268676307007786,500.0,0.8156824404057963,407.84122020289817,6.0,85.71428571428571,0.2965089189048505,0.8462,1.55346381121557,506613483.19005257,44017124.93333333,8.579098377905575e-12
2021-02-07,GRT/USD,LONG,0.020548298109010005,500.0,0.8549358097907584,427.4679048953792,7.0,100.0,0.20349108109514952,0.9179,2.263567880923292,369564933.9037584,110703552.59099999,2.937213816154352e-13
2021-02-07,XLM/USD,SHORT,0.002240355283648498,211.89317844600947,0.31284131459705744,66.28894049919847,1.0,14.285714285714285,-0.5,0.385916,1.3710931005171494,2989656210.8862576,333458850.8333333,0.0013122032075206236
2021-02-14,XLM/USD,LONG,0.008056600889877643,500.0,0.7017448677757487,350.87243388787437,6.0,85.71428571428571,0.30330932201021205,0.516452,1.419998747308343,2989656210.8862576,326326694.1333333,7.756450682768855e-09
2021-02-14,ZRX/USD,LONG,0.05101874282536152,500.0,0.7991976583926197,399.59882919630985,7.0,100.0,0.19669067798978798,1.799902,2.1897268426915764,294490417.9531757,39770295.02651067,2.8730997339310658e-11
2021-02-14,XTZ/USD,SHORT,0.059159955506117905,443.9155430325645,0.5544461437909085,246.1272610032525,1.0,14.285714285714285,-0.5,4.8643,1.5105825283536058,1611874059.9112284,7561699.415,2.377786615181708e-06
2021-02-21,EOS/USD,LONG,0.10573392658509455,500.0,0.877459145331404,438.729572665702,6.0,85.71428571428571,0.26250374890473666,5.109,1.1752785548294078,2625024378.6311483,5963267.443333333,2.7340288691868146e-14
2021-02-21,XLM/USD,LONG,0.010478891434927697,500.0,0.8848484963890816,442.4242481945408,7.0,100.0,0.23749625109526332,0.496694,1.2990311435539699,2989656210.8862576,329460133.3333333,1.1401421343560502e-14
2021-02-21,XTZ/USD,SHORT,0.08525677419354839,500.0,0.7762226664627774,388.1113332313887,1.0,14.285714285714285,-0.5,4.6808,1.2885944520240842,1611874059.9112284,7137070.561333332,1.326881371013769e-10
2021-02-28,BNT/USD,LONG,0.14928242491657392,500.0,0.7976721214711424,398.8360607355712,8.0,100.0,0.2633398320137278,4.8209,2.134003204357929,133939953.40059274,5193392.846238334,3.197051282059345e-11
2021-02-28,GRT/USD,LONG,0.05005775305895439,500.0,0.5221016484518177,261.05082422590885,7.0,87.5,0.23666016798627218,1.5945,2.3745780717309883,369564933.9037584,99412766.81466667,6.514542600936033e-06
2021-02-28,XTZ/USD,SHORT,0.03719999999999999,395.7446808510637,0.1829854802251514,72.41553047208117,1.0,12.5,-0.5,3.431,1.4810702591330929,1611874059.9112284,7410293.545666667,0.018372015659590967
2021-03-07,BNT/USD,LONG,0.17339159065628473,500.0,0.7986162899344995,399.30814496724975,8.0,100.0,0.27289987763841145,8.4617,1.900509690046869,133939953.40059274,5766432.1120844,2.99277402053483e-11
2021-03-07,GRT/USD,LONG,0.015026006674082305,292.1478951707261,0.09710190982822026,28.36811857337219,7.0,87.5,0.22710012236158852,1.8773,2.28378944260811,369564933.9037584,81898411.73566668,0.09368409832954307
2021-03-07,ZRX/USD,SHORT,-0.010287870300333705,-265.0262875314992,0.3064345224277025,-81.21320385050193,1.0,12.5,-0.5,1.416868,1.2650155225926472,294490417.9531757,29120419.089336667,0.001507241542071021
2021-03-14,BNT/USD,LONG,0.17051617352614015,500.0,0.7444963342765353,372.24816713826766,7.0,100.0,0.2003600385030612,7.7636,1.917585725687969,133939953.40059274,5691912.276291833,8.65505926352424e-10
2021-03-14,OXT/USD,LONG,-0.002762335928809788,-161.06271789386145,0.11160545691799448,-17.97547822299845,6.0,85.71428571428571,0.2996399614969388,0.626,1.2822306741475376,84970405.6500807,43792610.2,0.07118630736124855
2021-03-14,XLM/USD,SHORT,-0.004395352836484983,-412.62426803076573,0.6275728119471823,-258.9517721657155,1.0,14.285714285714285,-0.5,0.388805,1.0884016705794304,2989656210.8862576,217678087.8,1.8281152141386855e-07
2021-03-21,ALGO/USD,LONG,0.0036307007786429337,112.29605831748756,0.118048830315888,13.256418333464152,4.0,80.0,0.2672706473985745,1.1801,1.189594345883346,506613483.19005257,53854346.1,0.06303256773667085
2021-03-21,OXT/USD,LONG,0.0068328587319243595,305.63645063142053,0.38163587743353256,116.64183501239273,5.0,100.0,0.23272935260142547,0.816,1.3661519160002091,84970405.6500807,39428704.96666667,0.0002754426405872227
2021-03-21,GRT/USD,SHORT,-0.009226473859844268,-198.09782110842104,0.21725433498712735,-43.03761038730893,1.0,20.0,-0.5,1.7,1.3726602140719963,369564933.9037584,43588840.97466667,0.009429240254304775
2021-03-28,OXT/USD,LONG,0.009300222469410455,500.0,0.6745544160827471,337.27720804137357,5.0,100.0,0.1993156426367113,0.6757,1.4331445374022502,84970405.6500807,33773957.233333334,2.6787495743503014e-08
