date,Dilution Factor
2021-02-02,0.0011978306785629814
2021-02-03,-0.044758934913159604
2021-02-04,-0.01566958764224384
2021-02-05,-0.07106952021536879
2021-02-06,0.046566456733431835
2021-02-07,-0.03396450762466618
2021-02-08,-0.06961566717180857
2021-02-09,-0.008934377729226332
2021-02-10,0.017570934240817286
2021-02-11,-0.07411893373573632
2021-02-12,-0.15336690249707463
2021-02-13,0.18481568992017375
2021-02-14,0.07181917641033454
2021-02-15,-0.02008409935329682
2021-02-16,0.011882692040242391
2021-02-17,-0.004707104401150849
2021-02-18,-0.01068010886895059
2021-02-19,0.00970001959847598
2021-02-20,0.0269599093793458
2021-02-21,0.02639043441003331
2021-02-22,0.03349499994872787
2021-02-23,0.021120721554385116
2021-02-24,-0.019910466308242503
2021-02-25,0.0219931058418426
2021-02-26,-0.011415479066087138
2021-02-27,-0.05083529053158661
2021-02-28,0.017587591128085334
2021-03-01,-0.042549083628510925
2021-03-02,0.00478221734342613
2021-03-03,-0.05253985055638433
2021-03-04,0.04291338338645611
2021-03-05,0.01896525346622887
2021-03-06,-0.008173574756842262
2021-03-07,-0.026244135608504873
2021-03-08,-0.009829734866553369
2021-03-09,-0.00999402920369778
2021-03-10,0.0010911775554537373
2021-03-11,-0.019675925925261604
2021-03-12,0.023413127610590254
2021-03-13,0.004072614867697638
2021-03-14,0.011749599648000632
2021-03-15,-0.03164327136637103
2021-03-16,-0.005686139321854035
2021-03-17,-0.055258085120189634
2021-03-18,0.006334259174640434
2021-03-19,-0.01960159512230881
2021-03-20,0.004816058524693672
2021-03-21,0.017858723223958158
2021-03-22,0.04729928389570056
2021-03-23,0.036035553786239266
2021-03-24,0.026210621420673826
2021-03-25,0.0008100799086505125
2021-03-26,-0.043904275324907024
2021-03-27,-0.018577277176075734
2021-03-28,-0.07033418623318696
2021-03-29,-0.045125064167246404
2021-03-30,0.022176992347826725
2021-03-31,0.017827451772169024
2021-04-01,0.0014895909053270033
2021-04-02,0.041513692073597334
2021-04-03,-0.0827704516196659
2021-04-04,0.004995339747752268
2021-04-05,0.03942349876264375
2021-04-06,0.12987337435353355
2021-04-07,0.15996554326297716
2021-04-08,-0.03428843432123696
2021-04-09,-0.08363907400927022
2021-04-10,0.05730849749013437
2021-04-11,-0.09148251185236089
2021-04-12,-0.024057628809377878
2021-04-13,0.0645164626374842
2021-04-14,0.019591834665878854
2021-04-15,0.24819090955921716
2021-04-16,0.31315514063281846
2021-04-17,-0.032395186026233425
2021-04-18,0.039561110222824394
2021-04-19,0.03424131583512974
2021-04-20,-0.06807485883206699
2021-04-21,-0.000981752719957124
2021-04-22,0.10181956291904773
2021-04-23,-0.023552808521169203
2021-04-24,-0.004764166553202567
2021-04-25,-0.024514267373670115
2021-04-26,-0.006272786405594255
2021-04-27,-0.03403791789819609
2021-04-28,0.04856059001711667
2021-04-29,-0.0045573293076124
2021-04-30,-0.010813245722057555
2021-05-01,0.20605019840087072
2021-05-02,0.037138949560788295
2021-05-03,0.14782493846476988
2021-05-04,0.41393375508578595
2021-05-05,0.31239048507602374
2021-05-06,0.3259936069049103
2021-05-07,-0.19727056302056958
2021-05-08,0.07581460229362624
2021-05-09,-0.05226257011046395
2021-05-10,-0.021128808462873995
2021-05-11,-0.009989689292657141
2021-05-12,-0.15948662459938892
2021-05-13,-0.008211271339229758
2021-05-14,0.1099530383860712
2021-05-15,0.009266107017692652
2021-05-16,-0.007059284452670807
2021-05-17,0.034492822616623106
2021-05-18,-0.1009014622107167
2021-05-19,0.05823100029431791
2021-05-20,0.06505820412892346
2021-05-21,0.011527794814894556
2021-05-22,-0.021231458921208205
2021-05-23,0.06183244934623153
2021-05-24,0.17890294043676697
2021-05-25,0.07801592601377448
2021-05-26,-0.08339892592969117
2021-05-27,-0.00794218511983007
2021-05-28,-0.06967841090412426
2021-05-29,-0.02291439603834772
2021-05-30,0.031250236947240925
2021-05-31,-0.053076012846846925
2021-06-01,-0.014171882788568855
2021-06-02,-0.06789511455586819
2021-06-03,-0.03829527164121241
2021-06-04,-0.01673518328574271
2021-06-05,0.01526155672418058
2021-06-06,0.011370717989659124
2021-06-07,0.006657704194139195
2021-06-08,-0.007714025987674806
2021-06-09,-0.009895603906061
2021-06-10,0.0191690089638979
2021-06-11,0.03872255488019517
2021-06-12,-0.017688198457654798
2021-06-13,0.0015653568229073642
2021-06-14,-0.006593070949146762
2021-06-15,-0.002812331130091254
2021-06-16,-0.016736017926371367
2021-06-17,-0.02542312580163394
2021-06-18,0.015463512746854473
2021-06-19,0.0179035932664822
2021-06-20,-0.02149590434048656
2021-06-21,0.006999219296468219
2021-06-22,-0.047000058110614994
2021-06-23,0.008096111574204444
2021-06-24,-0.0020421225139916847
2021-06-25,0.0366385115035469
2021-06-26,-0.003983872437756331
2021-06-27,-0.00866441079073471
2021-06-28,-0.002952618620301378
2021-06-29,0.08340649087557035
2021-06-30,-0.0037347659186126557
2021-07-01,0.0069005885343878404
2021-07-02,0.014513145481410496
2021-07-03,0.03580044873782679
2021-07-04,-0.035915387027343114
2021-07-05,-0.01186341291225598
2021-07-06,-0.05156947038350501
2021-07-07,-0.02865787939897405
2021-07-08,0.00748846792007209
2021-07-09,-0.010099646187238034
2021-07-10,0.0011069627247188183
2021-07-11,-0.00014034942020167576
2021-07-12,-0.0027108270881841794
2021-07-13,-0.021637417071798462
2021-07-14,0.0053449079478917255
2021-07-15,-0.00367861703833439
2021-07-16,0.00863307469238692
2021-07-17,0.004299555459222659
2021-07-18,0.003647047070998841
2021-07-19,0.04750918627253653
