date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,daily_return,log_return
2020-01-31,10570.147679468642,3,3,0.5,0.5,0.0,1.0,,
2020-02-01,10447.372632910929,3,3,0.5,0.5,0.0,1.0,-0.011615263124108544,-0.011683247241172817
2020-02-02,10297.391402585028,3,3,0.5,0.5,0.0,1.0,-0.014355880238581253,-0.014459922836453566
2020-02-03,10501.764286509982,3,3,0.5,0.5,0.0,1.0,0.019847054067853476,0.019652669060705015
2020-02-04,10068.63944938168,3,3,0.5,0.5,0.0,1.0,-0.04124305452986332,-0.04211768202950628
2020-02-05,10225.905344684781,3,3,0.5,0.5,0.0,1.0,0.01561937897307053,0.015498651971057485
2020-02-06,10567.255681980725,3,3,0.5,0.5,0.0,1.0,0.03338094044390605,0.03283589315906507
2020-02-07,10419.404120405317,3,3,0.5,0.5,0.0,1.0,-0.013991481423840657,-0.014090284887248786
2020-02-08,10597.8153440829,3,3,0.5,0.5,0.0,1.0,0.017122977630571246,0.01697803171324954
2020-02-09,10486.479480842863,3,3,0.5,0.5,0.0,1.0,-0.010505548514033958,-0.010561121346884358
2020-02-10,10624.024030543786,3,3,0.5,0.5,0.0,1.0,0.013116370460858118,0.013031095727772215
2020-02-11,10754.982686147974,3,3,0.5,0.5,0.0,1.0,0.012326652803842153,0.012251298233630949
2020-02-12,10517.647046533806,3,3,0.5,0.5,0.0,1.0,-0.02206750550327219,-0.022314635361563487
2020-02-13,10576.383321259946,3,3,0.5,0.5,0.0,1.0,0.005584545142679698,0.005569009383714891
2020-02-14,10869.9568455282,3,3,0.5,0.5,0.0,1.0,0.027757458797671664,0.027379204174207382
2020-02-15,11231.577792600303,3,3,0.5,0.5,0.0,1.0,0.03326792849420279,0.032726525814167275
2020-02-16,11050.206556149604,3,3,0.5,0.5,0.0,1.0,-0.01614833105373603,-0.016280136233531306
2020-02-17,11166.457051221363,3,3,0.5,0.5,0.0,1.0,0.010520210140964714,0.01046525780103849
2020-02-18,11467.618390699992,3,3,0.5,0.5,0.0,1.0,0.026970178463695316,0.026612893001645287
2020-02-19,11965.908871890933,3,3,0.5,0.5,0.0,1.0,0.04345195874280616,0.04253440789630345
2020-02-20,11800.750727046237,3,3,0.5,0.5,0.0,1.0,-0.013802390325123426,-0.013898528968242155
2020-02-21,11949.049920106012,3,3,0.5,0.5,0.0,1.0,0.012566928705636249,0.012488620239207862
2020-02-22,11794.360794476013,3,3,0.5,0.5,0.0,1.0,-0.012945725950120224,-0.01303025215483665
2020-02-23,12103.346251993955,3,3,0.5,0.5,0.0,1.0,0.026197728126365005,0.025860445653041915
2020-02-24,11791.626629197912,3,3,0.5,0.5,0.0,1.0,-0.02575482980540933,-0.02609229223561113
2020-02-25,12223.14731631063,3,3,0.5,0.5,0.0,1.0,0.03659551821664753,0.03594180322239726
2020-02-26,12162.828696145776,3,3,0.5,0.5,0.0,1.0,-0.004934786320080042,-0.004947002584432905
2020-02-27,12057.222715224902,3,3,0.5,0.5,0.0,1.0,-0.008682682586357515,-0.00872059669847354
2020-02-28,11981.798959120675,3,3,0.5,0.5,0.0,1.0,-0.006255483363427294,-0.006275130878808517
2020-02-29,12124.3596728771,3,3,0.5,0.5,0.0,1.0,0.011898105972468098,0.011827879998162158
2020-03-01,12070.553327609792,3,3,0.5,0.5,0.0,1.0,-0.004437871089198797,-0.004447747670596446
2020-03-02,12012.413645184612,3,3,0.5,0.5,0.0,1.0,-0.004816654286443844,-0.004828291749831495
2020-03-03,11656.479254456388,3,3,0.5,0.5,0.0,1.0,-0.029630547302282317,-0.030078400930916772
2020-03-04,11909.93416501706,3,3,0.5,0.5,0.0,1.0,0.0217436933595343,0.021510671052238084
2020-03-05,11991.444647408185,3,3,0.5,0.5,0.0,1.0,0.006843907049506992,0.006820593826233402
2020-03-06,12172.603057512226,3,3,0.5,0.5,0.0,1.0,0.015107304868658744,0.014994325988304694
2020-03-07,12116.605191465173,3,3,0.5,0.5,0.0,1.0,-0.004600319732967484,-0.004610933768270782
2020-03-08,12382.195212814533,3,3,0.5,0.5,0.0,1.0,0.021919507745984834,0.02168272913577079
2020-03-09,12284.44768160634,3,3,0.5,0.5,0.0,1.0,-0.007894200465118906,-0.0079255246273286
2020-03-10,12480.14163408625,3,3,0.5,0.5,0.0,1.0,0.015930219864335182,0.0158046655617355
2020-03-11,13310.059546815794,3,3,0.5,0.5,0.0,1.0,0.06649907806036737,0.06438139447541812
2020-03-12,13363.302316128576,3,3,0.5,0.5,0.0,1.0,0.004000190166355777,0.003992210678240409
2020-03-13,13131.761141842231,3,3,0.5,0.5,0.0,1.0,-0.017326643430560673,-0.017478506457708144
2020-03-14,13440.242506933402,3,3,0.5,0.5,0.0,1.0,0.02349124095078503,0.02321956814490831
2020-03-15,13930.330114748018,3,3,0.5,0.5,0.0,1.0,0.03646419382401733,0.0358151070234956
2020-03-16,13910.47953345317,3,3,0.5,0.5,0.0,1.0,-0.0014249900132540239,-0.0014260062770815637
