date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_trendline_score_long,avg_trendline_score_short,avg_r2_long,avg_r2_short,daily_return
2021-01-31,9351.740849552956,0,4675.870424776478,-4675.870424776478,0.0,9351.740849552956,2,1,500.0,189.49438770350892,0.7525192049473053,0.3476749813153905,
2021-02-01,9409.048816408693,0,4704.524408204346,-4704.524408204346,0.0,9409.048816408693,2,1,500.0,181.65673756346524,0.7505067292609968,0.3582837444624427,0.006128053351529328
2021-02-02,9700.432049080635,0,4850.216024540317,-4850.216024540317,0.0,9700.432049080635,2,1,500.0,188.71604335800518,0.7494393026239028,0.36170954187704424,0.030968404815138184
2021-02-03,8931.381095370698,0,4465.690547685349,-4465.690547685349,0.0,8931.381095370698,2,1,496.4324008976105,191.25648869113826,0.7526570993277113,0.36636963632732056,-0.0792800722502689
2021-02-04,8934.557417233764,0,4467.278708616882,-4467.278708616882,0.0,8934.557417233764,2,1,493.3107137905314,210.68242160601724,0.7562047621351289,0.3866327438451806,0.00035563613613032174
2021-02-05,9094.236921857006,0,4547.118460928503,-4547.118460928503,0.0,9094.236921857006,2,1,486.01645369993946,262.19493117167553,0.7763434773167207,0.4324602761960955,0.01787212249766701
2021-02-06,9201.548828945464,0,4600.774414472732,-4600.774414472732,0.0,9201.548828945464,2,1,492.55586784342086,341.24800837170176,0.780559373747814,0.49979096689618685,0.011799990258726023
2021-02-07,9285.049944579676,0,4642.524972289838,-4642.524972289838,0.0,9285.049944579676,2,1,500.0,211.89317844600947,0.6856594632474847,0.31284131459705744,0.009074680489825848
2021-02-08,9497.17696648351,0,4748.588483241755,-4748.588483241755,0.0,9497.17696648351,2,1,500.0,270.06216347410276,0.7243884031413004,0.43189125773218584,0.02284608302270552
2021-02-09,9757.665558521821,0,4878.832779260911,-4878.832779260911,0.0,9757.665558521821,2,1,500.0,312.64365446786945,0.7544288556583505,0.49491072544288356,0.02742800233770537
2021-02-10,10842.267126725863,0,5421.133563362931,-5421.133563362931,0.0,10842.267126725863,2,1,500.0,340.62932399905037,0.7589689512196958,0.5354440166059222,0.11115379613075671
2021-02-11,10350.843049555699,0,5175.421524777849,-5175.421524777849,0.0,10350.843049555699,2,1,500.0,365.9703818947424,0.6787280931388999,0.5766992625967884,-0.04532484501869716
2021-02-12,10248.1449163318,0,5124.0724581659,-5124.0724581659,0.0,10248.1449163318,2,1,500.0,402.22891019647886,0.6755763691789275,0.6159047137140703,-0.009921716785021406
2021-02-13,10388.208489047081,0,5194.104244523541,-5194.104244523541,0.0,10388.208489047081,2,1,500.0,466.9862711229267,0.6943571213233447,0.6561905744818888,0.0136672123451409
2021-02-14,10365.799345119625,0,5182.899672559813,-5182.899672559813,0.0,10365.799345119625,2,1,500.0,443.9155430325645,0.7504712630841842,0.5544461437909085,-0.0021571711764433177
2021-02-15,10253.822347729747,0,5126.9111738648735,-5126.9111738648735,0.0,10253.822347729747,2,1,500.0,500.0,0.7822721821663345,0.5989826375437011,-0.01080254340854081
2021-02-16,10206.564648580272,0,5103.282324290136,-5103.282324290136,0.0,10206.564648580272,2,1,500.0,500.0,0.8143426444339237,0.648065142549979,-0.004608788561656585
2021-02-17,10029.852725035971,0,5014.926362517986,-5014.926362517986,0.0,10029.852725035971,2,1,500.0,500.0,0.8403511480686725,0.6983469160293033,-0.017313555503602363
2021-02-18,9895.902924004955,0,4947.9514620024775,-4947.9514620024775,0.0,9895.902924004955,2,1,500.0,500.0,0.8570435965844666,0.7343023674567081,-0.013355111456089253
2021-02-19,10061.142573536208,0,5030.571286768104,-5030.571286768104,0.0,10061.142573536208,2,1,500.0,500.0,0.8661649397151814,0.7697812022293543,0.016697784002147387
2021-02-20,10367.86541980837,0,5183.932709904185,-5183.932709904185,0.0,10367.86541980837,2,1,500.0,500.0,0.8490274742533513,0.763690709285846,0.03048588607410596
2021-02-21,10570.912763246699,0,5285.456381623349,-5285.456381623349,0.0,10570.912763246699,2,1,500.0,500.0,0.7885297130082127,0.8002678771821181,0.01958429582336163
2021-02-22,10782.555268582864,0,5391.277634291432,-5391.277634291432,0.0,10782.555268582864,2,1,500.0,500.0,0.7721706747802103,0.7566408486210395,0.020021213879657607
2021-02-23,10399.814825377878,0,5199.907412688939,-5199.907412688939,0.0,10399.814825377878,2,1,500.0,500.0,0.7071079909644051,0.6744436310984865,-0.03549626537228867
2021-02-24,10413.607142714225,0,5206.803571357113,-5206.803571357113,0.0,10413.607142714225,2,1,500.0,500.0,0.6303848554795742,0.6014255397694899,0.001326207972731419
2021-02-25,10420.501021242439,0,5210.250510621219,-5210.250510621219,0.0,10420.501021242439,2,1,500.0,500.0,0.5283911702137671,0.5091833978857803,0.0006620067795659601
