date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2021-01-31,9579.418070244694,1,1,0.5,0.5,0.0,1.0,0.8991468054744258,-1.69190640050104,,9579.418070244694,0.0
2021-02-01,9347.628849528664,1,1,0.5,0.5,0.0,1.0,0.9209333395800795,-1.8920546837008732,-0.02419658678808545,9579.418070244694,-0.02419658678808541
2021-02-02,9808.624739310513,1,1,0.5,0.5,0.0,1.0,0.7534967311351166,-1.767329731590114,0.04931687994919631,9808.624739310513,0.0
2021-02-03,11722.651050028446,1,1,0.5,0.5,0.0,1.0,0.9544740609829792,-1.2597230217947564,0.19513707187175733,11722.651050028446,0.0
2021-02-04,14000.481532241338,1,1,0.5,0.5,0.0,1.0,1.7077240981052946,-0.7205087914406908,0.19431018397560895,14000.481532241338,0.0
2021-02-05,12900.271484130504,1,1,0.5,0.5,0.0,1.0,4.218969214399393,0.01008838783624358,-0.07858372910797307,14000.481532241338,-0.07858372910797312
2021-02-06,12609.095675071148,1,1,0.5,0.5,0.0,1.0,4.015559822423709,0.2786798342441162,-0.0225712931249199,14000.481532241338,-0.0993812858483477
2021-02-07,12511.968552822986,1,1,0.5,0.5,0.0,1.0,3.766770986662319,-1.920230160035092,-0.007702941174456135,14000.481532241338,-0.10631869882407223
2021-02-08,12162.482371422306,1,1,0.5,0.5,0.0,1.0,3.076671639050136,-1.9953915485229115,-0.02793214991911308,14000.481532241338,-0.1312811389084263
2021-02-09,11044.128304537182,1,1,0.5,0.5,0.0,1.0,3.4761976755318003,-2.597301047830037,-0.09195113569191071,14000.481532241338,-0.21116082478277967
2021-02-10,9448.891262960515,1,1,0.5,0.5,0.0,1.0,4.4055068653261245,-4.085092720581061,-0.1444420960702989,14000.481532241338,-0.3251024087135208
2021-02-11,9114.541280289093,1,1,0.5,0.5,0.0,1.0,5.751923707378556,-7.06783366878436,-0.03538510216347468,14000.481532241338,-0.3489837289310759
2021-02-12,9128.833460355056,1,1,0.5,0.5,0.0,1.0,4.969063995517161,6.036043753424097,0.0015680635619996774,14000.481532241338,-0.34796289403814384
2021-02-13,9258.056105971655,1,1,0.5,0.5,0.0,1.0,5.358545286459412,6.248576442714858,0.014155439046817042,14000.481532241338,-0.33873302252843784
2021-02-14,9404.836979786458,1,1,0.5,0.5,0.0,1.0,5.699816557573233,1.000985979896574,0.015854394500820268,14000.481532241338,-0.3282490349972386
2021-02-15,9328.858890886902,1,1,0.5,0.5,0.0,1.0,3.898054842494234,0.854353927279395,-0.008078618381461955,14000.481532241338,-0.3336758546908747
2021-02-16,9468.360899903351,1,1,0.5,0.5,0.0,1.0,3.3903502842612085,0.6991479076926175,0.014953812749030293,14000.481532241338,-0.3237117681917644
2021-02-17,9716.014164380606,1,1,0.5,0.5,0.0,1.0,3.010926365709542,0.6574096530708818,0.026155875034271414,14000.481532241338,-0.3060228577134398
2021-02-18,9282.87093112283,1,1,0.5,0.5,0.0,1.0,3.955932796214739,0.6777929566672971,-0.04458034189016524,14000.481532241338,-0.33696059598053446
2021-02-19,9801.852828697158,1,1,0.5,0.5,0.0,1.0,3.895481060962697,0.7563402966646718,0.055907477484614,14000.481532241338,-0.2998917354289043
2021-02-20,9746.116948979647,1,1,0.5,0.5,0.0,1.0,5.179571511369181,-0.9853883064302151,-0.005686259597198928,14000.481532241338,-0.3038727327674
2021-02-21,9590.58202819477,1,1,0.5,0.5,0.0,1.0,3.530393438712471,-3.100520201734674,-0.01595865528795648,14000.481532241338,-0.3149819878617122
2021-02-22,8757.638241781597,1,1,0.5,0.5,0.0,1.0,-2.9460425972257402,-2.368749775639827,-0.08685018114275578,14000.481532241338,-0.374475926301973
2021-02-23,9392.672738260984,1,1,0.5,0.5,0.0,1.0,-2.363648884564297,-2.3749761782369485,0.0725120721988397,14000.481532241338,-0.32911787950786925
2021-02-24,9375.153233620407,1,1,0.5,0.5,0.0,1.0,-3.004837845424553,-2.527942285559125,-0.0018652310294183794,14000.481532241338,-0.3303692296560932
2021-02-25,9651.304451334658,1,1,0.5,0.5,0.0,1.0,-2.7350585789011475,-2.0999461673713484,0.02945564843931714,14000.481532241338,-0.31064482110069397
2021-02-26,9473.160523231954,1,1,0.5,0.5,0.0,1.0,-3.1808660064023893,-1.6657990436621783,-0.01845801559788829,14000.481532241338,-0.3233689497453024
2021-02-27,9665.960114167669,1,1,0.5,0.5,0.0,1.0,-2.5583589966689733,-1.5795958461408535,0.020352192962727944,14000.481532241338,-0.3095980240459455
2021-02-28,9342.50910431696,1,1,0.5,0.5,0.0,1.0,1.89638357633057,-2.3631522070896365,-0.033462895152714056,14000.481532241338,-0.33270087298052264
2021-03-01,9699.315481543945,1,1,0.5,0.5,0.0,1.0,-1.8263788888987198,-2.511843867470351,0.03819170773535707,14000.481532241338,-0.3072155797493359
2021-03-02,10174.586418255492,1,1,0.5,0.5,0.0,1.0,-2.157776069755968,-1.659637313874053,0.04900046169401362,14000.481532241338,-0.27326882330263375
2021-03-03,10651.861026848896,1,1,0.5,0.5,0.0,1.0,-2.7695990379395177,-1.8685668973151728,0.046908502122215534,14000.481532241338,-0.23917895235824518
2021-03-04,11104.588466860074,1,1,0.5,0.5,0.0,1.0,-2.850737490213207,-1.947622569673918,0.04250219176442882,14000.481532241338,-0.20684239029296161
2021-03-05,12095.896350982594,1,1,0.5,0.5,0.0,1.0,-2.2646725449542084,-1.7840194750054101,0.08927011451895983,14000.481532241338,-0.13603711964282983
2021-03-06,11801.98805816521,1,1,0.5,0.5,0.0,1.0,-3.54826265636689,-1.8448859963964825,-0.024298182151131553,14000.481532241338,-0.15702984708156464
