date,symbol,signal,entropy,entropy_rank,entropy_percentile,returns_mean_30d,returns_std_30d
2021-03-02,BNT/USD,LONG,3.2974168451037094,7.0,87.5,0.02431159459081911,0.10241762280955685
2021-03-02,XTZ/USD,LONG,3.309194930603366,8.0,100.0,0.010074418504928358,0.0750285580281619
2021-03-02,XLM/USD,SHORT,2.634911999868539,1.0,12.5,0.01920246227435583,0.10718979381526342
2021-03-16,ALGO/USD,LONG,3.1968373646926143,5.0,83.33333333333334,0.015074434337593987,0.0881557965433599
2021-03-16,BNT/USD,LONG,3.3106152253101553,6.0,100.0,0.024866168155341383,0.09345391477379067
2021-03-16,ZRX/USD,SHORT,2.867019893290978,1.0,16.666666666666664,0.01698018195727122,0.09343858452917726
2021-03-30,OXT/USD,LONG,3.2478315601735415,5.0,100.0,0.015470113899820571,0.08569359038581399
2021-03-30,XLM/USD,LONG,3.21286188154264,4.0,80.0,0.005196078703101647,0.05636274396269157
2021-03-30,ZRX/USD,SHORT,2.8774373076694673,1.0,20.0,0.018696452321747978,0.08980007900595073
2021-04-13,ALGO/USD,LONG,3.4518868465060555,4.0,80.0,-0.0021277849645540423,0.0597952167806367
2021-04-13,ZRX/USD,LONG,3.560057263100606,5.0,100.0,0.003984491234401233,0.06253954579214913
2021-04-13,XLM/USD,SHORT,2.929972300941883,1.0,20.0,0.003576538059048241,0.06169414152360218
2021-04-27,EOS/USD,LONG,3.6224280559278856,6.0,100.0,0.008912370422618715,0.07079312833342391
2021-04-27,ZRX/USD,LONG,3.6010245140088144,5.0,83.33333333333334,0.005426254421583215,0.06988520793089484
2021-04-27,XLM/USD,SHORT,3.1824735625663796,1.0,16.666666666666664,0.004041864367920551,0.06146969474100488
2021-05-11,ALGO/USD,LONG,3.4859175795054953,5.0,83.33333333333334,0.005661746552558486,0.06304037516380752
2021-05-11,ZRX/USD,LONG,3.6053203878482014,6.0,100.0,0.0055108535210803425,0.07385672953219975
2021-05-11,EOS/USD,SHORT,3.0501249075754853,1.0,16.666666666666664,0.022439230203790687,0.10679105305432843
2021-05-25,ADA/USD,LONG,3.0586597124488337,10.0,83.33333333333334,0.004119351787040085,0.08253835370291612
2021-05-25,OXT/USD,LONG,3.12245630262202,12.0,100.0,-0.008235313187737753,0.0896855833460882
