Regime,Strategy,Long_Return,Short_Return,Long_Sharpe,Short_Sharpe,Long_WinRate,Short_WinRate,Long_Days,Short_Days,Total_Return
Strong Up,Trend Following,-1.2691844874487488,2.2996533256423985,-3.2365779638768073,7.393163808886626,0.4444444444444444,0.6111111111111112,18,18,1.0304688381936498
Strong Up,Mean Reversion,-2.2996533256423985,1.2691844874487488,-7.393163808886626,3.2365779638768073,0.3888888888888889,0.5555555555555556,18,18,-1.0304688381936498
Moderate Up,Trend Following,-0.4820663163733076,1.2563948456372853,-0.9807505185345058,2.558341351097471,0.48863636363636365,0.5681818181818182,88,88,0.7743285292639777
Moderate Up,Mean Reversion,-1.2563948456372853,0.4820663163733076,-2.558341351097471,0.9807505185345058,0.4318181818181818,0.5113636363636364,88,88,-0.7743285292639777
Down,Trend Following,2.1012704068646957,-2.2498254914517037,3.514132274258494,-4.1969098716354445,0.6206896551724138,0.40229885057471265,87,87,-0.14855508458700806
Down,Mean Reversion,2.2498254914517037,-2.1012704068646957,4.1969098716354445,-3.514132274258494,0.5977011494252874,0.3793103448275862,87,87,0.14855508458700806
Strong Down,Trend Following,0.8672172144620882,3.996972083421149,0.6289823315949087,2.1102752146206725,0.7272727272727273,0.36363636363636365,11,11,4.864189297883238
Strong Down,Mean Reversion,-3.996972083421149,-0.8672172144620882,-2.1102752146206725,-0.6289823315949087,0.6363636363636364,0.2727272727272727,11,11,-4.864189297883238
