strategy_name,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,avg_total_positions
"Long Low, Short High",0.3772106053939451,0.1242725940032447,0.2588798469767299,0.4800396610803595,-0.2923549011465979,0.506519558676028,18.60721442885772
Long Low Vol Only,0.0445373975271975,0.0160751741744451,0.2939741619659031,0.0546822689005901,-0.3546065294963974,0.5215646940822467,9.387775551102203
Long High Vol Only,-0.2415557987745793,-0.0962377099699102,0.4538651409569176,-0.2120403205388391,-0.5812997048847519,0.5035105315947843,9.219438877755511
"Long High, Short Low",-0.2738946417611011,-0.1105359987125088,0.2588798469767299,-0.4269779977212543,-0.4224652127831093,0.4924774322968906,18.60721442885772
