,value
initial_capital,10000.0
final_value,5048.851863078926
total_return,-0.4951148136921074
annualized_return,-0.1473386930789352
annualized_volatility,0.47007377703492614
sharpe_ratio,-0.31343737999660437
sortino_ratio,-0.37523107808419986
max_drawdown,-0.6590066503701114
calmar_ratio,-0.22357694417224291
win_rate,0.5226837060702876
trading_days,1565.0
avg_majors_allocation,0.4754632587859424
avg_small_caps_allocation,0.5245367412140576
days_low_spread,395.0
days_medium_spread,921.0
days_high_spread,249.0
