,value
initial_capital,10000.0
leverage,1.0
final_value,1698.2312018744071
total_return,-0.8301768798125593
annualized_return,-0.3169050749933148
annualized_volatility,0.3677921956630614
sharpe_ratio,-0.8616416518082811
sortino_ratio,-1.0423230842932543
max_drawdown,-0.888199552222555
calmar_ratio,-0.3567949051542736
win_rate,0.4098939929328622
trading_days,1698.0
avg_long_exposure,1890.6139400713448
avg_short_exposure,-1890.6139400713448
avg_net_exposure,0.0
avg_gross_exposure,3781.2278801426896
avg_long_positions,2.0147232037691403
avg_short_positions,1.2014134275618376
avg_trendline_score_long,66.60435699487681
avg_trendline_score_short,-140.85856394900065
avg_r2_long,0.4107388404121912
avg_r2_short,0.49343121857070604
