date,symbol,hurst,hurst_class,pct_change_5d,direction_class,forward_return,segment
2023-01-01,AAVE/USD,0.6797030875423764,High HE,-0.09307585247042438,Down,0.08210243621714941,High HE / Down
2023-01-02,AAVE/USD,0.6843319622246843,High HE,-0.013958682300390879,Down,0.05775764439411102,High HE / Down
2023-01-03,AAVE/USD,0.6738262312691213,High HE,-0.02464141228392802,Down,0.11651583710407243,High HE / Down
2023-01-04,AAVE/USD,0.6880996127609946,High HE,0.08199847444698705,Up,0.07772294677476199,High HE / Up
2023-01-05,AAVE/USD,0.6858364836581263,High HE,0.06860666795143566,Up,0.11541929666366091,High HE / Up
2023-01-06,AAVE/USD,0.6735028292320303,High HE,0.08210243621714941,Up,0.13720971458961184,High HE / Up
2023-01-07,AAVE/USD,0.6675994963917858,Low HE,0.05775764439411102,Up,0.2093147751605995,Low HE / Up
2023-01-08,AAVE/USD,0.6648230763734266,Low HE,0.11651583710407243,Up,0.20060790273556228,Low HE / Up
2023-01-09,AAVE/USD,0.677019184352965,High HE,0.07772294677476199,Up,0.2420278004905969,High HE / Up
2023-01-10,AAVE/USD,0.6799712121931227,High HE,0.11541929666366091,Up,0.28148746968472116,High HE / Up
2023-01-11,AAVE/USD,0.6732990403495939,High HE,0.13720971458961184,Up,0.25674201091192517,High HE / Up
2023-01-12,AAVE/USD,0.6753792000299452,High HE,0.2093147751605995,Up,0.2632433230042792,High HE / Up
2023-01-13,AAVE/USD,0.6893268968650186,High HE,0.20060790273556228,Up,0.1516174402250352,High HE / Up
2023-01-14,AAVE/USD,0.6936238302531714,High HE,0.2420278004905969,Up,0.07017774851876224,High HE / Up
2023-01-15,AAVE/USD,0.7036955663842925,High HE,0.28148746968472116,Up,0.10522331566994692,High HE / Up
2023-01-16,AAVE/USD,0.7100465837147915,High HE,0.25674201091192517,Up,0.04775489952865297,High HE / Up
2023-01-17,AAVE/USD,0.702645155881152,High HE,0.2632433230042792,Up,-0.003153837168554996,High HE / Up
2023-01-18,AAVE/USD,0.718933603155369,High HE,0.1516174402250352,Up,0.05788959452857845,High HE / Up
2023-01-19,AAVE/USD,0.71651493831489,High HE,0.07017774851876224,Up,-0.017101377952755903,High HE / Up
2023-01-20,AAVE/USD,0.6974176196282157,High HE,0.10522331566994692,Up,-0.019863013698630083,High HE / Up
2023-01-21,AAVE/USD,0.7071216096376659,High HE,0.04775489952865297,Up,0.05220788445601987,High HE / Up
2023-01-22,AAVE/USD,0.7073518922592683,High HE,-0.003153837168554996,Down,0.022966955706585246,High HE / Down
2023-01-23,AAVE/USD,0.7188266259467406,High HE,0.05788959452857845,Up,-0.02782267374740255,High HE / Up
2023-01-24,AAVE/USD,0.7160419353148259,High HE,-0.017101377952755903,Down,0.09663287019652023,High HE / Down
2023-01-25,AAVE/USD,0.719010027271884,High HE,-0.019863013698630083,Down,-0.05415793151642212,High HE / Down
2023-01-26,AAVE/USD,0.7233639335860819,High HE,0.05220788445601987,Up,-0.06649414941494147,High HE / Up
2023-01-27,AAVE/USD,0.7263794476995103,High HE,0.022966955706585246,Up,0.013058419243986208,High HE / Up
