date,symbol,signal,old_weight,new_weight,weight_change,kurtosis
2022-03-02,CRO/USD,LONG,0.0,0.28815431927336504,0.28815431927336504,1.0711730930827459
2022-03-02,GRT/USD,LONG,0.0,0.21184568072663496,0.21184568072663496,1.5890920600083893
2022-03-02,ALGO/USD,SHORT,0.0,-0.5,-0.5,-0.7919468315395304
2022-03-09,ALGO/USD,CLOSE,-0.5,0.0,0.5,-0.5410825242420345
2022-03-09,CRO/USD,LONG,0.28815431927336504,0.2824426844908887,-0.005711634782476327,1.1370756380668556
2022-03-09,GRT/USD,LONG,0.21184568072663496,0.2175573155091113,0.005711634782476355,1.620614098616464
2022-03-09,OXT/USD,SHORT,0.0,-0.5,-0.5,-0.7223205642118606
2022-03-16,CRO/USD,LONG,0.2824426844908887,0.29894676183818836,0.01650407734729964,1.2732936394357166
2022-03-16,GRT/USD,LONG,0.2175573155091113,0.20105323816181164,-0.016504077347299667,1.0766654192414729
2022-03-23,CRO/USD,LONG,0.29894676183818836,0.2947104272530109,-0.00423633458517747,0.06262227414440558
2022-03-23,GRT/USD,LONG,0.20105323816181164,0.2052895727469891,0.00423633458517747,0.9743278393630486
2022-03-30,CRO/USD,CLOSE,0.2947104272530109,0.0,-0.2947104272530109,-0.00030369846273092804
2022-03-30,ZRX/USD,LONG,0.0,0.2655055605957777,0.2655055605957777,0.3182720761867266
2022-03-30,GRT/USD,LONG,0.2052895727469891,0.23449443940422235,0.029204866657233236,0.5887148901672306
2022-04-06,ALGO/USD,SHORT,0.0,-0.5,-0.5,-0.251923192244794
2022-04-06,ZRX/USD,LONG,0.2655055605957777,0.2551917418036132,-0.010313818792164475,0.17892786753084566
2022-04-06,GRT/USD,LONG,0.23449443940422235,0.24480825819638677,0.01031381879216442,0.6536650812827851
2022-04-06,OXT/USD,CLOSE,-0.5,0.0,0.5,-0.20952727073837663
2022-04-13,CRO/USD,LONG,0.0,0.33212801893710575,0.33212801893710575,0.22039910286354836
2022-04-13,ZRX/USD,CLOSE,0.2551917418036132,0.0,-0.2551917418036132,-0.13160496680152134
2022-04-13,GRT/USD,LONG,0.24480825819638677,0.16787198106289425,-0.07693627713349252,0.5992062627490533
2022-04-20,CRO/USD,LONG,0.33212801893710575,0.3781650081962302,0.04603698925912447,0.5013690129322024
2022-04-20,ZRX/USD,LONG,0.0,0.12183499180376978,0.12183499180376978,10.854467607686681
2022-04-20,GRT/USD,CLOSE,0.16787198106289425,0.0,-0.16787198106289425,-0.105924748437499
2022-04-27,CRO/USD,LONG,0.3781650081962302,0.38812250651412744,0.009957498317897218,0.8864502990117082
2022-04-27,ZRX/USD,LONG,0.12183499180376978,0.11187749348587261,-0.009957498317897162,9.470873953009672
2022-05-04,CRO/USD,LONG,0.38812250651412744,0.3474683264602744,-0.04065418005385302,1.122630962999537
2022-05-04,ZRX/USD,LONG,0.11187749348587261,0.1525316735397256,0.04065418005385299,8.568641066982174
2022-05-11,IMX/USD,SHORT,0.0,-0.5,-0.5,2.0832852452976605
2022-05-11,ALGO/USD,CLOSE,-0.5,0.0,0.5,3.8962442699629793
2022-05-11,CRO/USD,CLOSE,0.3474683264602744,0.0,-0.3474683264602744,2.987603025585348
2022-05-11,ZRX/USD,LONG,0.1525316735397256,0.24012937822083866,0.08759770468111305,5.703947795341943
2022-05-11,GRT/USD,LONG,0.0,0.2598706217791613,0.2598706217791613,11.252559689787512
2022-05-18,IMX/USD,CLOSE,-0.5,0.0,0.5,1.7631783108353938
2022-05-18,ZRX/USD,LONG,0.24012937822083866,0.24992842516450747,0.009799046943668815,3.943527738353965
2022-05-18,GRT/USD,LONG,0.2598706217791613,0.2500715748354925,-0.009799046943668788,8.25306977068209
2022-05-18,XLM/USD,SHORT,0.0,-0.5,-0.5,1.2327634051514353
2022-05-25,ZRX/USD,LONG,0.24992842516450747,0.28015246001029653,0.03022403484578906,3.5722679805945887
2022-05-25,GRT/USD,LONG,0.2500715748354925,0.2198475399897035,-0.030224034845789033,8.36325092408856
2022-06-01,ZRX/USD,LONG,0.28015246001029653,0.2812491859112085,0.0010967259009119767,4.390626118443192
2022-06-01,GRT/USD,LONG,0.2198475399897035,0.2187508140887915,-0.0010967259009120045,8.050500967315273
2022-06-08,ZRX/USD,LONG,0.2812491859112085,0.2924972434365539,0.011248057525345412,5.101695388722103
2022-06-08,GRT/USD,LONG,0.2187508140887915,0.20750275656344608,-0.011248057525345412,8.413319678867621
2022-06-15,ZRX/USD,LONG,0.2924972434365539,0.23616581685887963,-0.05633142657767429,4.481258434356753
2022-06-15,GRT/USD,LONG,0.20750275656344608,0.2638341831411204,0.056331426577674315,7.927525928803366
2022-06-22,ZRX/USD,CLOSE,0.23616581685887963,0.0,-0.23616581685887963,0.774887985441743
2022-06-22,GRT/USD,LONG,0.2638341831411204,0.24171332207628693,-0.022120861064833464,7.132204492957266
2022-06-22,OXT/USD,LONG,0.0,0.258286677923713,0.258286677923713,1.6273523956661853
2022-06-22,XLM/USD,CLOSE,-0.5,0.0,0.5,-0.04416170961221644
2022-06-22,LINK/USD,SHORT,0.0,-0.5,-0.5,-0.12091804868305633
2022-06-29,ROSE/USD,LONG,0.0,0.244296984201774,0.244296984201774,6.773857622902586
2022-06-29,GRT/USD,LONG,0.24171332207628693,0.255703015798226,0.01398969372193909,7.473059968638928
2022-06-29,OXT/USD,CLOSE,0.258286677923713,0.0,-0.258286677923713,1.8946848143659887
2022-06-29,XLM/USD,SHORT,0.0,-0.5,-0.5,-0.09263048604817614
