hurst_class,count,mean_return,annualized_return,annualized_vol,sharpe_ratio,win_rate,avg_hurst
Low HE,19531.0,0.0024926506172587154,0.13368487136850282,0.870260422840443,0.14435861704453573,0.4614715068352875,0.6319797054371682
High HE,19531.0,0.009082354801526183,0.577252574151371,0.890748431356688,0.5138944576076605,0.4937279197173724,0.7078521683156006
