days_threshold,initial_capital,final_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,num_days,avg_long_positions,avg_short_positions,avg_total_positions,avg_long_exposure,avg_short_exposure,avg_net_exposure,avg_gross_exposure
5,10000.0,9040.192402757151,-0.09598075972428487,-0.12759503052378096,0.28629005056888246,-0.4456844737364742,-0.28894367613071686,0.23048327137546468,270,0.7925925925925926,0.337037037037037,1.1296296296296298,0.17407407407407408,0.07592592592592592,0.09814814814814815,0.25
10,10000.0,9490.633918505959,-0.05093660814940413,-0.06827986598078706,0.3090342718088236,-0.22094593451119462,-0.23409901961012916,0.3308550185873606,270,1.2148148148148148,0.5555555555555556,1.7703703703703704,0.2388888888888889,0.11296296296296296,0.1259259259259259,0.35185185185185186
15,10000.0,10355.109350179504,0.0355109350179504,0.048337031411501474,0.3338613953095959,0.1447817330502607,-0.1585520303609624,0.3828996282527881,270,1.5851851851851853,0.737037037037037,2.3222222222222224,0.2833333333333333,0.14629629629629629,0.13703703703703704,0.42962962962962964
20,10000.0,9998.976510413753,-0.00010234895862467965,-0.00013845289718539266,0.33806110735176004,-0.0004095499132389973,-0.1983870392816055,0.4312267657992565,270,1.8962962962962964,0.8851851851851852,2.7814814814814817,0.3074074074074074,0.17407407407407408,0.13333333333333333,0.48148148148148145
30,10000.0,8875.81608350606,-0.11241839164939392,-0.14898477106043428,0.3541048069806347,-0.42073636992050767,-0.29560085943979125,0.4758364312267658,270,2.4555555555555557,1.1037037037037036,3.5592592592592593,0.33054502323889073,0.20555555555555555,0.12498946768333515,0.5361005787944463
