date,symbol,old_weight,new_weight,weight_change
2025-09-18,HYPE/USDC:USDC,0.0,0.22125799698410517,0.22125799698410517
2025-09-18,HYPE/USDC,0.0,0.22128295416257207,0.22128295416257207
2025-09-18,SOL/USDC:USDC,0.0,0.29734806994354485,0.29734806994354485
2025-09-18,DOGE/USDC:USDC,0.0,0.26011097890977786,0.26011097890977786
2025-09-19,HYPE/USDC:USDC,0.22125799698410517,0.24707233920654784,0.025814342222442666
2025-09-19,HYPE/USDC,0.22128295416257207,0.24858474173834125,0.027301787575769176
2025-09-19,SOL/USDC:USDC,0.29734806994354485,0.2721080379904026,-0.025240031953142228
2025-09-19,DOGE/USDC:USDC,0.26011097890977786,0.23223488106470827,-0.027876097845069586
2025-09-20,HYPE/USDC:USDC,0.24707233920654784,0.24627223277461144,-0.0008001064319363982
2025-09-20,HYPE/USDC,0.24858474173834125,0.24810632248964531,-0.00047841924869593266
2025-09-20,SOL/USDC:USDC,0.2721080379904026,0.2750112857388258,0.0029032477484231545
2025-09-20,DOGE/USDC:USDC,0.23223488106470827,0.2306101589969175,-0.0016247220677907681
2025-09-21,HYPE/USDC:USDC,0.24627223277461144,0.2354188758124677,-0.010853356962143734
2025-09-21,HYPE/USDC,0.24810632248964531,0.2364593778259042,-0.01164694466374111
2025-09-21,SOL/USDC:USDC,0.2750112857388258,0.2962316136976446,0.02122032795881884
2025-09-21,DOGE/USDC:USDC,0.2306101589969175,0.2318901326639835,0.0012799736670660034
2025-09-22,HYPE/USDC:USDC,0.2354188758124677,0.2340410900119907,-0.0013777858004770105
2025-09-22,HYPE/USDC,0.2364593778259042,0.23523524419978492,-0.0012241336261192837
2025-09-22,SOL/USDC:USDC,0.2962316136976446,0.2959544026337145,-0.0002772110639301384
2025-09-22,DOGE/USDC:USDC,0.2318901326639835,0.23476926315450994,0.0028791304905264326
2025-09-23,HYPE/USDC:USDC,0.2340410900119907,0.23060078519785587,-0.0034403048141348203
2025-09-23,HYPE/USDC,0.23523524419978492,0.2313782221222506,-0.003857022077534328
2025-09-23,SOL/USDC:USDC,0.2959544026337145,0.2975786260655323,0.0016242234318178395
2025-09-23,DOGE/USDC:USDC,0.23476926315450994,0.2404423666143612,0.005673103459851253
2025-09-24,HYPE/USDC:USDC,0.23060078519785587,0.22983436251220107,-0.0007664226856547995
2025-09-24,HYPE/USDC,0.2313782221222506,0.2303798269212454,-0.0009983952010051977
2025-09-24,SOL/USDC:USDC,0.2975786260655323,0.2985848080647937,0.0010061819992613907
2025-09-24,DOGE/USDC:USDC,0.2404423666143612,0.24120100250175983,0.0007586358873986343
2025-09-25,HYPE/USDC:USDC,0.22983436251220107,0.2259225034683201,-0.003911859043880972
2025-09-25,HYPE/USDC,0.2303798269212454,0.2262642986771776,-0.004115528244067801
2025-09-25,SOL/USDC:USDC,0.2985848080647937,0.29260317903835353,-0.005981629026440172
2025-09-25,DOGE/USDC:USDC,0.24120100250175983,0.2552100188161488,0.014009016314388972
2025-09-26,HYPE/USDC:USDC,0.2259225034683201,0.21676727582864172,-0.009155227639678382
2025-09-26,HYPE/USDC,0.2262642986771776,0.21690184322764336,-0.009362455449534235
2025-09-26,SOL/USDC:USDC,0.29260317903835353,0.3041999886235245,0.011596809585170953
2025-09-26,DOGE/USDC:USDC,0.2552100188161488,0.2621308923201905,0.006920873504041691
2025-09-27,HYPE/USDC:USDC,0.21676727582864172,0.2165063407635634,-0.00026093506507832154
2025-09-27,HYPE/USDC,0.21690184322764336,0.21662751758470003,-0.0002743256429433294
2025-09-27,SOL/USDC:USDC,0.3041999886235245,0.3037677586437006,-0.0004322299798238949
2025-09-27,DOGE/USDC:USDC,0.2621308923201905,0.26309838300803606,0.0009674906878455736
2025-09-28,HYPE/USDC:USDC,0.2165063407635634,0.21471166608056144,-0.0017946746830019566
2025-09-28,HYPE/USDC,0.21662751758470003,0.21462772167445407,-0.0019997959102459606
2025-09-28,SOL/USDC:USDC,0.3037677586437006,0.30495651352783126,0.0011887548841306717
2025-09-28,DOGE/USDC:USDC,0.26309838300803606,0.2657040987171533,0.002605715709117218
2025-09-29,HYPE/USDC:USDC,0.21471166608056144,0.21586589937274875,0.0011542332921873066
2025-09-29,HYPE/USDC,0.21462772167445407,0.21550832594426073,0.0008806042698066563
2025-09-29,SOL/USDC:USDC,0.30495651352783126,0.30327588173745196,-0.0016806317903793055
2025-09-29,DOGE/USDC:USDC,0.2657040987171533,0.2653498929455386,-0.0003542057716146574
2025-09-30,HYPE/USDC:USDC,0.21586589937274875,0.2162362009499686,0.0003703015772198448
2025-09-30,HYPE/USDC,0.21550832594426073,0.21575120939108403,0.00024288344682329988
2025-09-30,SOL/USDC:USDC,0.30327588173745196,0.3025981300015598,-0.0006777517358921847
2025-10-01,HYPE/USDC:USDC,0.2162362009499686,0.21836601803153663,0.002129817081568036
2025-10-01,HYPE/USDC,0.21575120939108403,0.21780297393554773,0.002051764544463708
2025-10-01,SOL/USDC:USDC,0.3025981300015598,0.29625602794005185,-0.006342102061507926
2025-10-01,DOGE/USDC:USDC,0.2654144596573876,0.26757498009286385,0.0021605204354762653
2025-10-02,HYPE/USDC:USDC,0.21836601803153663,0.2202474549505322,0.0018814369189955604
2025-10-02,HYPE/USDC,0.21780297393554773,0.21967011604330655,0.001867142107758818
2025-10-02,SOL/USDC:USDC,0.29625602794005185,0.2901847836204358,-0.0060712443196160315
2025-10-02,DOGE/USDC:USDC,0.26757498009286385,0.26989764538572536,0.0023226652928615144
