date,symbol,old_weight,new_weight,weight_change
2020-01-31,XLM/USD,0.0,0.06518832417134908,0.06518832417134908
2020-01-31,ETC/USD,0.0,0.03803992854067146,0.03803992854067146
2020-01-31,LINK/USD,0.0,0.07127232398855952,0.07127232398855952
2020-01-31,XRP/USD,0.0,0.06806857039388013,0.06806857039388013
2020-01-31,LTC/USD,0.0,0.05484827128137324,0.05484827128137324
2020-01-31,BCH/USD,0.0,0.03838486312064398,0.03838486312064398
2020-01-31,ETH/USD,0.0,0.07247214353792601,0.07247214353792601
2020-01-31,BTC/USD,0.0,0.09172557496559654,0.09172557496559654
2020-03-01,XLM/USD,0.06518832417134908,0.06296254771897696,-0.0022257764523721246
2020-03-01,ETC/USD,0.03803992854067146,0.054566170955357145,0.016526242414685685
2020-03-01,LINK/USD,0.07127232398855952,0.045200669068482864,-0.02607165492007666
2020-03-01,XRP/USD,0.06806857039388013,0.06378683437014694,-0.00428173602373319
2020-03-01,LTC/USD,0.05484827128137324,0.0569146462793942,0.0020663749980209603
2020-03-01,BCH/USD,0.03838486312064398,0.05347966352749998,0.015094800406855999
2020-03-01,ETH/USD,0.07247214353792601,0.05754823219373415,-0.01492391134419186
2020-03-01,BTC/USD,0.09172557496559654,0.10554123588640776,0.013815660920811226
2020-03-31,XLM/USD,0.06296254771897696,0.07149673891516029,0.00853419119618333
2020-03-31,ETC/USD,0.054566170955357145,0.059672466670680796,0.005106295715323651
2020-03-31,LINK/USD,0.045200669068482864,0.05513650965258248,0.009935840584099617
2020-03-31,XRP/USD,0.06378683437014694,0.07418923660323437,0.01040240223308743
2020-03-31,LTC/USD,0.0569146462793942,0.06315497541791981,0.0062403291385256104
2020-03-31,ETH/USD,0.05754823219373415,0.0563863595902475,-0.0011618726034866508
2020-03-31,BTC/USD,0.10554123588640776,0.06642485807336217,-0.0391163778130456
2020-04-30,XLM/USD,0.07149673891516029,0.05601961542885593,-0.015477123486304353
2020-04-30,ETC/USD,0.059672466670680796,0.05936796020195035,-0.00030450646873044634
2020-04-30,LINK/USD,0.05513650965258248,0.053944366559198174,-0.001192143093384307
2020-04-30,XRP/USD,0.07418923660323437,0.07520428860874608,0.0010150520055117046
2020-04-30,LTC/USD,0.06315497541791981,0.06865775174053168,0.005502776322611869
2020-04-30,BCH/USD,0.05353885507681256,0.061688880257033916,0.008150025180221357
2020-04-30,ETH/USD,0.0563863595902475,0.0508954754210314,-0.005490884169216101
2020-04-30,BTC/USD,0.06642485807336217,0.07422166178265249,0.007796803709290326
2020-05-30,DAI/USD,0.0,0.32415812756641854,0.32415812756641854
2020-05-30,XLM/USD,0.05601961542885593,0.01862371921932131,-0.037395896209534624
2020-05-30,ETC/USD,0.05936796020195035,0.018740265007715456,-0.0406276951942349
2020-05-30,LINK/USD,0.053944366559198174,0.023168986829884105,-0.03077537972931407
2020-05-30,XRP/USD,0.07520428860874608,0.02863769235701875,-0.04656659625172732
2020-05-30,LTC/USD,0.06865775174053168,0.022920580859754097,-0.04573717088077758
2020-05-30,BCH/USD,0.061688880257033916,0.021961253532994256,-0.039727626724039664
2020-05-30,ETH/USD,0.0508954754210314,0.01970283701279445,-0.03119263840823695
2020-05-30,BTC/USD,0.07422166178265249,0.022086537614099008,-0.05213512416855348
2020-06-29,DAI/USD,0.32415812756641854,0.27204173419526567,-0.05211639337115287
2020-06-29,XLM/USD,0.01862371921932131,0.0238966777684706,0.00527295854914929
2020-06-29,ETC/USD,0.018740265007715456,0.02846700827648643,0.009726743268770974
2020-06-29,LINK/USD,0.023168986829884105,0.0226761270834134,-0.0004928597464707064
2020-06-29,XRP/USD,0.02863769235701875,0.03763260479886076,0.008994912441842012
2020-06-29,LTC/USD,0.022920580859754097,0.029833589978194127,0.00691300911844003
2020-06-29,BCH/USD,0.021961253532994256,0.027939702352643005,0.005978448819648749
2020-06-29,ETH/USD,0.01970283701279445,0.027125803932074453,0.007422966919280002
2020-06-29,BTC/USD,0.022086537614099008,0.030386751614591576,0.008300214000492568
2020-07-29,DAI/USD,0.27204173419526567,0.17693878077360756,-0.09510295342165812
2020-07-29,XLM/USD,0.0238966777684706,0.030344825359522903,0.006448147591052302
2020-07-29,ETC/USD,0.02846700827648643,0.04385657643312474,0.01538956815663831
2020-07-29,LINK/USD,0.0226761270834134,0.020475287448951933,-0.0022008396344614656
2020-07-29,XRP/USD,0.03763260479886076,0.04453644261045783,0.00690383781159707
2020-07-29,LTC/USD,0.029833589978194127,0.0378232290434226,0.007989639065228472
2020-07-29,BCH/USD,0.027939702352643005,0.0409118204936794,0.012972118141036392
2020-07-29,ETH/USD,0.027125803932074453,0.046693724891690845,0.019567920959616392
2020-07-29,BTC/USD,0.030386751614591576,0.0584193129455422,0.028032561330950626
2020-08-28,DAI/USD,0.17693878077360756,0.2917397502297174,0.11480096945610982
2020-08-28,XLM/USD,0.030344825359522903,0.023904853080917925,-0.006439972278604978
2020-08-28,ETC/USD,0.04385657643312474,0.032451943533979226,-0.011404632899145513
2020-08-28,LINK/USD,0.020475287448951933,0.011437422903288377,-0.009037864545663556
2020-08-28,XRP/USD,0.04453644261045783,0.026232521536238926,-0.018303921074218906
2020-08-28,LTC/USD,0.0378232290434226,0.024582324052517045,-0.013240904990905553
2020-08-28,BCH/USD,0.0409118204936794,0.025231212320379545,-0.015680608173299852
2020-08-28,ETH/USD,0.046693724891690845,0.024028782423994612,-0.022664942467696233
2020-08-28,BTC/USD,0.0584193129455422,0.040391189918966966,-0.018028123026575235
