,value
initial_capital,10000.0
leverage,1.0
final_value,876.9439280773782
total_return,-0.9123056071922622
annualized_return,-0.4129219094104325
annualized_volatility,0.5224677102235619
sharpe_ratio,-0.790330007635773
sortino_ratio,-0.9802155682400246
max_drawdown,-0.9292083671229893
calmar_ratio,-0.4443803177202541
win_rate,0.4244604316546763
trading_days,1668.0
avg_long_exposure,1421.5765900933968
avg_short_exposure,0.0
avg_net_exposure,1421.5765900933968
avg_gross_exposure,1421.5765900933968
avg_long_positions,2.0707434052757794
avg_short_positions,0.0
avg_portfolio_beta,0.6937749254755693
