date,portfolio_value,long_exposure,short_exposure,net_exposure,gross_exposure
2021-10-15,98648.71088649337,1.0,0,1.0,1.0
2021-10-16,99094.98462280682,1.0,0,1.0,1.0
2021-10-17,98784.18115814087,1.0,0,1.0,1.0
2021-10-18,100085.56705889237,1.0,0,1.0,1.0
2021-10-19,105497.85026932236,1.0,0,1.0,1.0
2021-10-20,102911.81496852516,1.0,0,1.0,1.0
2021-10-21,102512.42695504181,1.0,0,1.0,1.0
2021-10-22,104310.64786930673,1.0,0,1.0,1.0
2021-10-23,104741.70138255693,1.0,0,1.0,1.0
2021-10-24,106863.98031715261,1.0,0,1.0,1.0
2021-10-25,103713.119762055,1.0,0,1.0,1.0
2021-10-26,97056.1939237556,1.0,0,1.0,1.0
2021-10-27,104511.4256141365,1.0,0,1.0,1.0
2021-10-28,105986.13004079781,1.0,0,1.0,1.0
2021-10-29,104727.53040033719,1.0,0,1.0,1.0
2021-10-30,103832.63097025597,1.0,0,1.0,1.0
2021-10-31,103691.68235259515,1.0,0,1.0,1.0
2021-11-01,108562.84872777267,1.0,0,1.0,1.0
2021-11-02,108294.39255799925,1.0,0,1.0,1.0
2021-11-03,106070.27592163457,1.0,0,1.0,1.0
2021-11-04,105098.84857169993,1.0,0,1.0,1.0
2021-11-05,106055.93948501111,1.0,0,1.0,1.0
2021-11-06,108797.6311293541,1.0,0,1.0,1.0
2021-11-07,115107.1595029288,1.0,0,1.0,1.0
2021-11-08,113747.42363307493,1.0,0,1.0,1.0
2021-11-09,110678.41810662654,1.0,0,1.0,1.0
2021-11-10,111334.93435032401,1.0,0,1.0,1.0
2021-11-11,110146.39536780071,1.0,0,1.0,1.0
2021-11-12,110225.75560462146,1.0,0,1.0,1.0
2021-11-13,111276.84311959287,1.0,0,1.0,1.0
2021-11-14,108696.58854074475,1.0,0,1.0,1.0
2021-11-15,101791.5137678917,1.0,0,1.0,1.0
2021-11-16,102751.76615945263,1.0,0,1.0,1.0
2021-11-17,96471.25726982896,1.0,0,1.0,1.0
2021-11-18,100400.38018073069,1.0,0,1.0,1.0
2021-11-19,103196.43145941512,1.0,0,1.0,1.0
2021-11-20,100692.33073494131,1.0,0,1.0,1.0
2021-11-21,96588.64470440231,1.0,0,1.0,1.0
2021-11-22,100140.06498865945,1.0,0,1.0,1.0
2021-11-23,99098.464430062,1.0,0,1.0,1.0
2021-11-24,103251.72656505607,1.0,0,1.0,1.0
2021-11-25,93424.64485641198,1.0,0,1.0,1.0
2021-11-26,94991.5599717153,1.0,0,1.0,1.0
2021-11-27,99501.44576597387,1.0,0,1.0,1.0
2021-11-28,101336.9412075326,1.0,0,1.0,1.0
2021-11-29,101880.82166129466,1.0,0,1.0,1.0
2021-11-30,101768.15001454281,1.0,0,1.0,1.0
2021-12-01,100386.85335804746,1.0,0,1.0,1.0
2021-12-02,94720.48299560456,1.0,0,1.0,1.0
2021-12-03,88964.01807270883,1.0,0,1.0,1.0
2021-12-04,89867.9301463227,1.0,0,1.0,1.0
2021-12-05,92245.90249179702,1.0,0,1.0,1.0
2021-12-06,92018.1850769232,1.0,0,1.0,1.0
2021-12-07,92892.31097572594,1.0,0,1.0,1.0
2021-12-08,86893.84225348782,1.0,0,1.0,1.0
2021-12-09,84840.32504771894,1.0,0,1.0,1.0
2021-12-10,88905.05741104319,1.0,0,1.0,1.0
2021-12-11,90016.04127690195,1.0,0,1.0,1.0
2021-12-12,83405.3836587683,1.0,0,1.0,1.0
2021-12-13,85884.02409758448,1.0,0,1.0,1.0
2021-12-14,87756.21909282141,1.0,0,1.0,1.0
2021-12-15,85815.61084436123,1.0,0,1.0,1.0
2021-12-16,83489.82554849156,1.0,0,1.0,1.0
2021-12-17,84958.79884512362,1.0,0,1.0,1.0
2021-12-18,84478.67831027905,1.0,0,1.0,1.0
2021-12-19,84913.13034604311,1.0,0,1.0,1.0
2021-12-20,87755.51167422796,1.0,0,1.0,1.0
2021-12-21,87120.43819845463,1.0,0,1.0,1.0
2021-12-22,90718.03347182563,1.0,0,1.0,1.0
2021-12-23,90219.18572240658,1.0,0,1.0,1.0
2021-12-24,90121.79342199113,1.0,0,1.0,1.0
2021-12-25,90294.01746400322,1.0,0,1.0,1.0
2021-12-26,89979.15505905758,1.0,0,1.0,1.0
2021-12-27,84410.04169993216,1.0,0,1.0,1.0
2021-12-28,81877.81787606272,1.0,0,1.0,1.0
2021-12-29,83257.43545006648,1.0,0,1.0,1.0
2021-12-30,81951.87233277582,1.0,0,1.0,1.0
2021-12-31,84399.06440336723,1.0,0,1.0,1.0
2022-01-01,84415.37828033525,1.0,0,1.0,1.0
2022-01-02,82958.02764696068,1.0,0,1.0,1.0
2022-01-03,82371.35653043135,1.0,0,1.0,1.0
2022-01-04,77703.00546641088,1.0,0,1.0,1.0
2022-01-05,76235.63198156694,1.0,0,1.0,1.0
2022-01-06,72835.89768334512,1.0,0,1.0,1.0
2022-01-07,71980.02925367208,1.0,0,1.0,1.0
2022-01-08,72790.74744423281,1.0,0,1.0,1.0
2022-01-09,72158.96552266947,1.0,0,1.0,1.0
2022-01-10,74508.43216223865,1.0,0,1.0,1.0
2022-01-11,76909.87766954322,1.0,0,1.0,1.0
2022-01-12,74326.06462978963,1.0,0,1.0,1.0
2022-01-13,75461.49917916155,1.0,0,1.0,1.0
2022-01-14,75615.51158253667,1.0,0,1.0,1.0
2022-01-15,75797.65276026417,1.0,0,1.0,1.0
2022-01-16,73664.62734644656,1.0,0,1.0,1.0
2022-01-17,73413.43545523383,1.0,0,1.0,1.0
2022-01-18,72008.90049767449,1.0,0,1.0,1.0
2022-01-19,70190.22771488118,1.0,0,1.0,1.0
