date,symbol,signal,dw,dw_rank,percentile,weight,volatility,autocorr_30d,market_cap,volume_30d_avg
2021-03-02,BNT/USD,LONG,2.2731252119620873,8.0,100.0,0.2012892032404772,2.1439525464877933,-0.20326313897374754,133939953.40059274,5280398.167893067
2021-03-02,EOS/USD,LONG,2.1104187493867896,7.0,87.5,0.2987107967595228,1.4447234735051881,-0.06214816101722414,2625024378.6311483,6602923.236666666
2021-03-02,GRT/USD,SHORT,1.6255247850042704,1.0,12.5,-0.5,2.33170602946444,0.13396817228737107,369564933.9037584,92907586.40433334
2021-03-16,BNT/USD,LONG,2.0704949830108523,5.0,83.33333333333334,0.17449751665230234,1.91452113690309,-0.11133596887718504,133939953.40059274,5576189.214108033
2021-03-16,XLM/USD,LONG,2.215446685697259,6.0,100.0,0.3255024833476977,1.0263491096351252,-0.11759429136504544,2989656210.8862576,198501472.23333332
2021-03-16,GRT/USD,SHORT,1.554728331108803,1.0,16.666666666666664,-0.5,1.4163365540507562,0.13245146462300705,369564933.9037584,52290994.223000005
2021-03-30,OXT/USD,LONG,1.8426837847245536,4.0,80.0,0.1613209282312111,1.4318811256145034,0.04719455488768929,84970405.6500807,33703823.9
2021-03-30,XLM/USD,LONG,1.9455680149049046,5.0,100.0,0.33867907176878886,0.6820391679193516,-0.01331055071759928,2989656210.8862576,130898445.26666667
2021-03-30,ZRX/USD,SHORT,1.4321406565607646,1.0,20.0,-0.5,1.0420403565206844,0.23563407980480477,294490417.9531757,9620655.317429334
2021-04-13,GRT/USD,LONG,2.488155192154189,5.0,100.0,0.27154821639129045,1.2902455075227832,-0.2537044235796598,369564933.9037584,21799449.316666666
2021-04-13,OXT/USD,LONG,2.1582740434009757,4.0,80.0,0.22845178360870957,1.5336446962252113,-0.08421616775436677,84970405.6500807,31924385.166666668
2021-04-13,ALGO/USD,SHORT,1.9967811532330728,1.0,20.0,-0.5,0.9994147081364287,-0.0026040145127677787,506613483.19005257,33124278.766666666
2021-04-27,ALGO/USD,LONG,2.1396741386031954,5.0,83.33333333333334,0.24090782453258058,1.3247284961759884,-0.11876278847042433,506613483.19005257,34894290.2
2021-04-27,GRT/USD,LONG,2.221319299258273,6.0,100.0,0.25909217546741947,1.231752597446562,-0.12101358281151017,369564933.9037584,22977083.223999996
