,value
initial_capital,10000.0
leverage,1.0
final_value,14907.79818505324
total_return,0.490779818505324
annualized_return,0.08800173695083013
annualized_volatility,0.36043998769131025
sharpe_ratio,0.24415087103542188
sortino_ratio,0.30878505430162745
max_drawdown,-0.3520025966760194
calmar_ratio,0.2500030902664797
win_rate,0.4375
trading_days,1728.0
avg_long_exposure,5415.164975843301
avg_short_exposure,-5415.164975843301
avg_net_exposure,0.0
avg_gross_exposure,10830.329951686603
avg_long_positions,2.0833333333333335
avg_short_positions,1.2494212962962963
avg_trendline_score_long,126.24551953755794
avg_trendline_score_short,-224.2830023619484
avg_r2_long,0.40871318275145047
avg_r2_short,0.4873131907725129
