date,symbol,signal,adf_stat,adf_pvalue,is_stationary,adf_rank,percentile,weight,volatility,market_cap,volume_30d_avg
2021-05-18,ADA/USD,LONG,-2.031741787277159,0.584041992518002,False,4.0,80.0,0.25579573440826564,1.5071001393601227,6377915101.911628,144017296.68333334
2021-05-18,ZRX/USD,LONG,-1.8422049927381985,0.6840606534222052,False,5.0,100.0,0.24420426559173442,1.5786365813074086,294490417.9531757,13089125.141963333
2021-05-18,XLM/USD,SHORT,-2.7160026317417953,0.2294983630836479,False,1.0,20.0,-0.5,1.562456384605411,2989656210.8862576,276533805.1666667
2021-05-25,ALGO/USD,LONG,-1.6582180805646383,0.7688135936696259,False,6.0,100.0,0.25206181559514546,2.122444124840933,506613483.19005257,42008708.766666666
2021-05-25,XLM/USD,LONG,-1.924711989472491,0.6417691117959401,False,5.0,83.33333333333334,0.24793818440485454,2.157743959006664,2989656210.8862576,327024960.46666664
2021-05-25,EOS/USD,SHORT,-3.8206154312634935,0.015545718691469727,True,1.0,16.666666666666664,-0.5,3.5413386263296167,2625024378.6311483,11782971.17
2021-06-01,ALGO/USD,LONG,-1.8629908095516572,0.6736228500767264,False,5.0,83.33333333333334,0.3135203226830688,2.124113182939788,506613483.19005257,44005906.4
2021-06-01,EOS/USD,LONG,-1.661149595887216,0.7675813749619516,False,6.0,100.0,0.18647967731693124,3.5711808391797244,2625024378.6311483,13650925.516666668
2021-06-01,ADA/USD,SHORT,-2.960690126493936,0.1434047954369111,False,1.0,16.666666666666664,-0.5,2.230576874187296,6377915101.911628,221567070.564
2021-06-08,ALGO/USD,LONG,-2.028271617313298,0.5859525864138438,False,5.0,83.33333333333334,0.30111098154112853,2.1270503171649113,506613483.19005257,42768501.233333334
2021-06-08,EOS/USD,LONG,-1.5731280330477042,0.8027786436448134,False,6.0,100.0,0.1988890184588715,3.220279398791143,2625024378.6311483,10975183.513333334
2021-06-08,GRT/USD,SHORT,-2.7832138988187274,0.2031781140660353,False,1.0,16.666666666666664,-0.5,2.664314494225331,369564933.9037584,41567597.00333334
2021-06-15,ADA/USD,LONG,-2.4595733423307333,0.348459848376249,False,4.0,80.0,0.2414119813240367,1.8979387741863765,6377915101.911628,167839499.2363333
2021-06-15,XLM/USD,LONG,-1.924579638290308,0.6418386898388359,False,5.0,100.0,0.25858801867596326,1.7718731217868164,2989656210.8862576,233654029.13333333
2021-06-15,ZRX/USD,SHORT,-4.133835359709789,0.0056227456743171336,True,1.0,20.0,-0.5,2.4151063925409644,294490417.9531757,10971535.823555
2021-07-06,ADA/USD,LONG,-3.6091559755606055,0.029080731850816017,True,4.0,80.0,0.3048675218044131,1.0769125877428953,6377915101.911628,69063366.30166668
2021-07-06,GRT/USD,LONG,-2.3012243255421287,0.4332727985860909,False,5.0,100.0,0.19513247819558693,1.682527044503959,369564933.9037584,28476255.443
2021-07-06,ALGO/USD,SHORT,-4.630014565354379,0.0009179653790981587,True,1.0,20.0,-0.5,1.2077152956584118,506613483.19005257,23550632.933333334
2021-07-13,USDT/USD,LONG,-3.0228787434101205,0.12579654213773667,False,4.0,80.0,0.49840407866820136,0.003599299438957951,21340101768.041767,21662439.169000003
2021-07-13,XLM/USD,LONG,-2.906679938705609,0.16006499673634655,False,5.0,100.0,0.0015959213317986332,1.1240563585318122,2989656210.8862576,97751392.03333333
2021-07-13,ALGO/USD,SHORT,-3.9424362661984347,0.010597550571935972,True,1.0,20.0,-0.5,1.1069957024672754,506613483.19005257,18388613.5
2021-07-20,ADA/USD,LONG,-3.0845165614082033,0.10996176716217626,False,4.0,80.0,0.2610647283325544,1.0200969726146656,6377915101.911628,55952681.32733333
2021-07-20,ALGO/USD,LONG,-2.558634054465786,0.2992931695269126,False,5.0,100.0,0.2389352716674456,1.1145752452955784,506613483.19005257,16785364.8
2021-07-20,USDT/USD,SHORT,-4.316492731731796,0.0029657268245374797,True,1.0,20.0,-0.5,0.0026034753703729104,21340101768.041767,19928754.887000002
2021-07-27,USDT/USD,LONG,-2.092654020577872,0.5502078651228341,False,4.0,80.0,0.49839358742946316,0.002670732657406208,21340101768.041767,16559482.732333334
2021-07-27,XLM/USD,LONG,-1.094158536938126,0.9300377915014718,False,5.0,100.0,0.001606412570536835,0.828601602479294,2989656210.8862576,93729668.93333334
2021-07-27,ALGO/USD,SHORT,-3.385843421991028,0.05330826997863747,False,1.0,20.0,-0.5,0.7899962199544621,506613483.19005257,13346683.8
2021-08-03,USDT/USD,LONG,-1.7433680775993656,0.7314042406603667,False,6.0,100.0,0.4980375967801321,0.00307081630787602,21340101768.041767,16098923.422666667
2021-08-03,XLM/USD,LONG,-1.9562669630433416,0.6250396302246989,False,5.0,83.33333333333334,0.001962403219867884,0.7793413497511356,2989656210.8862576,101084248.43333334
2021-08-03,GRT/USD,SHORT,-3.88172574507353,0.012853039525907863,True,1.0,16.666666666666664,-0.5,0.9016134427606626,369564933.9037584,22527428.736666664
2021-08-10,ADA/USD,LONG,-1.6289012804126017,0.7809113483836723,False,6.0,100.0,0.25858885861007036,0.7647474655857848,6377915101.911628,48504144.585666664
2021-08-10,XLM/USD,LONG,-1.6855257579602854,0.7571787839244701,False,5.0,83.33333333333334,0.2414111413899296,0.8191634118963718,2989656210.8862576,115244379.06666666
2021-08-10,USDT/USD,SHORT,-5.637033833891518,1.227853395250475e-05,True,1.0,16.666666666666664,-0.5,0.004551275905673121,21340101768.041767,18374013.204666667
