rebalance_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,num_trades,num_long_trades,num_short_trades,avg_positions,avg_r2,avg_breakout_z_score,avg_signal_strength,final_value,trading_days
1,0.9344039306557679,0.12306445544535616,0.34010178183124096,0.36184595912061684,0.24657862425372826,-0.40273598276644107,0.305571045825138,0.08481927710843373,129,70,59,0.3108433734939759,0.65482595060796,0.18901755545139384,1.3355549279042516,19344.03930655768,2075
2,0.5610265891973372,0.08148766628414617,0.27818254281329496,0.29292875627654835,0.18156299180855934,-0.36178269079278796,0.2252392620154911,0.06313253012048192,97,53,44,0.23373493975903614,0.6596474201657889,0.2645972826399914,1.4151932349661418,15610.265891973371,2075
3,0.3401390671827581,0.0528490784047857,0.2550383374173902,0.20722013380401727,0.11250044816971556,-0.41614490866639614,0.12699681602293092,0.056385542168674696,88,45,43,0.21204819277108433,0.6541547782192453,0.1720626461910231,1.3913679211341894,13401.390671827581,2075
5,0.052055829307603746,0.008966396385967856,0.2042025525791502,0.04390932568040463,0.024303660820430038,-0.3986002113758676,0.02249471056479903,0.042891566265060244,66,36,30,0.15903614457831325,0.6460819528184804,0.2165250120725914,1.424770501697493,10520.558293076037,2075
7,0.4438139725620438,0.06674005750875733,0.1551752010356267,0.43009486737145886,0.17838334580461432,-0.1593463359312105,0.41883647414126224,0.024096385542168676,27,15,12,0.06506024096385542,0.6612492886028037,0.1390169946272919,1.5044130154102742,14438.139725620438,2075
10,-0.11933320136298553,-0.02210513612393994,0.13640302188305067,-0.16205752496372447,-0.06447724987739772,-0.2516220223867779,-0.08785056218156169,0.019759036144578312,37,20,17,0.0891566265060241,0.6383096942342774,0.22284259921722463,1.4508404533698176,8806.667986370145,2075
30,-0.18988256898675127,-0.03636346225180476,0.08972133564759072,-0.4052933673951746,-0.1272029732060292,-0.19957460772988567,-0.18220485394124336,0.005301204819277108,16,12,4,0.03855421686746988,0.6464574835453167,1.0093463196501524,1.3995069930857384,8101.174310132487,2075
