base,name,market_cap,funding_rate_pct,trading_symbol
XPL,Plasma,698324675.375767,0.5,XPL/USDC:USDC
CAKE,PancakeSwap,968539476.6000754,0.5,CAKE/USDC:USDC
ONDO,Ondo,2439598881.953665,0.4811,ONDO/USDC:USDC
DOT,Polkadot,5246904633.9190035,0.38739999999999997,DOT/USDC:USDC
PENDLE,Pendle,593455095.0074021,0.3574,PENDLE/USDC:USDC
PUMP,Pump.fun,1703615937.02981,0.2626,PUMP/USDC:USDC
VIRTUAL,Virtuals Protocol,1037014447.5255036,0.23170000000000002,VIRTUAL/USDC:USDC
POL,Polygon (prev. MATIC),2151598034.3591313,0.1351,POL/USDC:USDC
MORPHO,Morpho,749996531.321928,0.126,MORPHO/USDC:USDC
XLM,Stellar,10651381630.772022,0.1092,XLM/USDC:USDC
BNB,BNB,161138588138.9287,0.0,BNB/USDC:USDC
ICP,Internet Computer,1769463939.042109,-0.0038000000000000004,ICP/USDC:USDC
ENA,Ethena,3697672659.1575046,-0.05159999999999999,ENA/USDC:USDC
ETC,Ethereum Classic,2590265953.2851133,-0.11919999999999999,ETC/USDC:USDC
IMX,Immutable,1107619346.288723,-0.2304,IMX/USDC:USDC
GRT,The Graph,708177866.501214,-0.32330000000000003,GRT/USDC:USDC
ATOM,Cosmos,1548260719.6908185,-0.5485,ATOM/USDC:USDC
SEI,Sei,1305171887.4684324,-0.5928,SEI/USDC:USDC
IOTA,IOTA,622212032.5257175,-0.6947,IOTA/USDC:USDC
PYTH,Pyth Network,696543858.3869265,-1.1860000000000002,PYTH/USDC:USDC
XTZ,Tezos,659105335.8101513,-1.4323000000000001,XTZ/USDC:USDC
BCH,Bitcoin Cash,11167854492.3713,-1.7266,BCH/USDC:USDC
TRX,TRON,28498025860.96018,-3.0403,TRX/USDC:USDC
APT,Aptos,2573918202.2935424,-4.3654,APT/USDC:USDC
JUP,Jupiter,1395494191.396134,-5.2513,JUP/USDC:USDC
