segment,count,mean_return,median_return,std_return,annualized_return,annualized_vol,sharpe_ratio,win_rate,avg_hurst,unique_coins
Low HE / Up,13637.0,0.003170263171134158,-0.00921006021962445,0.13410714071936614,0.1729577186324467,0.9520662527749648,0.16782578245941493,0.4521522328957982,0.6306401528457655,83.0
High HE / Up,14012.0,0.004097505886657568,-0.004735534405254649,0.13380587625006404,0.22886668721742742,0.9499274872115195,0.21740006418148533,0.47751926919783044,0.7102511342127363,84.0
High HE / Down,14771.0,0.009100088683956122,0.0020408163265306367,0.1281082207012885,0.5786502212496838,0.9094781454477079,0.5042941075242793,0.508360977591226,0.7088743395617373,84.0
Low HE / Down,15146.0,-0.0019349712607234454,-0.004784262488990831,0.1153198276727775,-0.09300380597213376,0.8186895613025408,-0.11912030658520013,0.47108147365641095,0.6317198413408012,82.0
