date,portfolio_value,daily_return,regime,active_strategy,tf_weight,mr_weight,btc_5d_pct_change
2021-03-02,10000.0,,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,3.0879025416885364
2021-03-03,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,8.707383726703256
2021-03-04,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,4.737406819941192
2021-03-05,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,7.821320200965043
2021-03-06,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-1.469719617884191
2021-03-07,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,5.085402254306182
2021-03-08,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,4.081076250992854
2021-03-09,10000.0,0.0,Strong Up,"Blend (TF:80%, MR:20%)",0.8,0.2,13.537441294461772
2021-03-10,10000.0,0.0,Strong Up,"Blend (TF:80%, MR:20%)",0.8,0.2,14.601799035339113
2021-03-11,10000.0,0.0,Strong Up,"Blend (TF:80%, MR:20%)",0.8,0.2,18.20825829730788
2021-03-12,10000.0,0.0,Strong Up,"Blend (TF:80%, MR:20%)",0.8,0.2,12.254747628466145
2021-03-13,10000.0,0.0,Strong Up,"Blend (TF:80%, MR:20%)",0.8,0.2,16.718938369630344
2021-03-14,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,7.386357221652262
2021-03-15,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-0.4554246870095868
2021-03-16,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-1.5365437658813486
2021-03-17,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,2.970035775752633
2021-03-18,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-5.775803591130879
2021-03-19,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-1.5821558110786782
2021-03-20,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,4.458522022102529
2021-03-21,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,0.7662605742676964
2021-03-22,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-8.17212706069389
2021-03-23,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-5.723675707932774
2021-03-24,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-9.930278709420415
2021-03-25,10000.0,0.0,Strong Down,"Blend (TF:20%, MR:80%)",0.2,0.8,-11.686296709895771
2021-03-26,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-3.993632167733663
2021-03-27,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,3.2276062477834433
2021-03-28,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,2.6373461373279117
2021-03-29,10000.0,0.0,Strong Up,"Blend (TF:80%, MR:20%)",0.8,0.2,10.209854740669556
2021-03-30,10000.0,0.0,Strong Up,"Blend (TF:80%, MR:20%)",0.8,0.2,14.537649383799423
2021-03-31,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,6.768467131654221
2021-04-01,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,5.138074277080951
2021-04-02,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,5.740924601847075
2021-04-03,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-0.901073845912459
2021-04-04,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-0.9704955869089482
2021-04-05,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,0.5493537414965832
2021-04-06,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-1.2030348149591141
2021-04-07,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-5.1292584871341695
2021-04-08,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,1.7318003851169772
2021-04-09,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-0.21172895258584346
2021-04-10,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,1.1088405159276338
2021-04-11,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,3.387246944931732
2021-04-12,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,6.94132417133182
2021-04-13,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,9.478006511360459
2021-04-14,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,8.39885507089706
2021-04-15,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,5.772032131900051
2021-04-16,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,2.4039405680662096
2021-04-17,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,0.3660438818164913
2021-04-18,10000.0,0.0,Strong Down,"Blend (TF:20%, MR:80%)",0.2,0.8,-11.501831628562641
2021-04-19,10000.0,0.0,Strong Down,"Blend (TF:20%, MR:80%)",0.2,0.8,-11.552742656236603
2021-04-20,10000.0,0.0,Strong Down,"Blend (TF:20%, MR:80%)",0.2,0.8,-10.643448010597666
2021-04-21,10000.0,0.0,Strong Down,"Blend (TF:20%, MR:80%)",0.2,0.8,-12.415349078674664
2021-04-22,10000.0,0.0,Strong Down,"Blend (TF:20%, MR:80%)",0.2,0.8,-13.915132588264257
2021-04-23,10000.0,0.0,Down,"Blend (TF:80%, MR:20%)",0.8,0.2,-9.039881537629634
2021-04-24,10000.0,0.0,Strong Down,"Blend (TF:20%, MR:80%)",0.2,0.8,-10.06822111779072
2021-04-25,10000.0,0.0,Strong Down,"Blend (TF:20%, MR:80%)",0.2,0.8,-13.059084459291437
2021-04-26,10000.0,0.0,Moderate Up,"Blend (TF:20%, MR:80%)",0.2,0.8,0.46976944234720097
