date,symbol,signal,action,weight,price,slope,norm_slope,r_squared,distance_from_trendline,reversal_z_score,signal_strength,volatility,reversal_type,days_held
2020-02-19,XRP/USD,SHORT,OPEN,-0.16666666666666666,0.2746,0.0031789988876529465,422.55447705510755,0.7681287207047024,-11.821982456794569,-2.2468749609632352,7.292822038600575,0.7838908685308207,uptrend_broken_down,
2020-02-19,XLM/USD,SHORT,OPEN,-0.16666666666666666,0.069998,0.0008046006674082316,419.55376382754434,0.7360621828824878,-12.048866019439512,-2.0766662930076047,6.4131122362810755,0.7987610737037049,uptrend_broken_down,
2020-02-19,ZRX/USD,SHORT,OPEN,-0.16666666666666666,0.281699,0.0035508364849833143,460.0851678631837,0.7446471156016905,-10.946147941952026,-1.7104813207005722,5.860127703367377,0.9183433762687098,uptrend_broken_down,
2020-02-24,XRP/USD,SHORT,CLOSE,0.0,0.2707,,,,,,,,,5.0
2020-02-24,XLM/USD,SHORT,CLOSE,0.0,0.069094,,,,,,,,,5.0
2020-02-24,ZRX/USD,SHORT,CLOSE,0.0,0.269318,,,,,,,,,5.0
2020-02-25,ALGO/USD,SHORT,OPEN,-0.5,0.3914,0.007645228031145718,500.0,0.8459950023601451,-11.772490619819084,-2.0211946752784966,8.549602970412723,1.5004888548027577,uptrend_broken_down,
2020-02-27,XTZ/USD,SHORT,OPEN,-0.25,2.7913,0.06270307007786431,500.0,0.669589135460299,-23.092490625013344,-1.9204023765289908,6.4294028351797525,1.3712815147693542,uptrend_broken_down,
2020-03-01,ALGO/USD,SHORT,CLOSE,0.0,0.3195,,,,,,,,,5.0
2020-03-03,XTZ/USD,SHORT,CLOSE,0.0,2.756,,,,,,,,,5.0
2020-03-19,XLM/USD,LONG,OPEN,0.16666666666666666,0.041514,-0.0012906654060066737,-500.0,0.8642309948358236,15.556173057371442,2.601459631398446,11.24131022634357,1.899401627157937,downtrend_broken_up,
2020-03-19,XRP/USD,LONG,OPEN,0.16666666666666666,0.1652,-0.004843248053392658,-500.0,0.8443278272455281,12.132098028368013,2.40001971507208,10.132017156866205,1.8196153752220547,downtrend_broken_up,
2020-03-19,XTZ/USD,LONG,OPEN,0.16666666666666666,1.6384,-0.0735267408231368,-500.0,0.7811820270795357,8.218151074388857,1.8633475130847386,7.278067937125739,2.6962367695108447,downtrend_broken_up,
2020-03-20,ALGO/USD,LONG,OPEN,0.125,0.158,-0.012161268075639598,-500.0,0.8474069633826573,26.327626495272366,2.0841977228225974,8.830818316930733,2.914489709726962,downtrend_broken_up,
2020-03-23,ZRX/USD,LONG,OPEN,0.08333333333333333,0.151578,-0.0049843136818687435,-500.0,0.7353254509073553,9.423281041800488,1.5142180033714534,5.567215180505746,1.804783498332906,downtrend_broken_up,
2020-03-23,LINK/USD,LONG,OPEN,0.08333333333333333,2.25837,-0.0921711368186874,-500.0,0.5942610526633457,12.871967621090397,1.656656007479204,4.922430714528237,2.542474511817745,downtrend_broken_up,
2020-03-24,XLM/USD,LONG,CLOSE,0.0,0.040578,,,,,,,,,5.0
2020-03-24,XRP/USD,LONG,CLOSE,0.0,0.1628,,,,,,,,,5.0
2020-03-24,XTZ/USD,LONG,CLOSE,0.0,1.7693,,,,,,,,,5.0
2020-03-25,XRP/USD,LONG,OPEN,0.08333333333333333,0.1621,-0.003983381535038931,-500.0,0.7508913684530847,18.89019102493526,1.785237250086018,6.702596208652559,1.8374834009784364,downtrend_broken_up,
2020-03-25,XTZ/USD,LONG,OPEN,0.08333333333333333,1.7184,-0.06022618464961069,-500.0,0.6745785417330692,27.32249675461924,1.9534536810575094,6.588789677554354,2.743349478044222,downtrend_broken_up,
2020-03-25,XLM/USD,LONG,OPEN,0.08333333333333333,0.040607,-0.0009992994438264738,-500.0,0.7546394539872869,19.7858689982028,1.7048305363434844,6.432661925435504,1.9124171657133981,downtrend_broken_up,
2020-03-25,ALGO/USD,LONG,CLOSE,0.0,0.1547,,,,,,,,,5.0
2020-03-26,ALGO/USD,LONG,OPEN,0.08333333333333333,0.1591,-0.010046496106785317,-500.0,0.7686026551527608,61.87484820438092,2.024304096726207,7.779427517901869,2.6592602412892954,downtrend_broken_up,
2020-03-28,ZRX/USD,LONG,CLOSE,0.0,0.150255,,,,,,,,,5.0
2020-03-28,LINK/USD,LONG,CLOSE,0.0,2.14272,,,,,,,,,5.0
2020-03-29,LINK/USD,LONG,OPEN,0.5,2.00896,-0.10228769966629585,-500.0,0.6880423976044825,32.545884276725836,1.610193326027468,5.539406383233376,2.470272453573854,downtrend_broken_up,
2020-03-30,ZRX/USD,LONG,OPEN,0.125,0.1506,-0.004684380645161289,-500.0,0.7016530807136406,25.757753813407337,1.7648397667938962,6.191526296684402,1.790649114945754,downtrend_broken_up,
2020-03-30,XRP/USD,LONG,CLOSE,0.0,0.1714,,,,,,,,,5.0
2020-03-30,XTZ/USD,LONG,CLOSE,0.0,1.6077,,,,,,,,,5.0
2020-03-30,XLM/USD,LONG,CLOSE,0.0,0.040057,,,,,,,,,5.0
2020-03-31,XTZ/USD,LONG,OPEN,0.125,1.611,-0.054770856507230244,-500.0,0.6033938905363222,34.363173282155216,1.5148268089405934,4.570186208676933,2.7639977983006414,downtrend_broken_up,
2020-03-31,ALGO/USD,LONG,CLOSE,0.0,0.154,,,,,,,,,5.0
