strategy,mean_return,annualized_return,annualized_vol,sharpe_ratio,win_rate,max_drawdown,count
Long High HE,0.006339381778922382,0.3750586295556697,0.6157909460281659,0.5188527757975092,0.5157170923379175,-0.9953499671576921,1018
Short Low HE,-0.006950215811952052,-0.2963778920413128,0.6190840127435088,-0.5658212289638169,0.481335952848723,-0.9999951493079479,1018
Long/Short 50/50,-0.0003054170165148354,-0.01527746589440282,0.12522097027671553,-0.12292683564367805,0.5058939096267191,-0.7797959388448764,1018
