,value
initial_capital,10000.0
leverage,1.0
final_value,10613.243351081072
total_return,0.06132433510810715
annualized_return,0.012534261284151027
annualized_volatility,0.4047591384243045
sharpe_ratio,0.030967210111539224
sortino_ratio,0.03609313314914508
max_drawdown,-0.7486382479976855
calmar_ratio,0.01674274767242426
win_rate,0.44954128440366975
trading_days,1744.0
avg_long_exposure,2905.6644673008223
avg_short_exposure,-2905.6644673008223
avg_net_exposure,0.0
avg_gross_exposure,5811.3289346016445
avg_long_positions,2.158830275229358
avg_short_positions,1.315940366972477
avg_trendline_score_long,69.24293707486376
avg_trendline_score_short,-142.98181854994
avg_r2_long,0.42122563488247006
avg_r2_short,0.49022615053415874
