date,symbol,signal,roc_pct,cum_funding_pct,spread_pct,spread_zscore,spread_mean,spread_std,weight,position_size,volatility
2023-07-13,XLM/USD,SHORT,88.10372417806225,24.639300000000006,63.464424178062245,6.22435975446929,-22.125579586396423,13.75081247561282,-1.0,-10000.0,1.771438017934269
2023-07-20,XLM/USD,SHORT,97.10972884836045,16.12410000000001,80.98562884836043,3.8829489258298606,-16.871968482875143,25.201875996945166,-1.0,-9482.221921463235,1.9290799627642556
2024-11-21,ALGO/USD,SHORT,72.68331990330377,30.065099999999997,42.61821990330377,3.2794424695890347,-19.981524187266736,19.08853247802674,-0.3333333333333333,-1415.065493010848,1.29700999656697
2024-11-21,BONK/USD,SHORT,136.11966564012317,47.79675551805,88.32291012207318,3.2136753669245577,10.753731801810753,24.13721657097401,-0.3333333333333333,-1415.065493010848,1.7878900677072194
2024-11-21,XLM/USD,SHORT,175.54532845794978,32.04070000000001,143.50462845794976,4.513568980814943,-7.931720025674823,33.55135351366274,-0.3333333333333333,-1415.065493010848,1.7694318089558854
2024-11-28,ALGO/USD,SHORT,160.5815831987076,30.510199999999998,130.0713831987076,3.446569930890571,-9.473630587856547,40.48808426484085,-0.5,-4143.2389422615415,1.5673557226762178
2024-11-28,XLM/USD,SHORT,417.1273634209191,41.74810000000001,375.3792634209191,3.3536098148711693,20.970895820362646,105.67966673671343,-0.5,-4143.2389422615415,2.441996106019706
2024-12-05,GRT/USD,SHORT,135.4466858789625,49.43900000000001,86.0076858789625,3.0230709795857242,0.28144759085841375,28.35733559251455,-1.0,-8598.723772810587,1.1017120947155041
2025-05-08,GRT/USD,SHORT,44.568245125348184,-9.902599999999993,54.47084512534818,3.513234680187854,-24.601519324346913,22.506997581347758,-0.5,-7933.775093844493,0.8701213844017494
2025-05-08,WIF/USD,SHORT,116.92789968652035,5.508699999999999,111.41919968652034,3.634823698829049,-21.66750931710515,36.614350524483235,-0.5,-7933.775093844493,1.487130977500254
2025-07-17,ALGO/USD,SHORT,87.91273584905659,16.334999999999997,71.5777358490566,3.098612414889017,-11.368105956160854,26.768705052189727,-0.5,-2737.574732391164,1.0377846452326769
2025-07-17,XLM/USD,SHORT,97.5184243006306,-12.561099999999993,110.0795243006306,3.5795879666665926,6.22971679182165,29.01166516254569,-0.5,-2737.574732391164,1.117183140153793
2025-08-28,PYTH/USD,SHORT,83.49206349206348,2.6316000000000006,80.86046349206347,3.7892549092413157,-7.36070719860622,23.281930829069857,-1.0,-11201.116807918026,2.6331075434443356
