year,num_days,total_return,long_contribution,short_contribution,long_annualized,short_annualized,sharpe,win_rate,avg_long_positions,avg_short_positions
2022,335,0.9178043941657983,0.13977205442384943,0.5114089325643856,0.16449667474909502,0.7457892530659755,1.7919253070241565,0.5164179104477612,0.8149253731343283,1.8149253731343284
2023,365,-0.3730508935664997,-0.10277927250221985,-0.37439728965383845,-0.09767388031123347,-0.3122963599925419,-1.4083505295493652,0.4520547945205479,0.6328767123287671,1.632876712328767
2024,366,-0.5142757743259407,-0.27183331133785504,-0.45674177261584387,-0.23745259151605747,-0.36586527319621986,-1.5446445407425304,0.43989071038251365,0.9480874316939891,1.9480874316939891
2025,297,-0.033481986303682265,-0.041968641014860586,-0.04196864101486053,-0.05027007359144908,-0.05027007359144908,-0.2804012459914602,0.47474747474747475,2.9057239057239057,3.9057239057239057
