,value
initial_capital,10000.0
leverage,1.0
final_value,20780.089374029623
total_return,1.0780089374029622
annualized_return,0.1670666601370876
annualized_volatility,0.3699561220856304
sharpe_ratio,0.4515850668864406
sortino_ratio,0.5743488478692595
max_drawdown,-0.3936129639462853
calmar_ratio,0.4244439981399761
win_rate,0.43344907407407407
trading_days,1728.0
avg_long_exposure,7412.812477377854
avg_short_exposure,-7412.812477377853
avg_net_exposure,-3.942284685445206e-14
avg_gross_exposure,14825.624954755707
avg_long_positions,2.0792824074074074
avg_short_positions,1.2621527777777777
avg_trendline_score_long,82.69456426018307
avg_trendline_score_short,-147.83206088672512
avg_r2_long,0.41168618928238254
avg_r2_short,0.5042029383965934
