,mean,mean,mean,count,count,count
direction,Down,Flat,Up,Down,Flat,Up
entropy_quintile,,,,,,
Q1_Low,0.0011105462295527748,0.00955127914310526,0.005541905706940065,1831,8,1525
Q2,0.003808384007719444,0.08889587392737192,0.011358554827589405,1410,10,1234
Q3,-0.0011525309950481493,-0.005337934685659611,0.006056825769017921,1264,9,1064
Q4,0.0024735366747560936,0.03615091719581784,-4.654237312674145e-05,1395,11,1227
Q5_High,0.00342584596044688,0.006156145387459755,0.009323813037292064,1595,17,1391
